Label                  Latency
1                     56.90 ms
2                     73.22 ms
3                     92.18 ms
4                     93.61 ms
5                    100.83 ms
6                    111.60 ms
7                    128.60 ms
8                    122.60 ms
9                    133.50 ms
10                   130.39 ms
11                   134.43 ms
12                   138.34 ms
13                   134.36 ms
14                    90.77 ms
15                    89.08 ms
16                    83.60 ms
17                    80.09 ms
18                    74.03 ms
19                    70.36 ms
20                    71.93 ms
21                    65.70 ms
22                    62.13 ms
23                    61.08 ms
24                    57.55 ms
25                    53.91 ms
26                    49.69 ms
27                    44.41 ms
28                    40.74 ms
29                    37.22 ms
30                    33.58 ms
31                    30.20 ms
32                    26.42 ms
33                    25.26 ms
34                    21.96 ms
35                    35.07 ms
36                    32.07 ms
37                    28.56 ms
38                    24.95 ms
39                    28.93 ms
40                    25.49 ms
41                    21.81 ms
42                    32.55 ms
43                    29.55 ms
44                    26.03 ms
45                    32.43 ms
46                    30.77 ms
47                    27.17 ms
48                    28.60 ms
49                    27.45 ms
50                    22.02 ms
51                    35.89 ms
52                    32.51 ms
53                    28.71 ms
54                    25.25 ms
55                    33.43 ms
56                    30.43 ms
57                    26.82 ms
58                    33.31 ms
59                    29.74 ms
60                    28.04 ms
61                    22.57 ms
62                    26.61 ms
63                    25.39 ms
64                    21.84 ms
65                    32.64 ms
66                    29.05 ms
67                    25.55 ms
68                    26.86 ms
69                    25.78 ms
70                    20.34 ms
71                    21.76 ms
72                    28.14 ms
73                    24.64 ms
74                    20.92 ms
75                    31.76 ms
76                    28.24 ms
77                    37.72 ms
78                    34.28 ms
79                    30.50 ms
80                    26.99 ms
81                    23.35 ms
82                    27.34 ms
83                    23.72 ms
84                    20.20 ms
85                    24.01 ms
86                    34.84 ms
87                    31.25 ms
88                    27.64 ms
89                    24.66 ms
90                    26.13 ms
91                    25.13 ms
92                    21.39 ms
93                    30.40 ms
94                    28.58 ms
95                    25.64 ms
96                    32.07 ms
97                    28.66 ms
98                    24.88 ms
99                    33.77 ms
100                   29.66 ms
101                   24.37 ms
102                   20.54 ms
103                   24.44 ms
104                   25.94 ms
105                   22.39 ms
106                   18.69 ms
107                   20.16 ms
108                   24.13 ms
109                   25.77 ms
110                   23.84 ms
111                   25.98 ms
112                   39.85 ms
113                   38.94 ms
114                   32.63 ms
115                   29.16 ms
116                   34.88 ms
117                   34.64 ms
118                   40.85 ms
119                   42.28 ms
120                   41.49 ms
121                   37.88 ms
122                   35.99 ms
123                   38.15 ms
124                   42.03 ms
125                   35.80 ms
126                   37.50 ms
127                   31.11 ms
128                   25.01 ms
129                   28.99 ms
130                   33.01 ms
131                   29.46 ms
132                   33.32 ms
133                   37.24 ms
134                   31.33 ms
135                   47.49 ms
136                   48.80 ms
137                   52.78 ms
138                   48.60 ms
139                   60.69 ms
140                   59.74 ms
141                   57.87 ms
142                   52.45 ms
143                   56.29 ms
144                   50.55 ms
145                   49.03 ms
146                   48.23 ms
147                   41.24 ms
148                   40.86 ms
149                   39.86 ms
150                   33.66 ms
151                   34.56 ms
152                   31.45 ms
153                   37.83 ms
154                   39.42 ms
155                   30.68 ms
156                   29.60 ms
157                   31.04 ms
158                   24.68 ms
159                   28.91 ms
160                   30.34 ms
161                   31.73 ms
162                   30.71 ms
163                   36.63 ms
164                   37.79 ms
165                   32.39 ms
166                   38.19 ms
167                   40.28 ms
168                   34.33 ms
169                   33.34 ms
170                   31.27 ms
171                   33.57 ms
172                   26.65 ms
173                   30.77 ms
174                   37.69 ms
175                   31.58 ms
176                   27.29 ms
177                   29.51 ms
178                   33.44 ms
179                   42.32 ms
180                   41.43 ms
181                   32.59 ms
182                   29.07 ms
183                   22.92 ms
184                   46.96 ms
185                   43.29 ms
186                   49.67 ms
187                   48.80 ms
188                   47.11 ms
189                   36.47 ms
190                   40.58 ms
191                   44.35 ms
192                   35.02 ms
193                   32.41 ms
194                   26.06 ms
195                   27.51 ms
196                   23.25 ms
197                   34.68 ms
198                   31.93 ms
199                   33.37 ms
200                   27.02 ms
201                   25.33 ms
202                   47.33 ms
203                   41.28 ms
204                   42.98 ms
205                   39.36 ms
206                   40.63 ms
207                   34.38 ms
208                   31.07 ms
209                   37.23 ms
210                   38.79 ms
211                   30.01 ms
212                   28.35 ms
213                   30.30 ms
214                   24.37 ms
215                   27.76 ms
216                   32.22 ms
217                   33.73 ms
218                   32.51 ms
219                   43.30 ms
220                   37.88 ms
221                   29.28 ms
222                   25.94 ms
223                   33.91 ms
224                   33.54 ms
225                   36.72 ms
226                   35.71 ms
227                   37.18 ms
228                   36.60 ms
229                   35.57 ms
230                   43.74 ms
231                   42.88 ms
232                   44.74 ms
233                   45.55 ms
234                   35.04 ms
235                   29.04 ms
236                   25.30 ms
237                   26.70 ms
238                   25.09 ms
239                   19.59 ms
240                   20.93 ms
241                   29.88 ms
242                   26.33 ms
243                   20.38 ms
244                   21.73 ms
245                   35.63 ms
246                   29.55 ms
247                   25.89 ms
248                   20.04 ms
249                   18.72 ms
250                   27.83 ms
251                   23.43 ms
252                   33.03 ms
253                   28.78 ms
254                   23.45 ms
255                   34.77 ms
256                   28.61 ms
257                   25.09 ms
258                   20.80 ms
259                   27.94 ms
260                   24.28 ms
