Label                  Latency
1                     37.41 ms
2                     28.07 ms
3                     36.17 ms
4                     26.02 ms
5                     24.59 ms
6                     28.64 ms
7                     22.55 ms
8                     18.20 ms
9                     17.77 ms
10                    24.32 ms
11                    15.64 ms
12                    22.09 ms
13                    13.44 ms
14                    21.68 ms
15                    28.85 ms
16                    20.13 ms
17                    16.68 ms
18                    25.53 ms
19                    16.83 ms
20                    18.25 ms
21                    17.19 ms
22                    21.15 ms
23                    15.06 ms
24                    20.69 ms
25                    12.90 ms
26                    28.56 ms
27                    18.17 ms
28                    17.07 ms
29                    20.27 ms
30                    12.41 ms
31                    28.01 ms
32                    19.38 ms
33                    16.54 ms
34                    19.77 ms
35                    16.89 ms
36                    18.24 ms
37                    17.19 ms
38                    23.55 ms
39                    14.92 ms
40                    21.46 ms
41                    32.82 ms
42                    24.22 ms
43                    30.56 ms
44                    27.09 ms
45                    23.42 ms
46                    17.32 ms
47                    18.74 ms
48                    15.23 ms
49                    26.60 ms
50                    17.92 ms
51                    19.22 ms
52                    18.16 ms
53                    22.14 ms
54                    13.45 ms
55                    19.98 ms
56                    13.82 ms
57                    17.81 ms
58                    16.72 ms
59                    18.17 ms
60                    18.71 ms
61                    18.36 ms
62                    16.58 ms
63                    21.16 ms
64                    15.18 ms
65                    19.07 ms
66                    12.93 ms
67                    28.51 ms
68                    18.15 ms
69                    17.13 ms
70                    18.75 ms
71                    12.43 ms
72                    28.06 ms
73                    17.66 ms
74                    16.70 ms
75                    18.17 ms
76                    16.97 ms
77                    18.38 ms
78                    17.20 ms
79                    23.69 ms
80                    15.06 ms
81                    23.21 ms
82                    14.61 ms
83                    19.31 ms
84                    13.30 ms
85                    27.12 ms
86                    18.43 ms
87                    19.85 ms
88                    18.82 ms
89                    17.79 ms
90                    26.65 ms
91                    17.97 ms
92                    19.43 ms
93                    18.32 ms
94                    17.33 ms
95                    26.28 ms
96                    17.53 ms
97                    18.96 ms
98                    17.91 ms
99                    21.85 ms
100                   13.23 ms
101                   21.45 ms
102                   28.58 ms
103                   19.90 ms
104                   16.41 ms
105                   25.22 ms
106                   16.64 ms
107                   18.03 ms
108                   19.40 ms
109                   15.10 ms
110                   24.73 ms
111                   16.16 ms
112                   17.56 ms
113                   18.95 ms
114                   14.63 ms
115                   24.27 ms
116                   15.73 ms
117                   22.18 ms
118                   13.49 ms
119                   19.94 ms
120                   13.87 ms
121                   19.56 ms
122                   16.67 ms
123                   17.99 ms
124                   16.95 ms
125                   23.30 ms
126                   14.72 ms
127                   21.23 ms
128                   15.04 ms
129                   18.98 ms
130                   14.55 ms
131                   26.77 ms
132                   18.11 ms
133                   19.46 ms
134                   18.43 ms
135                   17.32 ms
136                   18.06 ms
137                   17.75 ms
138                   16.57 ms
139                   18.05 ms
140                   16.94 ms
141                   25.85 ms
142                   17.21 ms
143                   18.56 ms
144                   17.53 ms
145                   21.46 ms
146                   12.87 ms
147                   19.34 ms
148                   13.20 ms
149                   28.84 ms
150                   18.46 ms
151                   17.51 ms
152                   18.80 ms
153                   12.72 ms
154                   28.30 ms
155                   17.95 ms
156                   16.94 ms
157                   18.40 ms
158                   12.22 ms
159                   26.13 ms
160                   17.44 ms
161                   18.95 ms
162                   17.73 ms
163                   23.50 ms
164                   14.87 ms
165                   19.51 ms
166                   13.51 ms
167                   17.41 ms
168                   16.30 ms
169                   17.75 ms
170                   16.59 ms
171                   23.05 ms
172                   14.42 ms
173                   22.63 ms
174                   29.75 ms
175                   21.16 ms
176                   17.38 ms
177                   26.44 ms
178                   17.90 ms
179                   19.25 ms
180                   18.13 ms
181                   22.14 ms
182                   13.46 ms
183                   21.72 ms
184                   28.80 ms
185                   20.19 ms
186                   16.74 ms
187                   25.60 ms
188                   17.02 ms
189                   18.39 ms
190                   17.31 ms
191                   21.36 ms
192                   12.68 ms
193                   20.98 ms
194                   13.08 ms
195                   28.71 ms
196                   18.35 ms
197                   17.22 ms
198                   20.45 ms
199                   12.64 ms
200                   28.23 ms
201                   17.88 ms
202                   16.81 ms
203                   19.97 ms
204                   17.15 ms
205                   18.47 ms
206                   17.44 ms
207                   23.80 ms
208                   15.30 ms
209                   21.70 ms
210                   13.07 ms
211                   19.54 ms
212                   13.50 ms
213                   19.13 ms
214                   16.44 ms
215                   17.65 ms
216                   16.66 ms
217                   23.03 ms
218                   14.50 ms
219                   20.92 ms
220                   14.80 ms
221                   18.79 ms
222                   14.38 ms
223                   26.61 ms
224                   18.01 ms
225                   19.58 ms
226                   18.35 ms
227                   17.30 ms
228                   18.06 ms
229                   20.15 ms
230                   14.11 ms
231                   18.01 ms
232                   16.90 ms
233                   18.42 ms
234                   19.01 ms
235                   18.73 ms
236                   16.85 ms
237                   21.48 ms
238                   12.97 ms
239                   19.38 ms
240                   13.34 ms
241                   17.24 ms
242                   16.14 ms
243                   25.05 ms
244                   16.47 ms
245                   18.01 ms
246                   16.84 ms
247                   20.68 ms
248                   14.79 ms
249                   18.67 ms
250                   12.55 ms
251                   28.18 ms
252                   17.79 ms
253                   16.81 ms
254                   18.27 ms
255                   17.19 ms
256                   18.55 ms
257                   17.44 ms
258                   23.92 ms
259                   15.33 ms
260                   23.57 ms
261                   14.92 ms
262                   19.51 ms
263                   13.62 ms
264                   17.46 ms
265                   16.44 ms
266                   17.83 ms
267                   16.74 ms
268                   23.18 ms
269                   14.50 ms
270                   22.71 ms
271                   29.81 ms
272                   21.23 ms
273                   17.47 ms
274                   26.56 ms
275                   17.98 ms
276                   19.41 ms
277                   18.27 ms
278                   17.18 ms
279                   26.03 ms
280                   17.46 ms
281                   18.87 ms
282                   17.77 ms
283                   21.72 ms
284                   13.11 ms
285                   21.32 ms
286                   28.41 ms
287                   19.85 ms
288                   16.27 ms
289                   25.08 ms
290                   16.51 ms
291                   17.90 ms
292                   19.40 ms
293                   14.99 ms
294                   24.67 ms
295                   16.07 ms
296                   22.52 ms
297                   13.80 ms
298                   20.28 ms
299                   14.22 ms
300                   19.86 ms
301                   16.97 ms
302                   18.44 ms
303                   17.34 ms
304                   23.66 ms
305                   15.12 ms
306                   21.54 ms
307                   12.85 ms
308                   19.28 ms
309                   13.29 ms
310                   27.16 ms
311                   18.53 ms
312                   20.01 ms
313                   18.76 ms
314                   17.73 ms
315                   18.46 ms
316                   18.17 ms
317                   17.05 ms
318                   18.44 ms
319                   14.12 ms
320                   26.36 ms
321                   17.71 ms
322                   19.13 ms
323                   18.02 ms
324                   22.03 ms
325                   13.40 ms
326                   19.88 ms
327                   13.81 ms
328                   17.66 ms
329                   16.60 ms
330                   25.50 ms
331                   16.90 ms
332                   18.39 ms
333                   17.26 ms
334                   21.27 ms
335                   15.23 ms
336                   19.10 ms
337                   13.09 ms
338                   28.62 ms
339                   18.31 ms
340                   17.28 ms
341                   18.90 ms
