Label                  Latency
1                     36.88 ms
2                     35.12 ms
3                     34.09 ms
4                     23.76 ms
5                     34.33 ms
6                     24.23 ms
7                     28.01 ms
8                     23.60 ms
9                     18.37 ms
10                    17.18 ms
11                    18.72 ms
12                    12.63 ms
13                    26.43 ms
14                    17.87 ms
15                    19.41 ms
16                    18.13 ms
17                    22.15 ms
18                    15.31 ms
19                    20.04 ms
20                    13.94 ms
21                    17.79 ms
22                    16.72 ms
23                    25.67 ms
24                    18.89 ms
25                    18.59 ms
26                    27.44 ms
27                    20.57 ms
28                    16.98 ms
29                    19.29 ms
30                    13.12 ms
31                    27.08 ms
32                    20.21 ms
33                    16.57 ms
34                    18.81 ms
35                    12.69 ms
36                    26.63 ms
37                    19.78 ms
38                    24.39 ms
39                    17.66 ms
40                    24.00 ms
41                    16.12 ms
42                    20.15 ms
43                    14.11 ms
44                    18.11 ms
45                    16.94 ms
46                    25.88 ms
47                    18.97 ms
48                    23.60 ms
49                    16.86 ms
50                    23.21 ms
51                    30.46 ms
52                    21.82 ms
53                    30.80 ms
54                    28.94 ms
55                    23.56 ms
56                    30.07 ms
57                    21.39 ms
58                    30.38 ms
59                    26.78 ms
60                    23.13 ms
61                    17.17 ms
62                    18.56 ms
63                    17.45 ms
64                    26.41 ms
65                    19.55 ms
66                    19.23 ms
67                    18.08 ms
68                    22.13 ms
69                    15.23 ms
70                    21.58 ms
71                    28.83 ms
72                    21.96 ms
73                    16.66 ms
74                    15.62 ms
75                    21.21 ms
76                    28.46 ms
77                    37.27 ms
78                    28.57 ms
79                    25.16 ms
80                    18.33 ms
81                    18.02 ms
82                    28.63 ms
83                    20.80 ms
84                    14.81 ms
85                    20.40 ms
86                    27.64 ms
87                    36.58 ms
88                    27.92 ms
89                    24.38 ms
90                    22.51 ms
91                    17.28 ms
92                    16.14 ms
93                    20.15 ms
94                    14.03 ms
95                    19.57 ms
96                    16.97 ms
97                    27.43 ms
98                    19.62 ms
99                    18.53 ms
100                   27.51 ms
101                   20.65 ms
102                   15.20 ms
103                   19.20 ms
104                   13.15 ms
105                   27.13 ms
106                   20.17 ms
107                   14.81 ms
108                   18.78 ms
109                   12.75 ms
110                   26.68 ms
111                   19.82 ms
112                   19.46 ms
113                   18.32 ms
114                   22.35 ms
115                   15.41 ms
116                   20.18 ms
117                   14.05 ms
118                   17.99 ms
119                   16.91 ms
120                   25.85 ms
121                   18.98 ms
122                   18.61 ms
123                   17.52 ms
124                   21.49 ms
125                   30.51 ms
126                   21.84 ms
127                   29.96 ms
128                   34.67 ms
129                   26.21 ms
130                   24.82 ms
131                   28.84 ms
132                   22.05 ms
133                   16.75 ms
134                   15.74 ms
135                   24.64 ms
136                   17.76 ms
137                   24.19 ms
138                   16.28 ms
139                   20.29 ms
140                   14.20 ms
141                   18.19 ms
142                   17.12 ms
143                   26.06 ms
144                   19.10 ms
145                   23.86 ms
146                   16.98 ms
147                   23.34 ms
148                   15.48 ms
149                   19.43 ms
150                   13.40 ms
151                   27.35 ms
152                   20.47 ms
153                   15.22 ms
154                   19.08 ms
155                   13.03 ms
156                   26.92 ms
157                   20.06 ms
158                   14.78 ms
159                   18.67 ms
160                   12.65 ms
161                   26.53 ms
162                   19.70 ms
163                   19.43 ms
164                   18.20 ms
165                   22.24 ms
166                   15.39 ms
167                   21.76 ms
168                   28.96 ms
169                   22.10 ms
170                   16.79 ms
171                   15.75 ms
172                   21.37 ms
173                   28.58 ms
174                   37.46 ms
175                   28.85 ms
176                   25.34 ms
177                   24.08 ms
178                   18.20 ms
179                   18.81 ms
180                   21.01 ms
181                   29.98 ms
182                   21.30 ms
183                   29.54 ms
184                   35.91 ms
185                   25.66 ms
186                   24.34 ms
187                   28.46 ms
188                   22.35 ms
189                   16.31 ms
190                   20.15 ms
191                   14.13 ms
192                   19.71 ms
193                   16.99 ms
194                   27.57 ms
195                   19.70 ms
196                   18.68 ms
197                   16.86 ms
198                   21.58 ms
199                   30.36 ms
200                   21.90 ms
201                   30.79 ms
202                   28.98 ms
203                   22.91 ms
204                   14.93 ms
205                   19.01 ms
206                   12.94 ms
207                   26.93 ms
208                   19.93 ms
209                   14.62 ms
210                   18.57 ms
211                   17.50 ms
212                   26.45 ms
213                   19.55 ms
214                   19.23 ms
215                   18.15 ms
