Label                  Latency
1                     45.95 ms
2                     37.33 ms
3                     41.32 ms
4                     30.93 ms
5                     21.61 ms
6                     14.77 ms
7                     26.81 ms
8                     47.64 ms
9                     32.10 ms
10                    21.27 ms
11                    17.65 ms
12                    28.49 ms
13                    28.01 ms
14                    29.27 ms
15                    27.73 ms
16                    17.40 ms
17                    27.99 ms
18                    39.55 ms
19                    38.12 ms
20                    34.63 ms
21                    24.36 ms
22                    17.88 ms
23                    31.46 ms
24                    30.78 ms
25                    14.94 ms
26                    31.20 ms
27                    44.74 ms
28                    33.80 ms
29                    25.81 ms
30                    21.53 ms
31                    33.03 ms
32                    32.00 ms
33                    20.94 ms
34                    37.02 ms
35                    39.27 ms
36                    35.76 ms
37                    36.38 ms
38                    30.95 ms
39                    21.60 ms
40                    13.80 ms
41                    25.25 ms
42                    16.65 ms
43                    22.95 ms
44                    14.46 ms
45                    20.92 ms
46                    14.86 ms
47                    18.68 ms
48                    15.13 ms
49                    26.63 ms
50                    17.99 ms
51                    17.03 ms
52                    18.29 ms
53                    14.70 ms
54                    33.11 ms
55                    32.75 ms
56                    18.76 ms
57                    22.49 ms
58                    16.95 ms
59                    25.69 ms
60                    17.19 ms
61                    16.18 ms
62                    17.48 ms
63                    18.21 ms
64                    15.33 ms
65                    19.31 ms
66                    13.21 ms
67                    27.20 ms
68                    18.53 ms
69                    24.93 ms
70                    16.36 ms
71                    17.06 ms
72                    26.85 ms
73                    22.70 ms
74                    26.35 ms
75                    33.69 ms
76                    24.25 ms
77                    15.58 ms
78                    15.28 ms
79                    24.15 ms
80                    19.77 ms
81                    22.04 ms
82                    13.35 ms
83                    19.71 ms
84                    15.59 ms
85                    17.67 ms
86                    18.41 ms
87                    25.55 ms
88                    16.89 ms
89                    23.39 ms
90                    14.78 ms
91                    28.12 ms
92                    47.00 ms
93                    36.26 ms
94                    34.89 ms
95                    21.51 ms
96                    15.95 ms
97                    24.78 ms
98                    16.02 ms
99                    22.55 ms
100                   13.94 ms
101                   20.40 ms
102                   14.45 ms
103                   18.20 ms
104                   18.93 ms
105                   16.00 ms
106                   19.96 ms
107                   14.05 ms
108                   17.84 ms
109                   18.51 ms
110                   22.47 ms
111                   36.55 ms
112                   35.44 ms
113                   22.06 ms
114                   21.03 ms
115                   25.27 ms
116                   16.70 ms
117                   17.41 ms
118                   18.82 ms
119                   18.39 ms
120                   19.74 ms
121                   16.34 ms
122                   22.73 ms
123                   14.06 ms
124                   20.60 ms
125                   16.83 ms
126                   18.46 ms
127                   14.81 ms
128                   28.68 ms
129                   27.15 ms
130                   25.95 ms
131                   42.37 ms
132                   29.14 ms
133                   20.98 ms
134                   14.71 ms
135                   23.71 ms
136                   15.16 ms
137                   21.49 ms
138                   12.90 ms
139                   19.28 ms
140                   15.65 ms
141                   27.14 ms
142                   18.63 ms
143                   17.62 ms
144                   18.95 ms
145                   22.30 ms
146                   26.85 ms
147                   25.06 ms
148                   21.84 ms
149                   35.48 ms
150                   34.41 ms
151                   21.12 ms
152                   20.32 ms
153                   14.36 ms
154                   18.07 ms
155                   18.77 ms
156                   15.96 ms
157                   19.97 ms
158                   13.96 ms
159                   17.70 ms
160                   18.41 ms
161                   15.65 ms
162                   19.60 ms
163                   13.61 ms
164                   17.31 ms
165                   18.04 ms
166                   15.27 ms
167                   43.58 ms
168                   30.27 ms
169                   29.00 ms
170                   35.15 ms
171                   24.77 ms
172                   16.22 ms
173                   16.86 ms
174                   26.59 ms
175                   17.97 ms
176                   24.39 ms
177                   15.77 ms
178                   16.50 ms
179                   26.24 ms
180                   17.64 ms
181                   23.94 ms
182                   15.42 ms
183                   21.92 ms
184                   13.24 ms
185                   26.59 ms
186                   30.39 ms
187                   29.47 ms
188                   23.56 ms
189                   22.88 ms
190                   26.72 ms
191                   23.16 ms
192                   24.70 ms
193                   18.61 ms
194                   19.18 ms
195                   18.88 ms
196                   15.29 ms
197                   26.73 ms
198                   18.13 ms
199                   17.09 ms
200                   18.46 ms
201                   14.81 ms
202                   26.32 ms
203                   17.75 ms
204                   16.73 ms
205                   24.92 ms
206                   34.17 ms
207                   38.02 ms
208                   32.33 ms
209                   23.66 ms
210                   15.18 ms
211                   21.68 ms
212                   12.97 ms
213                   19.48 ms
