Label                  Latency
1                     53.51 ms
2                     70.80 ms
3                     71.32 ms
4                     72.96 ms
5                     80.42 ms
6                     91.39 ms
7                     76.72 ms
8                    101.89 ms
9                     88.63 ms
10                   104.58 ms
11                   101.20 ms
12                   107.69 ms
13                    96.76 ms
14                   107.87 ms
15                   109.19 ms
16                   113.26 ms
17                   100.01 ms
18                    91.85 ms
19                   100.65 ms
20                    88.34 ms
21                    89.82 ms
22                    79.55 ms
23                    70.17 ms
24                    59.95 ms
25                    53.06 ms
26                    46.96 ms
27                    36.74 ms
28                    28.07 ms
29                    21.26 ms
30                    17.62 ms
31                    15.08 ms
32                    21.36 ms
33                    12.74 ms
34                    19.12 ms
35                    15.36 ms
36                    27.02 ms
37                    18.37 ms
38                    19.90 ms
39                    18.73 ms
40                    17.65 ms
41                    16.73 ms
42                    22.36 ms
43                    29.63 ms
44                    20.87 ms
45                    17.09 ms
46                    26.13 ms
47                    19.29 ms
48                    18.33 ms
49                    17.88 ms
50                    18.52 ms
51                    18.25 ms
52                    19.58 ms
53                    18.67 ms
54                    17.39 ms
55                    23.10 ms
56                    17.09 ms
57                    21.68 ms
58                    20.62 ms
59                    19.56 ms
60                    17.78 ms
61                    27.36 ms
62                    20.60 ms
63                    15.09 ms
64                    29.13 ms
65                    22.35 ms
66                    16.99 ms
67                    18.46 ms
68                    17.44 ms
69                    18.72 ms
70                    17.62 ms
71                    26.61 ms
72                    20.52 ms
73                    18.78 ms
74                    21.00 ms
75                    19.77 ms
76                    18.73 ms
77                    20.07 ms
78                    20.91 ms
79                    27.25 ms
80                    21.90 ms
81                    15.90 ms
82                    19.74 ms
83                    21.09 ms
84                    22.60 ms
85                    33.34 ms
86                    28.02 ms
87                    24.28 ms
88                    33.27 ms
89                    29.64 ms
90                    26.06 ms
91                    22.53 ms
92                    28.99 ms
93                    27.13 ms
94                    31.69 ms
95                    28.19 ms
96                    24.60 ms
97                    30.32 ms
98                    27.41 ms
99                    26.32 ms
100                   27.82 ms
101                   26.86 ms
102                   35.74 ms
103                   34.59 ms
104                   33.45 ms
105                   32.41 ms
106                   31.35 ms
107                   30.31 ms
108                   29.12 ms
109                   30.46 ms
110                   32.03 ms
111                   33.31 ms
112                   32.30 ms
113                   33.00 ms
114                   32.51 ms
115                   34.00 ms
116                   37.84 ms
117                   39.36 ms
118                   40.76 ms
119                   42.25 ms
120                   45.44 ms
121                   47.54 ms
122                   49.12 ms
123                   50.36 ms
124                   51.82 ms
125                   55.00 ms
126                   57.13 ms
127                   58.55 ms
128                   60.00 ms
129                   63.22 ms
130                   64.75 ms
131                   66.73 ms
132                   68.31 ms
133                   69.56 ms
134                   71.02 ms
135                   74.38 ms
136                   76.35 ms
137                   77.88 ms
138                   79.28 ms
139                   80.75 ms
140                   84.60 ms
141                   86.04 ms
142                   87.56 ms
143                   88.94 ms
144                   90.39 ms
145                   93.64 ms
146                   95.67 ms
147                   97.16 ms
148                   98.66 ms
149                  100.09 ms
150                  103.97 ms
151                  105.41 ms
152                  106.99 ms
153                  108.28 ms
154                  109.76 ms
155                  113.63 ms
156                  114.98 ms
157                  116.48 ms
158                  117.94 ms
159                  119.39 ms
160                  122.65 ms
161                  124.71 ms
162                  126.22 ms
163                  127.62 ms
164                  128.99 ms
165                  132.97 ms
166                  134.31 ms
167                  135.72 ms
168                  137.24 ms
169                  140.51 ms
170                  141.99 ms
171                  143.99 ms
172                  145.58 ms
173                  146.91 ms
174                  148.44 ms
175                  151.67 ms
176                  151.20 ms
177                  152.65 ms
178                  151.51 ms
179                  150.60 ms
180                  151.92 ms
181                  150.82 ms
182                  149.91 ms
183                  148.92 ms
184                  147.97 ms
185                  145.14 ms
186                  146.39 ms
187                  145.31 ms
188                  141.81 ms
189                  140.75 ms
190                  139.71 ms
191                  136.08 ms
192                  134.96 ms
193                  133.96 ms
194                  130.46 ms
195                  129.32 ms
196                  125.71 ms
197                  122.32 ms
198                  118.56 ms
199                  115.02 ms
200                  111.41 ms
201                  107.84 ms
202                  106.12 ms
203                  100.75 ms
204                   97.15 ms
205                   91.20 ms
206                   87.52 ms
207                   83.92 ms
208                   79.73 ms
209                   74.32 ms
210                   70.03 ms
211                   64.72 ms
212                   61.18 ms
213                   55.03 ms
214                   49.11 ms
215                   44.59 ms
216                   39.26 ms
217                   33.15 ms
218                   27.10 ms
