Label                  Latency
1                     55.71 ms
2                     59.68 ms
3                     61.66 ms
4                     73.40 ms
5                     62.94 ms
6                     63.74 ms
7                     63.50 ms
8                     76.43 ms
9                     75.71 ms
10                    74.86 ms
11                    83.56 ms
12                    72.65 ms
13                    76.93 ms
14                    63.57 ms
15                    74.14 ms
16                    66.12 ms
17                    61.99 ms
18                    48.68 ms
19                    59.84 ms
20                    44.47 ms
21                    42.79 ms
22                    49.76 ms
23                    40.32 ms
24                    47.60 ms
25                    36.62 ms
26                    27.89 ms
27                    29.29 ms
28                    25.76 ms
29                    19.65 ms
30                    16.16 ms
31                    20.13 ms
32                    13.92 ms
33                    17.87 ms
34                    16.80 ms
35                    25.68 ms
36                    17.05 ms
37                    17.71 ms
38                    17.40 ms
39                    16.34 ms
40                    25.26 ms
41                    16.63 ms
42                    18.04 ms
43                    17.08 ms
44                    16.02 ms
45                    24.92 ms
46                    16.34 ms
47                    17.71 ms
48                    19.10 ms
49                    15.36 ms
50                    24.38 ms
51                    17.56 ms
52                    17.15 ms
53                    28.51 ms
54                    21.80 ms
55                    16.30 ms
56                    20.28 ms
57                    19.19 ms
58                    18.23 ms
59                    21.40 ms
60                    33.48 ms
61                    24.89 ms
62                    28.13 ms
63                    25.25 ms
64                    18.41 ms
65                    17.98 ms
66                    19.38 ms
67                    20.17 ms
68                    22.33 ms
69                    31.18 ms
70                    24.41 ms
71                    18.99 ms
72                    15.55 ms
73                    28.64 ms
74                    20.73 ms
75                    32.11 ms
76                    28.49 ms
77                    22.50 ms
78                    15.66 ms
79                    20.27 ms
80                    21.67 ms
81                    25.58 ms
82                    22.05 ms
83                    15.94 ms
84                    19.77 ms
85                    21.23 ms
86                    25.13 ms
87                    21.65 ms
88                    15.52 ms
89                    19.32 ms
90                    20.76 ms
91                    21.50 ms
92                    31.14 ms
93                    25.09 ms
94                    18.97 ms
95                    17.83 ms
96                    21.09 ms
97                    30.73 ms
98                    24.69 ms
99                    18.59 ms
100                   17.41 ms
101                   20.69 ms
102                   20.37 ms
103                   21.71 ms
104                   25.71 ms
105                   22.06 ms
106                   25.93 ms
107                   22.43 ms
108                   31.36 ms
109                   27.83 ms
110                   21.73 ms
111                   17.98 ms
112                   19.57 ms
113                   20.91 ms
114                   21.71 ms
115                   31.28 ms
116                   25.14 ms
117                   20.92 ms
118                   20.52 ms
119                   21.30 ms
120                   30.86 ms
121                   24.74 ms
122                   20.52 ms
123                   20.08 ms
124                   21.46 ms
125                   30.41 ms
126                   24.32 ms
127                   20.16 ms
128                   22.19 ms
129                   33.64 ms
130                   30.03 ms
131                   23.89 ms
132                   17.93 ms
133                   23.58 ms
134                   33.24 ms
135                   27.22 ms
136                   22.82 ms
137                   19.93 ms
138                   18.93 ms
139                   20.38 ms
140                   21.03 ms
141                   30.70 ms
142                   27.06 ms
143                   21.01 ms
144                   14.86 ms
145                   30.63 ms
146                   22.75 ms
147                   16.71 ms
148                   19.83 ms
149                   17.06 ms
150                   18.37 ms
151                   22.25 ms
152                   33.72 ms
153                   27.58 ms
154                   24.04 ms
155                   17.94 ms
156                   19.48 ms
157                   18.24 ms
158                   19.70 ms
159                   18.65 ms
160                   17.59 ms
161                   20.75 ms
162                   30.48 ms
163                   21.85 ms
164                   28.27 ms
165                   26.47 ms
166                   21.18 ms
