Label                  Latency
1                     51.93 ms
2                     70.60 ms
3                     59.62 ms
4                     75.98 ms
5                     87.38 ms
6                     94.47 ms
7                    100.87 ms
8                    101.86 ms
9                    103.89 ms
10                   110.31 ms
11                   115.92 ms
12                   118.18 ms
13                   119.55 ms
14                   116.04 ms
15                   121.71 ms
16                   111.35 ms
17                   100.27 ms
18                   106.70 ms
19                    71.75 ms
20                    80.31 ms
21                    77.01 ms
22                    65.95 ms
23                    70.00 ms
24                    65.88 ms
25                    54.88 ms
26                    51.62 ms
27                    45.78 ms
28                    44.03 ms
29                    28.23 ms
30                    22.10 ms
31                    26.31 ms
32                    20.07 ms
33                    16.37 ms
34                    28.01 ms
35                    19.29 ms
36                    15.61 ms
37                    19.59 ms
38                    13.57 ms
39                    17.55 ms
40                    16.46 ms
41                    25.43 ms
42                    16.69 ms
43                    23.12 ms
44                    14.60 ms
45                    21.03 ms
46                    14.92 ms
47                    18.80 ms
48                    12.78 ms
49                    26.66 ms
50                    18.00 ms
51                    19.54 ms
52                    18.33 ms
53                    17.26 ms
54                    18.03 ms
55                    17.66 ms
56                    16.60 ms
57                    18.00 ms
58                    16.89 ms
59                    25.85 ms
60                    17.26 ms
61                    18.78 ms
62                    17.61 ms
63                    21.55 ms
64                    12.95 ms
65                    19.35 ms
66                    13.35 ms
67                    17.25 ms
68                    16.13 ms
69                    25.04 ms
70                    16.46 ms
71                    18.07 ms
72                    16.82 ms
73                    20.77 ms
74                    14.72 ms
75                    18.56 ms
76                    12.60 ms
77                    26.43 ms
78                    17.80 ms
79                    24.24 ms
80                    15.61 ms
81                    23.86 ms
82                    15.23 ms
83                    19.95 ms
84                    13.94 ms
85                    17.76 ms
86                    16.82 ms
87                    25.61 ms
88                    16.97 ms
89                    23.47 ms
90                    14.83 ms
91                    23.07 ms
92                    14.44 ms
93                    19.20 ms
94                    14.81 ms
95                    27.01 ms
96                    18.46 ms
97                    19.82 ms
98                    18.66 ms
99                    17.63 ms
100                   16.56 ms
101                   22.24 ms
102                   29.36 ms
103                   20.75 ms
104                   29.63 ms
105                   27.86 ms
106                   22.51 ms
107                   28.96 ms
108                   20.35 ms
109                   16.79 ms
110                   25.74 ms
111                   22.09 ms
112                   15.29 ms
113                   17.46 ms
114                   16.39 ms
115                   25.34 ms
116                   16.72 ms
117                   18.10 ms
118                   27.23 ms
119                   18.44 ms
120                   25.01 ms
121                   16.37 ms
122                   17.80 ms
123                   26.81 ms
124                   18.10 ms
125                   24.57 ms
126                   21.29 ms
127                   27.74 ms
128                   30.57 ms
129                   27.69 ms
130                   30.96 ms
131                   37.97 ms
132                   34.63 ms
133                   37.75 ms
134                   36.75 ms
135                   25.78 ms
136                   19.61 ms
137                   26.26 ms
138                   39.79 ms
139                   29.31 ms
140                   20.85 ms
141                   22.27 ms
142                   28.59 ms
143                   24.28 ms
144                   20.70 ms
145                   15.30 ms
146                   26.77 ms
147                   18.17 ms
148                   17.21 ms
149                   18.47 ms
150                   14.91 ms
151                   33.14 ms
152                   25.30 ms
153                   22.10 ms
154                   35.08 ms
155                   33.99 ms
156                   20.59 ms
157                   19.79 ms
158                   13.88 ms
159                   17.63 ms
160                   18.43 ms
161                   20.19 ms
162                   19.43 ms
163                   13.48 ms
164                   17.22 ms
165                   18.00 ms
166                   20.09 ms
167                   16.50 ms
168                   32.55 ms
169                   31.49 ms
170                   15.70 ms
171                   31.62 ms
172                   30.72 ms
173                   17.21 ms
174                   26.49 ms
175                   18.00 ms
176                   19.37 ms
177                   15.73 ms
178                   22.28 ms
179                   13.50 ms
180                   19.97 ms
181                   16.32 ms
182                   27.83 ms
183                   19.29 ms
184                   14.92 ms
185                   26.52 ms
186                   45.36 ms
187                   34.55 ms
188                   26.47 ms
189                   20.01 ms
190                   26.10 ms
191                   27.28 ms
192                   37.07 ms
193                   26.01 ms
194                   30.03 ms
195                   21.29 ms
196                   15.20 ms
197                   26.68 ms
198                   18.13 ms
199                   17.00 ms
200                   18.40 ms
201                   14.83 ms
202                   33.44 ms
203                   32.42 ms
204                   16.83 ms
205                   24.87 ms
206                   24.47 ms
207                   32.73 ms
208                   37.22 ms
209                   27.84 ms
210                   20.00 ms
211                   16.43 ms
212                   25.42 ms
213                   16.86 ms
214                   15.75 ms
215                   17.21 ms
216                   17.85 ms
217                   19.97 ms
218                   16.44 ms
219                   22.91 ms
