Label                  Latency
1                     22.48 ms
2                     40.41 ms
3                     39.93 ms
4                     39.12 ms
5                     32.93 ms
6                     31.14 ms
7                     32.44 ms
8                     47.25 ms
9                     33.62 ms
10                    56.78 ms
11                    43.21 ms
12                    30.52 ms
13                    48.55 ms
14                    37.45 ms
15                    37.11 ms
16                    36.29 ms
17                    34.99 ms
18                    44.20 ms
19                    42.26 ms
20                    42.07 ms
21                    30.80 ms
22                    27.19 ms
23                    26.35 ms
24                    25.03 ms
25                    29.15 ms
26                    32.27 ms
27                    21.05 ms
28                    15.05 ms
29                    18.92 ms
30                    15.38 ms
31                    31.89 ms
32                    28.19 ms
33                    15.60 ms
34                    18.65 ms
35                    22.59 ms
36                    16.47 ms
37                    25.39 ms
38                    29.44 ms
39                    20.74 ms
40                    14.65 ms
41                    26.86 ms
42                    20.02 ms
43                    14.51 ms
44                    18.48 ms
45                    22.44 ms
46                    16.54 ms
47                    20.12 ms
48                    23.72 ms
49                    17.57 ms
50                    22.21 ms
51                    15.45 ms
52                    20.07 ms
53                    15.83 ms
54                    18.04 ms
55                    21.80 ms
56                    15.92 ms
57                    19.58 ms
58                    22.93 ms
59                    17.67 ms
60                    16.51 ms
61                    25.52 ms
62                    18.61 ms
63                    22.58 ms
64                    16.50 ms
65                    21.22 ms
66                    29.46 ms
67                    20.78 ms
68                    14.80 ms
69                    26.86 ms
70                    20.10 ms
71                    14.59 ms
72                    18.54 ms
73                    21.92 ms
74                    16.62 ms
75                    20.44 ms
76                    24.35 ms
77                    18.40 ms
78                    21.60 ms
79                    16.23 ms
80                    20.05 ms
81                    24.00 ms
82                    18.01 ms
83                    21.19 ms
84                    16.02 ms
85                    19.81 ms
86                    23.64 ms
87                    17.66 ms
88                    20.81 ms
89                    15.53 ms
90                    19.32 ms
91                    23.33 ms
92                    17.33 ms
93                    20.44 ms
94                    15.20 ms
95                    18.96 ms
96                    22.92 ms
97                    16.94 ms
98                    20.07 ms
99                    14.88 ms
100                   18.61 ms
101                   22.58 ms
102                   16.58 ms
103                   19.68 ms
104                   16.91 ms
105                   18.25 ms
106                   22.14 ms
107                   16.19 ms
108                   19.38 ms
109                   16.56 ms
110                   17.89 ms
111                   21.85 ms
112                   15.84 ms
113                   19.00 ms
114                   16.21 ms
115                   26.82 ms
116                   20.75 ms
117                   15.14 ms
118                   18.63 ms
119                   15.73 ms
120                   26.52 ms
121                   20.36 ms
122                   15.08 ms
123                   18.26 ms
124                   22.80 ms
125                   16.16 ms
126                   20.80 ms
127                   29.16 ms
128                   20.43 ms
129                   21.83 ms
130                   21.63 ms
131                   22.20 ms
132                   16.03 ms
133                   15.17 ms
134                   21.45 ms
135                   20.63 ms
136                   26.86 ms
137                   25.78 ms
138                   17.95 ms
139                   18.65 ms
140                   15.93 ms
141                   18.95 ms
142                   17.89 ms
143                   17.70 ms
144                   43.30 ms
145                   32.18 ms
146                   31.18 ms
147                   30.89 ms
148                   16.58 ms
149                   25.43 ms
150                   37.19 ms
151                   43.39 ms
152                   30.63 ms
153                   33.58 ms
154                   20.07 ms
155                   29.08 ms
156                   21.25 ms
157                   21.87 ms
158                   16.55 ms
159                   19.72 ms
160                   18.68 ms
161                   17.55 ms
162                   16.44 ms
163                   25.50 ms
164                   16.91 ms
165                   20.80 ms
166                   22.29 ms
167                   21.19 ms
168                   28.10 ms
169                   24.07 ms
170                   28.03 ms
171                   39.45 ms
172                   25.89 ms
173                   37.27 ms
174                   49.39 ms
175                   35.82 ms
176                   22.19 ms
177                   11.09 ms
178                   24.30 ms
179                   19.02 ms
180                   13.10 ms
181                   26.05 ms
