Label                  Latency
1                     23.28 ms
2                     37.76 ms
3                     39.11 ms
4                     48.52 ms
5                     46.41 ms
6                     56.45 ms
7                     45.18 ms
8                     48.90 ms
9                     52.18 ms
10                    38.57 ms
11                    40.63 ms
12                    39.86 ms
13                    28.53 ms
14                    32.41 ms
15                    36.60 ms
16                    25.53 ms
17                    29.56 ms
18                    43.48 ms
19                    31.59 ms
20                    23.48 ms
21                    32.48 ms
22                    39.10 ms
23                    63.05 ms
24                    48.68 ms
25                    47.52 ms
26                    51.60 ms
27                    50.41 ms
28                    39.25 ms
29                    38.39 ms
30                    25.45 ms
31                    39.22 ms
32                    55.03 ms
33                    41.56 ms
34                    38.06 ms
35                    24.42 ms
36                    30.68 ms
37                    34.67 ms
38                    23.55 ms
39                    17.46 ms
40                    22.28 ms
41                    15.33 ms
42                    19.16 ms
43                    16.41 ms
44                    17.70 ms
45                    21.85 ms
46                    15.01 ms
47                    19.61 ms
48                    15.38 ms
49                    17.34 ms
50                    21.54 ms
51                    14.74 ms
52                    18.55 ms
53                    15.62 ms
54                    17.12 ms
55                    21.16 ms
56                    14.27 ms
57                    18.11 ms
58                    15.29 ms
59                    26.67 ms
60                    19.94 ms
61                    17.02 ms
62                    18.38 ms
63                    22.48 ms
64                    15.60 ms
65                    20.29 ms
66                    14.36 ms
67                    18.09 ms
68                    14.47 ms
69                    25.91 ms
70                    19.24 ms
71                    16.31 ms
72                    27.87 ms
73                    21.06 ms
74                    15.71 ms
75                    19.64 ms
76                    16.01 ms
77                    17.36 ms
78                    21.32 ms
79                    14.62 ms
80                    19.28 ms
81                    13.20 ms
82                    16.99 ms
83                    20.96 ms
84                    17.62 ms
85                    21.39 ms
86                    27.92 ms
87                    31.70 ms
88                    23.33 ms
89                    39.60 ms
90                    30.94 ms
91                    19.23 ms
92                    18.74 ms
93                    20.28 ms
94                    16.70 ms
95                    18.24 ms
96                    14.58 ms
97                    26.03 ms
98                    19.26 ms
99                    16.39 ms
100                   27.76 ms
101                   20.98 ms
102                   15.56 ms
103                   19.56 ms
104                   13.57 ms
105                   17.53 ms
106                   16.49 ms
107                   17.73 ms
108                   19.22 ms
109                   15.66 ms
110                   27.18 ms
111                   20.40 ms
112                   20.11 ms
113                   18.92 ms
114                   22.87 ms
115                   16.15 ms
116                   20.69 ms
117                   14.66 ms
118                   18.53 ms
119                   14.25 ms
120                   26.46 ms
121                   19.67 ms
122                   16.72 ms
123                   18.19 ms
124                   22.07 ms
125                   15.40 ms
126                   19.99 ms
127                   14.01 ms
128                   17.83 ms
129                   21.75 ms
130                   15.05 ms
131                   19.63 ms
132                   13.55 ms
133                   17.52 ms
134                   21.39 ms
135                   14.66 ms
136                   19.30 ms
137                   13.27 ms
138                   17.22 ms
139                   21.19 ms
140                   14.32 ms
141                   18.96 ms
142                   13.00 ms
143                   26.85 ms
144                   20.78 ms
145                   14.80 ms
146                   23.67 ms
147                   15.09 ms
148                   33.33 ms
149                   22.91 ms
150                   14.39 ms
151                   37.71 ms
152                   24.93 ms
153                   15.57 ms
154                   20.17 ms
155                   14.04 ms
156                   18.05 ms
157                   22.05 ms
158                   15.19 ms
159                   19.08 ms
160                   16.16 ms
161                   17.49 ms
162                   21.62 ms
163                   14.79 ms
164                   18.64 ms
165                   15.85 ms
166                   17.15 ms
167                   21.28 ms
168                   14.44 ms
169                   18.32 ms
170                   15.43 ms
171                   16.33 ms
172                   20.28 ms
173                   16.66 ms
174                   23.13 ms
175                   27.01 ms
176                   30.98 ms
177                   29.85 ms
178                   28.93 ms
179                   20.90 ms
180                   27.55 ms
181                   26.28 ms
182                   32.18 ms
183                   33.63 ms
184                   30.08 ms
185                   44.08 ms
186                   28.18 ms
187                   44.16 ms
188                   33.20 ms
189                   32.08 ms
190                   31.04 ms
191                   30.07 ms
192                   28.92 ms
193                   30.15 ms
194                   39.12 ms
195                   28.02 ms
196                   27.57 ms
197                   34.26 ms
198                   23.12 ms
199                   16.95 ms
200                   25.23 ms
201                   26.86 ms
202                   25.65 ms
203                   37.03 ms
204                   23.43 ms
205                   35.31 ms
206                   28.98 ms
207                   37.84 ms
208                   27.25 ms
209                   25.76 ms
210                   27.16 ms
211                   19.28 ms
212                   38.34 ms
213                   34.70 ms
214                   27.75 ms
215                   21.64 ms
216                   13.85 ms
217                   17.04 ms
218                   20.86 ms
219                   20.54 ms
220                   18.75 ms
221                   22.61 ms
222                   16.62 ms
223                   21.34 ms
224                   14.42 ms
225                   18.39 ms
226                   14.89 ms
227                   16.92 ms
228                   20.91 ms
229                   16.69 ms
230                   18.10 ms
231                   27.10 ms
232                   30.88 ms
233                   22.27 ms
234                   16.27 ms
235                   17.63 ms
236                   21.56 ms
237                   15.54 ms
238                   20.28 ms
239                   14.20 ms
240                   17.32 ms
241                   21.24 ms
242                   15.18 ms
243                   19.81 ms
244                   15.58 ms
245                   16.99 ms
246                   20.82 ms
247                   14.90 ms
248                   19.48 ms
249                   15.28 ms
250                   21.71 ms
251                   20.41 ms
252                   15.25 ms
253                   19.04 ms
254                   14.85 ms
255                   16.42 ms
256                   20.12 ms
257                   17.33 ms
258                   18.60 ms
259                   22.80 ms
260                   23.24 ms
261                   30.68 ms
262                   23.76 ms
263                   23.16 ms
264                   29.22 ms
265                   26.37 ms
266                   20.16 ms
267                   26.26 ms
268                   32.38 ms
269                   22.10 ms
270                   18.33 ms
271                   19.09 ms
272                   30.53 ms
273                   21.94 ms
274                   21.74 ms
275                   28.20 ms
276                   28.87 ms
277                   23.57 ms
278                   24.09 ms
279                   18.10 ms
280                   15.30 ms
281                   18.36 ms
282                   15.51 ms
283                   16.77 ms
284                   20.94 ms
285                   16.64 ms
286                   20.87 ms
287                   21.93 ms
288                   21.64 ms
289                   22.34 ms
290                   16.27 ms
291                   17.71 ms
292                   21.60 ms
293                   15.49 ms
294                   20.24 ms
295                   15.99 ms
296                   17.41 ms
297                   21.24 ms
298                   15.18 ms
299                   19.89 ms
300                   13.97 ms
301                   14.46 ms
302                   20.91 ms
303                   15.37 ms
304                   21.63 ms
305                   15.18 ms
306                   14.08 ms
307                   20.51 ms
308                   14.42 ms
309                   18.44 ms
310                   14.85 ms
311                   13.75 ms
312                   20.19 ms
313                   24.21 ms
314                   40.59 ms
315                   27.11 ms
316                   16.65 ms
317                   24.91 ms
318                   28.89 ms
319                   40.28 ms
320                   26.65 ms
321                   40.59 ms
322                   24.86 ms
323                   28.51 ms
324                   32.33 ms
325                   21.23 ms
326                   15.17 ms
327                   21.99 ms
328                   28.09 ms
329                   29.65 ms
330                   21.79 ms
331                   15.04 ms
332                   24.73 ms
333                   25.25 ms
334                   34.21 ms
335                   28.65 ms
336                   17.89 ms
337                   25.92 ms
338                   40.66 ms
339                   42.15 ms
340                   30.94 ms
341                   21.68 ms
342                   13.84 ms
343                   19.48 ms
344                   15.93 ms
345                   24.90 ms
346                   23.94 ms
347                   32.74 ms
348                   26.82 ms
349                   15.63 ms
350                   19.70 ms
351                   28.58 ms
352                   40.05 ms
353                   26.40 ms
354                   32.78 ms
355                   29.33 ms
356                   30.62 ms
357                   39.70 ms
358                   26.02 ms
359                   29.89 ms
360                   21.24 ms
361                   15.75 ms
362                   16.63 ms
363                   20.62 ms
364                   14.54 ms
365                   19.14 ms
366                   15.51 ms
367                   16.34 ms
368                   20.27 ms
369                   17.40 ms
370                   18.62 ms
371                   22.85 ms
372                   23.36 ms
373                   30.68 ms
374                   23.90 ms
375                   23.23 ms
376                   29.22 ms
377                   26.34 ms
378                   20.25 ms
379                   23.49 ms
380                   17.35 ms
381                   22.10 ms
382                   15.21 ms
383                   19.23 ms
384                   16.29 ms
385                   17.60 ms
386                   21.75 ms
387                   14.94 ms
388                   18.83 ms
389                   15.97 ms
390                   17.24 ms
391                   21.38 ms
392                   14.60 ms
393                   23.60 ms
394                   15.57 ms
395                   19.44 ms
396                   30.94 ms
397                   24.93 ms
398                   41.34 ms
399                   32.87 ms
400                   20.94 ms
401                   24.94 ms
402                   31.40 ms
403                   21.04 ms
404                    7.47 ms
405                   25.69 ms
406                   20.39 ms
407                   16.10 ms
408                   17.51 ms
409                   21.43 ms
410                   28.03 ms
411                   31.98 ms
412                   28.31 ms
413                   24.63 ms
414                   21.81 ms
415                   15.70 ms
416                   19.49 ms
417                   23.50 ms
418                   16.81 ms
419                   20.71 ms
420                   20.18 ms
421                   19.12 ms
422                   23.13 ms
423                   16.43 ms
424                   20.34 ms
425                   19.89 ms
426                   18.80 ms
427                   22.81 ms
428                   16.11 ms
429                   22.88 ms
430                   28.96 ms
431                   32.78 ms
432                   22.48 ms
433                   15.70 ms
434                   19.64 ms
435                   23.60 ms
436                   17.45 ms
437                   22.07 ms
438                   15.31 ms
439                   19.27 ms
440                   23.21 ms
441                   17.13 ms
442                   21.80 ms
443                   15.00 ms
444                   18.88 ms
445                   22.86 ms
446                   16.75 ms
447                   21.42 ms
