Label                  Latency
1                     23.81 ms
2                     37.68 ms
3                     39.87 ms
4                     38.88 ms
5                     36.98 ms
6                     41.62 ms
7                     30.82 ms
8                     29.58 ms
9                     38.64 ms
10                    47.43 ms
11                    46.50 ms
12                    41.94 ms
13                    44.00 ms
14                    40.69 ms
15                    41.20 ms
16                    45.99 ms
17                    42.36 ms
18                    28.73 ms
19                    42.73 ms
20                    41.65 ms
21                    39.70 ms
22                    39.53 ms
23                    28.43 ms
24                    49.85 ms
25                    46.23 ms
26                    37.58 ms
27                    23.97 ms
28                    29.70 ms
29                    43.61 ms
30                    27.92 ms
31                    43.93 ms
32                    33.75 ms
33                    25.06 ms
34                    18.22 ms
35                    15.37 ms
36                    31.05 ms
37                    20.36 ms
38                    14.69 ms
39                    15.29 ms
40                    32.54 ms
41                    26.40 ms
42                    22.12 ms
43                    24.13 ms
44                    18.18 ms
45                    21.39 ms
46                    16.05 ms
47                    34.99 ms
48                    26.38 ms
49                    22.76 ms
50                    28.41 ms
51                    25.67 ms
52                    24.59 ms
53                    22.72 ms
54                    17.38 ms
55                    36.25 ms
56                    27.79 ms
57                    24.21 ms
58                    22.95 ms
59                    26.22 ms
60                    20.98 ms
61                    14.66 ms
62                    18.57 ms
63                    32.56 ms
64                    26.50 ms
65                    22.86 ms
66                    14.32 ms
67                    18.16 ms
68                    22.22 ms
69                    17.81 ms
70                    19.97 ms
71                    43.91 ms
72                    40.23 ms
73                    28.58 ms
74                    20.74 ms
75                    12.11 ms
76                    23.41 ms
77                    17.40 ms
78                    16.45 ms
79                    37.76 ms
80                    29.28 ms
81                    23.05 ms
82                    31.42 ms
83                    21.00 ms
84                    29.92 ms
85                    20.63 ms
86                    14.51 ms
87                    36.75 ms
88                    30.65 ms
89                    24.43 ms
90                    32.90 ms
91                    22.43 ms
92                    15.58 ms
93                    20.26 ms
94                    36.82 ms
95                    33.16 ms
96                    24.62 ms
97                    20.98 ms
98                    19.85 ms
99                    16.37 ms
100                   17.72 ms
101                   21.60 ms
102                   44.97 ms
103                   41.29 ms
104                   33.52 ms
105                   27.40 ms
106                   21.39 ms
107                   22.12 ms
108                   19.16 ms
109                   15.61 ms
110                   29.50 ms
111                   30.88 ms
112                   19.96 ms
113                   21.25 ms
114                   22.75 ms
115                   16.76 ms
116                   20.58 ms
117                   39.68 ms
118                   35.29 ms
119                   27.43 ms
120                   25.74 ms
121                   20.27 ms
122                   19.30 ms
123                   17.47 ms
124                   22.02 ms
125                   30.35 ms
126                   24.26 ms
127                   16.46 ms
128                   17.88 ms
129                   16.76 ms
130                   18.10 ms
131                   19.49 ms
132                   16.10 ms
133                   32.63 ms
134                   26.41 ms
135                   17.88 ms
136                   21.08 ms
137                   23.09 ms
138                   17.14 ms
139                   21.07 ms
140                   40.14 ms
141                   31.39 ms
142                   17.93 ms
143                   21.83 ms
144                   25.89 ms
145                   24.70 ms
146                   20.32 ms
147                   14.91 ms
148                   28.85 ms
149                   20.31 ms
150                   16.84 ms
151                   17.61 ms
152                   22.14 ms
153                   15.41 ms
154                   19.98 ms
155                   14.10 ms
156                   27.97 ms
157                   21.95 ms
158                   18.36 ms
159                   14.64 ms
160                   23.57 ms
161                   16.86 ms
162                   20.84 ms
163                   14.69 ms
164                   24.41 ms
165                   20.02 ms
166                   26.43 ms
167                   17.94 ms
168                   15.13 ms
169                   18.26 ms
170                   17.16 ms
171                   16.91 ms
172                   25.74 ms
173                   46.50 ms
174                   35.32 ms
175                   34.94 ms
176                   23.12 ms
177                   19.61 ms
178                   21.01 ms
179                   15.05 ms
180                   28.87 ms
181                   21.11 ms
182                   12.59 ms
183                   25.97 ms
