Label                  Latency
1                     21.98 ms
2                     37.85 ms
3                     39.28 ms
4                     38.46 ms
5                     36.63 ms
6                     36.44 ms
7                     35.24 ms
8                     38.37 ms
9                     32.25 ms
10                    32.13 ms
11                    50.22 ms
12                    39.02 ms
13                    38.56 ms
14                    37.80 ms
15                    35.77 ms
16                    35.61 ms
17                    34.39 ms
18                    33.49 ms
19                    31.46 ms
20                    31.39 ms
21                    30.00 ms
22                    29.13 ms
23                    43.06 ms
24                    31.91 ms
25                    50.92 ms
26                    37.11 ms
27                    38.16 ms
28                    22.20 ms
29                    31.15 ms
30                    22.15 ms
31                    16.93 ms
32                    17.52 ms
33                    21.44 ms
34                    15.50 ms
35                    30.34 ms
36                    31.53 ms
37                    20.28 ms
38                    21.09 ms
39                    15.09 ms
40                    21.46 ms
41                    15.35 ms
42                    19.26 ms
43                    16.32 ms
44                    17.75 ms
45                    21.80 ms
46                    14.95 ms
47                    18.87 ms
48                    15.34 ms
49                    17.33 ms
50                    21.36 ms
51                    14.63 ms
52                    19.13 ms
53                    14.95 ms
54                    27.11 ms
55                    20.34 ms
56                    17.37 ms
57                    18.74 ms
58                    22.15 ms
59                    16.08 ms
60                    20.80 ms
61                    16.43 ms
62                    18.38 ms
63                    14.83 ms
64                    26.35 ms
65                    19.53 ms
66                    16.66 ms
67                    18.00 ms
68                    22.02 ms
69                    15.18 ms
70                    19.87 ms
71                    13.84 ms
72                    17.65 ms
73                    21.62 ms
74                    14.86 ms
75                    19.54 ms
76                    13.50 ms
77                    17.28 ms
78                    21.25 ms
79                    14.44 ms
80                    19.15 ms
81                    13.28 ms
82                    27.06 ms
83                    20.93 ms
84                    14.87 ms
85                    18.79 ms
86                    14.47 ms
87                    26.63 ms
88                    19.85 ms
89                    24.44 ms
90                    17.72 ms
91                    22.29 ms
92                    15.51 ms
93                    20.15 ms
94                    15.90 ms
95                    18.03 ms
96                    21.96 ms
97                    15.67 ms
98                    19.77 ms
99                    15.54 ms
100                   17.75 ms
101                   21.54 ms
102                   17.88 ms
103                   19.42 ms
104                   15.16 ms
105                   17.31 ms
106                   21.23 ms
107                   14.99 ms
108                   19.07 ms
109                   14.81 ms
110                   26.97 ms
111                   20.16 ms
112                   17.27 ms
113                   18.71 ms
114                   15.08 ms
115                   26.67 ms
116                   19.83 ms
117                   16.90 ms
118                   18.37 ms
119                   14.68 ms
120                   26.25 ms
121                   19.46 ms
122                   16.52 ms
123                   27.99 ms
124                   21.21 ms
125                   15.96 ms
126                   19.78 ms
127                   16.15 ms
128                   17.62 ms
129                   16.60 ms
130                   15.58 ms
131                   19.44 ms
132                   13.46 ms
133                   17.29 ms
134                   21.25 ms
135                   14.46 ms
136                   19.07 ms
137                   14.76 ms
138                   26.94 ms
139                   20.14 ms
140                   24.87 ms
141                   18.01 ms
142                   15.13 ms
143                   26.84 ms
144                   19.91 ms
145                   24.56 ms
146                   17.79 ms
147                   14.75 ms
148                   26.29 ms
149                   19.49 ms
150                   23.47 ms
151                   17.40 ms
152                   22.00 ms
153                   15.30 ms
154                   19.75 ms
155                   15.61 ms
156                   17.64 ms
157                   21.76 ms
158                   14.88 ms
159                   18.78 ms
160                   15.25 ms
161                   16.74 ms
162                   20.65 ms
163                   14.52 ms
164                   18.45 ms
165                   17.48 ms
166                   18.82 ms
167                   21.12 ms
168                   24.11 ms
169                   18.82 ms
170                   19.57 ms
171                   15.96 ms
172                   19.96 ms
173                   33.82 ms
174                   42.71 ms
175                   40.09 ms
176                   36.46 ms
177                   34.54 ms
178                   33.96 ms
179                   35.76 ms
180                   39.72 ms
181                   37.80 ms
182                   47.62 ms
183                   36.30 ms
184                   37.99 ms
185                   46.07 ms
186                   35.67 ms
187                   22.20 ms
188                    8.51 ms
189                   14.23 ms
190                   18.15 ms
191                   14.55 ms
192                   18.58 ms
193                   29.88 ms
194                   29.03 ms
195                   17.79 ms
196                   15.09 ms
197                   33.96 ms
198                   29.70 ms
199                   21.85 ms
200                   12.91 ms
201                   23.77 ms
202                   18.29 ms
203                   21.61 ms
204                   15.55 ms
205                   19.43 ms
206                   16.54 ms
207                   17.95 ms
208                   22.00 ms
209                   15.17 ms
210                   19.17 ms
211                   16.24 ms
212                   17.59 ms
213                   21.73 ms
214                   14.77 ms
215                   18.79 ms
216                   15.87 ms
217                   17.24 ms
218                   21.26 ms
219                   14.43 ms
220                   18.32 ms
221                   22.23 ms
222                   21.86 ms
223                   25.95 ms
224                   24.94 ms
225                   18.73 ms
226                   21.98 ms
227                   15.99 ms
228                   20.53 ms
229                   24.58 ms
230                   17.66 ms
231                   21.55 ms
232                   15.60 ms
233                   20.20 ms
234                   15.91 ms
235                   17.28 ms
236                   26.46 ms
237                   30.17 ms
238                   21.55 ms
239                   15.57 ms
240                   16.97 ms
241                   20.82 ms
242                   20.42 ms
243                   19.33 ms
244                   23.37 ms
245                   16.63 ms
246                   20.48 ms
247                   20.01 ms
248                   18.93 ms
249                   22.96 ms
250                   16.23 ms
251                   20.19 ms
252                   24.07 ms
253                   23.07 ms
254                   24.85 ms
255                   16.65 ms
256                   19.81 ms
257                   23.74 ms
258                   17.65 ms
259                   22.33 ms
260                   15.51 ms
261                   19.45 ms
262                   23.35 ms
263                   17.29 ms
264                   21.93 ms
265                   15.18 ms
266                   19.08 ms
267                   15.55 ms
268                   17.56 ms
269                   21.65 ms
270                   14.86 ms
271                   26.33 ms
272                   23.49 ms
273                   22.30 ms
274                   26.36 ms
275                   25.08 ms
276                   25.95 ms
277                   23.08 ms
278                   17.03 ms
279                   20.72 ms
280                   24.86 ms
281                   17.97 ms
282                   21.96 ms
283                   15.82 ms
284                   20.50 ms
285                   16.21 ms
286                   17.63 ms
287                   39.78 ms
288                   41.38 ms
289                   30.18 ms
290                   38.36 ms
291                   27.92 ms
292                   21.10 ms
293                   17.60 ms
294                   19.03 ms
295                   22.89 ms
296                   16.84 ms
297                   18.32 ms
298                   22.21 ms
299                   33.69 ms
300                   35.25 ms
301                   21.58 ms
302                   20.45 ms
303                   29.51 ms
304                   43.21 ms
305                   32.15 ms
306                   26.12 ms
307                   15.80 ms
308                   21.45 ms
309                   15.51 ms
310                   27.39 ms
311                   38.25 ms
312                   34.67 ms
313                   31.19 ms
314                   30.27 ms
315                   22.32 ms
316                   23.38 ms
317                   34.96 ms
318                   38.30 ms
319                   24.86 ms
320                   36.20 ms
321                   38.35 ms
322                   26.40 ms
323                   28.63 ms
324                   20.15 ms
325                   14.00 ms
326                   24.62 ms
327                   18.49 ms
328                   25.41 ms
329                   41.33 ms
330                   30.35 ms
331                   29.24 ms
332                   21.44 ms
333                   22.22 ms
334                   31.03 ms
335                   35.00 ms
336                   24.64 ms
337                   23.64 ms
338                   27.78 ms
339                   33.26 ms
340                   40.24 ms
341                   26.69 ms
342                   32.36 ms
343                   22.13 ms
344                   20.27 ms
345                   19.76 ms
346                   23.85 ms
347                   17.16 ms
348                   21.63 ms
349                   14.91 ms
350                   19.43 ms
351                   13.50 ms
352                   16.69 ms
353                   21.19 ms
354                   14.55 ms
355                   19.07 ms
356                   14.86 ms
357                   26.92 ms
358                   20.20 ms
359                   24.10 ms
360                   17.93 ms
361                   22.57 ms
362                   15.79 ms
363                   20.33 ms
364                   16.14 ms
365                   18.19 ms
366                   14.04 ms
367                   26.17 ms
368                   19.41 ms
369                   23.32 ms
370                   17.16 ms
371                   21.82 ms
372                   15.07 ms
373                   19.56 ms
374                   15.42 ms
375                   17.54 ms
376                   21.52 ms
377                   14.64 ms
378                   19.15 ms
379                   14.93 ms
380                   27.02 ms
381                   20.29 ms
382                   17.33 ms
383                   18.63 ms
384                   22.05 ms
385                   15.96 ms
386                   20.52 ms
387                   16.29 ms
388                   18.27 ms
389                   17.34 ms
390                   16.33 ms
391                   20.13 ms
392                   15.91 ms
393                   17.90 ms
394                   16.88 ms
395                   15.94 ms
396                   19.72 ms
397                   15.55 ms
398                   17.49 ms
399                   20.96 ms
400                   14.78 ms
401                   19.41 ms
402                   15.10 ms
403                   17.16 ms
404                   16.16 ms
405                   15.24 ms
406                   19.05 ms
407                   15.38 ms
408                   26.91 ms
409                   20.18 ms
410                   24.71 ms
411                   18.09 ms
412                   22.68 ms
413                   15.93 ms
414                   19.83 ms
415                   16.81 ms
416                   18.25 ms
417                   22.32 ms
418                   15.54 ms
419                   19.48 ms
420                   16.52 ms
421                   17.88 ms
422                   21.27 ms
423                   20.26 ms
424                   24.14 ms
425                   25.90 ms
426                   24.63 ms
427                   23.39 ms
428                   15.53 ms
429                   16.27 ms
430                   22.68 ms
431                   16.60 ms
432                   20.49 ms
433                   14.45 ms
434                   15.89 ms
435                   29.96 ms
436                   31.40 ms
437                   20.15 ms
438                   29.34 ms
439                   21.48 ms
440                   22.12 ms
441                   30.90 ms
442                   32.58 ms
443                   21.27 ms
444                   22.71 ms
445                   14.87 ms
446                   23.03 ms
447                   17.03 ms
448                   23.40 ms
449                   22.44 ms
450                   28.80 ms
451                   21.07 ms
452                   30.08 ms
453                   35.77 ms
454                   24.54 ms
455                   33.43 ms
456                   34.84 ms
457                   23.90 ms
458                   35.21 ms
459                   49.24 ms
460                   38.00 ms
461                   30.13 ms
462                   21.66 ms
463                   17.37 ms
464                   26.21 ms
465                   20.13 ms
466                   21.58 ms
467                   30.55 ms
468                   22.76 ms
469                   15.91 ms
470                   17.37 ms
471                   31.31 ms
472                   32.73 ms
473                   21.53 ms
474                   30.46 ms
475                   21.87 ms
476                   21.72 ms
477                   32.25 ms
478                   26.76 ms
479                   14.94 ms
480                   18.95 ms
481                   15.97 ms
482                   16.77 ms
483                   21.38 ms
484                   20.38 ms
485                   18.62 ms
486                   22.48 ms
487                   16.35 ms
488                   21.06 ms
489                   16.74 ms
490                   18.28 ms
491                   22.11 ms
492                   16.06 ms
493                   20.73 ms
494                   16.37 ms
495                   18.42 ms
496                   17.35 ms
497                   16.40 ms
498                   20.20 ms
499                   15.95 ms
500                   18.00 ms
501                   17.02 ms
502                   16.14 ms
503                   19.86 ms
504                   15.59 ms
505                   17.59 ms
506                   16.66 ms
507                   15.63 ms
508                   19.46 ms
509                   15.18 ms
510                   17.23 ms
511                   16.27 ms
512                   15.30 ms
513                   19.10 ms
514                   15.42 ms
515                   26.99 ms
516                   20.21 ms
517                   24.78 ms
518                   18.11 ms
519                   22.60 ms
520                   15.90 ms
521                   19.83 ms
522                   16.85 ms
523                   18.17 ms
524                   22.15 ms
525                   15.50 ms
526                   19.43 ms
527                   16.43 ms
528                   17.76 ms
529                   21.79 ms
530                   15.10 ms
531                   18.97 ms
532                   16.06 ms
533                   17.35 ms
534                   21.38 ms
535                   14.63 ms
536                   18.52 ms
537                   15.56 ms
538                   33.81 ms
539                   23.51 ms
540                   29.18 ms
541                   28.95 ms
542                   15.30 ms
543                   26.00 ms
544                   19.92 ms
545                   24.57 ms
546                   17.76 ms
547                   22.16 ms
548                   18.02 ms
549                   15.20 ms
550                   24.07 ms
551                   17.33 ms
552                   21.91 ms
553                   15.19 ms
554                   19.77 ms
555                   13.81 ms
556                   16.97 ms
557                   21.48 ms
558                   14.87 ms
559                   19.44 ms
560                   15.15 ms
561                   16.50 ms
562                   20.50 ms
563                   16.88 ms
564                   18.89 ms
565                   22.24 ms
566                   16.90 ms
567                   20.07 ms
568                   17.01 ms
569                   17.93 ms
570                   21.80 ms
571                   15.71 ms
572                   22.50 ms
573                   26.32 ms
574                   30.23 ms
575                   22.33 ms
576                   15.46 ms
577                   24.29 ms
578                   33.17 ms
579                   27.22 ms
580                   23.63 ms
581                   24.97 ms
582                   19.67 ms
583                   20.32 ms
584                   17.36 ms
585                   20.68 ms
586                   14.58 ms
587                   16.04 ms
588                   19.94 ms
589                   23.86 ms
590                   27.96 ms
591                   31.70 ms
592                   40.67 ms
593                   27.15 ms
594                   31.04 ms
595                   29.90 ms
596                   16.30 ms
597                   20.53 ms
598                   26.65 ms
599                   30.60 ms
600                   30.34 ms
601                   16.44 ms
602                   17.31 ms
603                   18.78 ms
604                   15.21 ms
605                   19.15 ms
606                   16.02 ms
607                   19.76 ms
608                   25.90 ms
609                   39.86 ms
610                   26.58 ms
611                   25.21 ms
612                   39.29 ms
613                   28.17 ms
614                   20.26 ms
615                   20.92 ms
616                   12.87 ms
617                   26.69 ms
618                   20.83 ms
619                   24.04 ms
620                   17.99 ms
621                   21.95 ms
622                   15.81 ms
623                   17.24 ms
624                   21.27 ms
625                   15.20 ms
626                   29.05 ms
627                   28.13 ms
628                   16.93 ms
629                   28.38 ms
630                   39.95 ms
631                   29.39 ms
632                   27.72 ms
633                   34.04 ms
634                   22.90 ms
635                   16.80 ms
636                   20.78 ms
637                   14.67 ms
638                   16.08 ms
639                   15.80 ms
640                   16.47 ms
641                   27.98 ms
642                   37.00 ms
643                   25.82 ms
644                   24.73 ms
645                   31.09 ms
646                   32.78 ms
647                   32.55 ms
648                   33.00 ms
649                   27.01 ms
650                   30.74 ms
651                   22.19 ms
652                   16.61 ms
653                   15.04 ms
654                   19.02 ms
655                   12.91 ms
656                   19.35 ms
657                   23.23 ms
658                   19.59 ms
659                   26.12 ms
660                   27.69 ms
661                   19.74 ms
662                   28.13 ms
663                   26.82 ms
664                   35.72 ms
665                   25.31 ms
666                   18.61 ms
667                   22.50 ms
668                   16.33 ms
669                   20.35 ms
670                   17.27 ms
671                   18.27 ms
672                   22.77 ms
673                   16.00 ms
674                   19.95 ms
675                   21.40 ms
676                   15.44 ms
677                   21.72 ms
678                   15.61 ms
679                   19.60 ms
680                   16.57 ms
681                   17.59 ms
682                   21.44 ms
683                   15.92 ms
684                   19.27 ms
685                   16.33 ms
686                   17.18 ms
