Label                  Latency
1                     25.67 ms
2                     35.58 ms
3                     38.49 ms
4                     38.33 ms
5                     28.90 ms
6                     40.30 ms
7                     29.19 ms
8                     28.87 ms
9                     44.63 ms
10                    41.93 ms
11                    38.17 ms
12                    44.50 ms
13                    33.48 ms
14                    32.34 ms
15                    31.43 ms
16                    30.28 ms
17                    29.37 ms
18                    38.18 ms
19                    54.09 ms
20                    38.16 ms
21                    29.84 ms
22                    35.63 ms
23                    30.61 ms
24                    34.10 ms
25                    23.04 ms
26                    16.90 ms
27                    20.15 ms
28                    14.19 ms
29                    15.67 ms
30                    19.55 ms
31                    15.99 ms
32                    19.81 ms
33                    16.88 ms
34                    17.67 ms
35                    19.16 ms
36                    15.59 ms
37                    19.44 ms
38                    16.53 ms
39                    17.30 ms
40                    18.77 ms
41                    15.16 ms
42                    19.10 ms
43                    15.62 ms
44                    16.96 ms
45                    20.91 ms
46                    14.83 ms
47                    19.46 ms
48                    15.27 ms
49                    16.67 ms
50                    20.55 ms
51                    14.52 ms
52                    19.13 ms
53                    14.91 ms
54                    16.32 ms
55                    20.21 ms
56                    14.17 ms
57                    18.75 ms
58                    17.07 ms
59                    26.61 ms
60                    19.87 ms
61                    23.81 ms
62                    17.70 ms
63                    22.38 ms
64                    15.55 ms
65                    19.50 ms
66                    16.64 ms
67                    17.90 ms
68                    22.11 ms
69                    15.27 ms
70                    19.20 ms
71                    16.30 ms
72                    17.56 ms
73                    21.71 ms
74                    14.85 ms
75                    18.81 ms
76                    15.89 ms
77                    17.19 ms
78                    21.36 ms
79                    14.51 ms
80                    18.46 ms
81                    15.58 ms
82                    16.87 ms
83                    21.00 ms
84                    14.19 ms
85                    18.16 ms
86                    22.08 ms
87                    21.64 ms
88                    25.81 ms
89                    24.62 ms
90                    18.57 ms
91                    21.74 ms
92                    15.58 ms
93                    20.31 ms
94                    14.47 ms
95                    17.46 ms
96                    21.35 ms
97                    15.22 ms
98                    19.93 ms
99                    14.06 ms
100                   17.16 ms
101                   21.02 ms
102                   20.61 ms
103                   19.59 ms
104                   23.51 ms
105                   16.75 ms
106                   20.63 ms
107                   20.20 ms
108                   19.17 ms
109                   23.10 ms
110                   16.42 ms
111                   20.32 ms
112                   19.85 ms
113                   18.18 ms
114                   22.05 ms
115                   16.01 ms
116                   19.96 ms
117                   16.91 ms
118                   17.77 ms
119                   21.69 ms
120                   15.64 ms
121                   17.13 ms
122                   21.05 ms
123                   15.15 ms
124                   21.36 ms
125                   15.34 ms
126                   16.78 ms
127                   20.65 ms
128                   17.06 ms
129                   20.98 ms
130                   14.91 ms
131                   16.33 ms
132                   18.76 ms
133                   17.16 ms
134                   28.28 ms
135                   37.07 ms
136                   51.02 ms
137                   40.35 ms
138                   37.00 ms
139                   35.30 ms
140                   35.03 ms
141                   36.55 ms
142                   32.71 ms
143                   34.28 ms
144                   30.84 ms
145                   28.92 ms
146                   33.30 ms
147                   35.04 ms
148                   26.42 ms
149                   27.27 ms
150                   24.43 ms
151                   18.16 ms
152                   17.25 ms
153                   20.41 ms
154                   27.28 ms
155                   38.28 ms
156                   22.84 ms
157                   21.12 ms
158                   29.98 ms
159                   33.97 ms
160                   30.35 ms
161                   29.37 ms
162                   15.79 ms
163                    7.82 ms
164                   18.42 ms
165                   17.43 ms
166                   17.17 ms
167                   17.79 ms
168                   14.20 ms
169                   18.09 ms
170                   22.07 ms
171                   15.93 ms
172                   17.47 ms
173                   23.83 ms
174                   17.76 ms
175                   22.44 ms
176                   15.65 ms
177                   19.62 ms
178                   16.81 ms
179                   18.00 ms
180                   22.18 ms
181                   22.67 ms
182                   30.07 ms
183                   23.16 ms
184                   17.07 ms
185                   21.73 ms
186                   14.96 ms
187                   18.92 ms
188                   16.02 ms
189                   17.31 ms
190                   21.55 ms
191                   14.60 ms
192                   18.57 ms
193                   15.69 ms
194                   16.90 ms
195                   21.15 ms
196                   14.97 ms
197                   18.21 ms
198                   15.27 ms
199                   26.02 ms
200                   19.91 ms
201                   24.54 ms
202                   17.87 ms
203                   21.69 ms
204                   21.32 ms
205                   27.08 ms
206                   24.19 ms
207                   18.17 ms
208                   21.36 ms
209                   15.22 ms
210                   19.94 ms
211                   14.10 ms
212                   17.15 ms
213                   21.05 ms
214                   15.43 ms
215                   19.65 ms
216                   13.76 ms
217                   16.81 ms
218                   20.68 ms
219                   20.26 ms
220                   19.15 ms
221                   23.15 ms
222                   16.48 ms
223                   20.34 ms
224                   19.90 ms
225                   18.81 ms
226                   22.80 ms
227                   16.09 ms
228                   20.00 ms
229                   23.91 ms
230                   17.81 ms
231                   22.54 ms
232                   15.71 ms
233                   19.59 ms
234                   23.53 ms
235                   17.40 ms
236                   22.18 ms
237                   15.32 ms
238                   19.18 ms
239                   23.16 ms
240                   17.10 ms
241                   21.81 ms
