Label                  Latency
1                     53.93 ms
2                     52.94 ms
3                     64.53 ms
4                     87.58 ms
5                    100.48 ms
6                     94.51 ms
7                    115.83 ms
8                    116.51 ms
9                    133.83 ms
10                   145.22 ms
11                   139.06 ms
12                   157.96 ms
13                   147.27 ms
14                   145.79 ms
15                   164.91 ms
16                   129.99 ms
17                   143.29 ms
18                   137.05 ms
19                   144.34 ms
20                   154.95 ms
21                   152.15 ms
22                   153.54 ms
23                   157.59 ms
24                   151.39 ms
25                   140.42 ms
26                   133.48 ms
27                   125.62 ms
28                   117.25 ms
29                    87.84 ms
30                    79.96 ms
31                    71.39 ms
32                    65.16 ms
33                    56.77 ms
34                    49.92 ms
35                    39.63 ms
36                    32.75 ms
37                    24.94 ms
38                    21.48 ms
39                    22.83 ms
40                    16.60 ms
41                    20.71 ms
42                    17.04 ms
43                    18.53 ms
44                    22.35 ms
45                    33.81 ms
46                    27.11 ms
47                    21.63 ms
48                    18.19 ms
49                    22.08 ms
50                    33.51 ms
51                    27.46 ms
52                    21.37 ms
53                    17.70 ms
54                    21.50 ms
55                    32.97 ms
56                    29.42 ms
57                    23.21 ms
58                    17.18 ms
59                    21.16 ms
60                    32.66 ms
61                    28.96 ms
62                    24.71 ms
63                    16.85 ms
64                    20.73 ms
65                    32.17 ms
66                    30.31 ms
67                    24.94 ms
68                    19.04 ms
69                    21.98 ms
70                    34.11 ms
71                    27.97 ms
72                    21.96 ms
73                    18.43 ms
74                    22.41 ms
75                    33.75 ms
76                    29.42 ms
77                    24.07 ms
78                    18.20 ms
79                    22.14 ms
80                    33.43 ms
81                    29.90 ms
82                    28.04 ms
83                    22.78 ms
84                    29.03 ms
85                    25.67 ms
86                    24.43 ms
87                    23.36 ms
88                    34.73 ms
89                    31.19 ms
90                    29.40 ms
91                    25.79 ms
92                    30.45 ms
93                    28.61 ms
94                    25.71 ms
95                    32.31 ms
96                    28.65 ms
97                    27.46 ms
98                    33.94 ms
99                    30.32 ms
100                   26.12 ms
101                   23.19 ms
102                   29.60 ms
103                   26.06 ms
104                   24.88 ms
105                   31.39 ms
106                   27.82 ms
107                   25.96 ms
108                   34.86 ms
109                   29.56 ms
110                   28.52 ms
111                   24.80 ms
112                   28.61 ms
113                   30.24 ms
114                   26.63 ms
115                   28.10 ms
116                   24.46 ms
117                   20.85 ms
118                   24.95 ms
119                   36.30 ms
120                   32.71 ms
121                   30.91 ms
122                   25.56 ms
123                   31.97 ms
124                   28.41 ms
125                   27.21 ms
126                   36.11 ms
127                   31.92 ms
128                   29.00 ms
129                   25.43 ms
130                   29.42 ms
131                   25.84 ms
132                   24.74 ms
133                   31.21 ms
134                   27.58 ms
135                   23.32 ms
136                   35.43 ms
137                   31.20 ms
138                   28.25 ms
139                   24.67 ms
140                   28.59 ms
141                   25.06 ms
142                   23.96 ms
143                   30.29 ms
144                   26.75 ms
145                   24.97 ms
146                   32.21 ms
147                   28.66 ms
148                   24.28 ms
149                   33.83 ms
150                   30.24 ms
151                   25.95 ms
152                   23.06 ms
153                   29.36 ms
154                   23.46 ms
155                   17.33 ms
156                   21.26 ms
157                   27.81 ms
158                   21.60 ms
159                   15.67 ms
160                   29.40 ms
161                   23.39 ms
162                   34.82 ms
163                   28.65 ms
164                   22.62 ms
165                   16.51 ms
166                   20.52 ms
167                   18.72 ms
168                   20.13 ms
169                   22.35 ms
170                   33.69 ms
171                   27.69 ms
172                   23.48 ms
173                   18.10 ms
174                   22.06 ms
175                   33.33 ms
176                   26.54 ms
177                   23.67 ms
178                   16.91 ms
179                   21.53 ms
180                   32.98 ms
181                   29.40 ms
182                   22.54 ms
183                   17.12 ms
184                   21.21 ms
185                   36.80 ms
186                   31.19 ms
187                   22.94 ms
188                   16.84 ms
189                   20.85 ms
190                   28.93 ms
191                   28.64 ms
192                   22.58 ms
193                   15.68 ms
194                   20.37 ms
195                   16.65 ms
196                   28.21 ms
197                   28.91 ms
198                   31.02 ms
199                   24.71 ms
200                   33.94 ms
201                   32.86 ms
202                   41.79 ms
203                   40.79 ms
204                   31.39 ms
205                   23.50 ms
206                   25.01 ms
207                   21.37 ms
208                   34.73 ms
209                   29.30 ms
210                   30.19 ms
211                   28.79 ms
212                   42.72 ms
213                   27.48 ms
214                   23.71 ms
215                   37.61 ms
216                   51.66 ms
217                   48.27 ms
218                   59.46 ms
