Label                  Latency
1                     57.43 ms
2                     75.99 ms
3                     75.02 ms
4                     90.69 ms
5                     76.10 ms
6                     90.08 ms
7                    114.00 ms
8                    115.26 ms
9                    126.77 ms
10                   125.77 ms
11                   127.11 ms
12                   141.05 ms
13                   139.17 ms
14                   161.48 ms
15                   162.72 ms
16                   130.81 ms
17                   149.75 ms
18                   144.65 ms
19                   135.30 ms
20                   127.08 ms
21                   126.26 ms
22                   119.82 ms
23                   119.02 ms
24                   117.32 ms
25                   104.47 ms
26                   100.54 ms
27                    89.87 ms
28                    86.26 ms
29                    79.62 ms
30                    76.14 ms
31                    79.63 ms
32                    71.76 ms
33                    63.18 ms
34                    53.96 ms
35                    53.64 ms
36                    46.67 ms
37                    38.86 ms
38                    32.47 ms
39                    31.01 ms
40                    30.30 ms
41                    31.43 ms
42                    30.32 ms
43                    42.32 ms
44                    35.54 ms
45                    25.31 ms
46                    18.35 ms
47                    20.51 ms
48                    21.32 ms
49                    25.90 ms
50                    22.32 ms
51                    16.16 ms
52                    20.20 ms
53                    16.68 ms
54                    20.48 ms
55                    21.96 ms
56                    33.48 ms
57                    29.85 ms
58                    23.59 ms
59                    17.49 ms
60                    21.55 ms
61                    32.88 ms
62                    29.32 ms
63                    23.23 ms
64                    17.18 ms
65                    22.88 ms
66                    24.27 ms
67                    20.65 ms
68                    19.65 ms
69                    19.28 ms
70                    20.56 ms
71                    22.08 ms
72                    27.75 ms
73                    25.03 ms
74                    18.82 ms
75                    22.05 ms
76                    26.71 ms
77                    20.69 ms
78                    19.59 ms
79                    18.45 ms
80                    31.67 ms
81                    26.33 ms
82                    20.35 ms
83                    21.71 ms
84                    27.38 ms
85                    21.95 ms
86                    15.97 ms
87                    19.90 ms
88                    21.19 ms
89                    34.40 ms
90                    31.66 ms
91                    25.50 ms
92                    19.50 ms
93                    22.60 ms
94                    27.25 ms
95                    21.12 ms
96                    30.01 ms
97                    26.58 ms
98                    20.45 ms
99                    21.72 ms
100                   20.07 ms
101                   22.11 ms
102                   26.05 ms
103                   22.61 ms
104                   33.89 ms
105                   27.82 ms
106                   21.82 ms
107                   15.62 ms
108                   32.12 ms
109                   26.13 ms
110                   19.94 ms
111                   23.79 ms
112                   32.86 ms
113                   31.76 ms
114                   25.66 ms
115                   19.59 ms
116                   20.28 ms
117                   22.34 ms
118                   28.75 ms
119                   25.25 ms
120                   19.19 ms
121                   22.99 ms
122                   32.03 ms
123                   30.87 ms
124                   24.98 ms
125                   18.73 ms
126                   19.45 ms
127                   21.50 ms
128                   28.06 ms
129                   24.37 ms
130                   18.32 ms
131                   31.54 ms
132                   26.15 ms
133                   20.25 ms
134                   21.46 ms
135                   28.07 ms
136                   21.93 ms
137                   15.84 ms
138                   19.80 ms
139                   21.09 ms
140                   19.36 ms
141                   20.79 ms
142                   19.72 ms
143                   19.39 ms
144                   20.69 ms
145                   18.94 ms
146                   18.57 ms
147                   19.27 ms
148                   19.02 ms
149                   20.34 ms
150                   18.63 ms
151                   18.21 ms
152                   18.93 ms
153                   18.64 ms
154                   30.16 ms
155                   23.98 ms
156                   17.19 ms
157                   21.88 ms
158                   33.18 ms
159                   29.73 ms
160                   22.81 ms
161                   17.39 ms
162                   21.39 ms
163                   32.11 ms
164                   31.75 ms
165                   23.25 ms
166                   17.02 ms
167                   23.09 ms
168                   24.40 ms
169                   31.31 ms
170                   22.81 ms
171                   33.40 ms
172                   23.09 ms
173                   22.26 ms
174                   27.79 ms
175                   22.34 ms
176                   13.92 ms
177                   22.80 ms
178                   31.68 ms
179                   34.90 ms
180                   34.14 ms
181                   27.87 ms
182                   16.84 ms
183                   25.87 ms
184                   39.43 ms
185                   49.19 ms
186                   44.76 ms
187                   37.01 ms
188                   25.97 ms
189                   24.95 ms
190                   21.27 ms
191                   26.82 ms
192                   31.19 ms
193                   23.02 ms
194                   14.49 ms
195                   20.09 ms
196                   24.78 ms
197                   40.71 ms
198                   34.43 ms
199                   38.63 ms
200                   37.53 ms
201                   24.36 ms
202                   25.72 ms
203                   39.07 ms
204                   36.32 ms
205                   27.60 ms
206                   20.56 ms
207                   17.68 ms
208                   21.72 ms
209                   28.29 ms
210                   46.68 ms
211                   40.71 ms
212                   29.57 ms
213                   23.48 ms
214                   17.85 ms
215                   28.38 ms
216                   34.88 ms
217                   31.66 ms
218                   23.48 ms
219                   49.94 ms
220                   48.68 ms
221                   57.87 ms
222                   49.14 ms
223                   40.62 ms
224                   32.03 ms
225                   21.01 ms
226                   19.85 ms
227                   16.21 ms
228                   30.04 ms
229                   21.68 ms
230                   10.57 ms
231                   21.77 ms
232                   28.45 ms
233                   29.78 ms
234                   23.70 ms
235                   16.88 ms
236                   21.41 ms
237                   28.10 ms
238                   36.37 ms
239                   50.00 ms
240                   37.17 ms
241                   31.23 ms
242                   25.06 ms
243                   21.40 ms
244                   19.58 ms
245                   26.85 ms
246                   18.22 ms
247                   17.10 ms
248                   21.04 ms
249                   30.00 ms
250                   26.47 ms
251                   17.93 ms
252                   16.87 ms
253                   18.25 ms
254                   22.10 ms
255                   28.65 ms
256                   34.62 ms
257                   30.70 ms
258                   39.86 ms
259                   29.15 ms
260                   25.65 ms
261                   18.73 ms
262                   22.70 ms
263                   30.05 ms
264                   23.02 ms
265                   25.23 ms
266                   19.12 ms
267                   15.63 ms
268                   26.91 ms
269                   22.87 ms
270                   17.43 ms
271                   20.52 ms
272                   15.28 ms
273                   26.53 ms
274                   24.97 ms
275                   23.84 ms
276                   33.05 ms
277                   26.80 ms
278                   18.69 ms
279                   29.42 ms
280                   21.66 ms
281                   12.24 ms
282                   21.17 ms
283                   28.38 ms
284                   29.83 ms
285                   23.58 ms
286                   17.51 ms
287                   20.75 ms
288                   22.96 ms
289                   19.42 ms
290                   15.76 ms
291                   27.03 ms
292                   28.06 ms
293                   32.59 ms
294                   43.96 ms
295                   35.50 ms
296                   28.63 ms
297                   20.76 ms
298                   17.18 ms
299                   20.33 ms
300                   15.09 ms
301                   26.52 ms
302                   17.87 ms
303                   16.78 ms
304                   18.28 ms
305                   22.12 ms
306                   28.74 ms
307                   30.10 ms
308                   23.78 ms
309                   20.36 ms
310                   28.69 ms
311                   39.99 ms
312                   44.71 ms
313                   31.03 ms
314                   21.64 ms
315                   28.81 ms
316                   25.30 ms
317                   16.75 ms
318                   20.48 ms
319                   17.05 ms
320                   20.90 ms
321                   17.59 ms
322                   18.87 ms
323                   15.20 ms
324                   25.83 ms
325                   18.07 ms
326                   16.97 ms
327                   18.51 ms
328                   14.89 ms
329                   33.22 ms
330                   31.89 ms
331                   33.25 ms
332                   25.52 ms
333                   16.12 ms
334                   18.28 ms
335                   29.70 ms
336                   21.29 ms
337                   10.23 ms
338                   21.45 ms
339                   28.22 ms
340                   29.45 ms
341                   23.46 ms
342                   16.55 ms
343                   21.05 ms
344                   17.59 ms
345                   21.44 ms
346                   37.31 ms
347                   41.38 ms
348                   37.70 ms
349                   26.42 ms
350                   18.54 ms
351                   19.33 ms
352                   26.55 ms
353                   17.87 ms
354                   16.77 ms
355                   20.62 ms
356                   22.06 ms
357                   28.60 ms
358                   30.00 ms
359                   23.87 ms
360                   17.74 ms
361                   21.69 ms
362                   28.24 ms
363                   29.66 ms
364                   23.48 ms
365                   24.92 ms
366                   45.85 ms
367                   32.71 ms
368                   23.40 ms
369                   22.33 ms
370                   24.52 ms
371                   18.57 ms
372                   21.62 ms
373                   26.40 ms
374                   22.70 ms
375                   14.23 ms
376                   20.48 ms
377                   16.82 ms
378                   28.41 ms
379                   19.83 ms
380                   13.85 ms
381                   29.42 ms
382                   39.29 ms
383                   37.40 ms
384                   36.34 ms
385                   35.31 ms
386                   27.31 ms
387                   17.95 ms
388                   15.19 ms
389                   20.78 ms
390                   24.65 ms
391                   16.95 ms
392                   15.86 ms
393                   27.30 ms
394                   18.65 ms
395                   17.60 ms
396                   19.12 ms
397                   17.17 ms
398                   19.41 ms
399                   19.98 ms
400                   24.85 ms
401                   23.06 ms
402                   21.83 ms
403                   31.12 ms
404                   22.92 ms
405                   31.92 ms
406                   27.41 ms
407                   22.12 ms
408                   13.49 ms
409                   30.06 ms
410                   21.40 ms
411                   14.60 ms
412                   21.75 ms
413                   28.30 ms
414                   31.75 ms
415                   23.46 ms
416                   17.48 ms
417                   21.32 ms
418                   34.68 ms
419                   43.85 ms
420                   39.85 ms
421                   26.52 ms
422                   25.13 ms
423                   34.10 ms
424                   26.32 ms
