Label                  Latency
1                     59.13 ms
2                     81.45 ms
3                    105.24 ms
4                     70.35 ms
5                     89.46 ms
6                    104.99 ms
7                    107.23 ms
8                    120.98 ms
9                    119.42 ms
10                   124.05 ms
11                   143.16 ms
12                   131.86 ms
13                   147.60 ms
14                   139.76 ms
15                   138.77 ms
16                   152.03 ms
17                   109.88 ms
18                   112.00 ms
19                   100.89 ms
20                    99.20 ms
21                   111.20 ms
22                   102.84 ms
23                   101.53 ms
24                   107.14 ms
25                    99.25 ms
26                    88.23 ms
27                    82.25 ms
28                    86.19 ms
29                    77.59 ms
30                    71.53 ms
31                    63.09 ms
32                    56.83 ms
33                    50.05 ms
34                    39.66 ms
35                    33.08 ms
36                    25.18 ms
37                    18.99 ms
38                    15.54 ms
39                    26.87 ms
40                    19.98 ms
41                    12.19 ms
42                    28.53 ms
43                    22.43 ms
44                    15.70 ms
45                    22.86 ms
46                    31.86 ms
47                    28.27 ms
48                    22.11 ms
49                    16.39 ms
50                    30.04 ms
51                    23.96 ms
52                    17.81 ms
53                    22.00 ms
54                    28.14 ms
55                    28.79 ms
56                    23.42 ms
57                    17.34 ms
58                    21.21 ms
59                    32.74 ms
60                    30.86 ms
61                    25.36 ms
62                    19.52 ms
63                    18.30 ms
64                    19.07 ms
65                    18.61 ms
66                    20.11 ms
67                    19.16 ms
68                    20.89 ms
69                    31.82 ms
70                    30.93 ms
71                    24.59 ms
72                    18.66 ms
73                    20.17 ms
74                    20.80 ms
75                    25.46 ms
76                    21.17 ms
77                    16.01 ms
78                    32.15 ms
79                    26.11 ms
80                    20.08 ms
81                    23.93 ms
82                    24.60 ms
83                    21.87 ms
84                    20.07 ms
85                    29.14 ms
86                    23.50 ms
87                    17.51 ms
88                    21.47 ms
89                    32.73 ms
90                    26.69 ms
91                    20.60 ms
92                    14.43 ms
93                    30.89 ms
94                    24.88 ms
95                    18.92 ms
96                    32.01 ms
97                    26.66 ms
98                    20.94 ms
99                    24.00 ms
100                   35.90 ms
101                   29.89 ms
102                   23.64 ms
103                   17.68 ms
104                   21.55 ms
105                   27.29 ms
106                   21.83 ms
107                   15.97 ms
108                   29.76 ms
109                   23.71 ms
110                   35.12 ms
111                   29.01 ms
112                   22.93 ms
113                   19.58 ms
114                   18.39 ms
115                   17.20 ms
116                   21.13 ms
117                   31.92 ms
118                   26.89 ms
119                   20.35 ms
120                   21.29 ms
121                   25.78 ms
122                   21.48 ms
123                   16.53 ms
124                   31.86 ms
125                   26.54 ms
126                   20.35 ms
127                   23.58 ms
128                   35.07 ms
129                   29.58 ms
130                   23.64 ms
