Label                  Latency
1                     54.34 ms
2                     63.51 ms
3                     74.94 ms
4                     88.91 ms
5                     85.96 ms
6                    110.02 ms
7                     98.88 ms
8                    127.50 ms
9                    121.69 ms
10                   144.90 ms
11                   134.55 ms
12                   133.40 ms
13                   157.37 ms
14                   146.37 ms
15                   140.97 ms
16                   134.17 ms
17                   117.61 ms
18                   113.47 ms
19                   114.63 ms
20                   103.60 ms
21                   112.67 ms
22                   101.69 ms
23                   106.06 ms
24                   104.37 ms
25                    91.37 ms
26                   102.79 ms
27                    93.47 ms
28                    85.64 ms
29                    77.17 ms
30                    78.45 ms
31                    67.49 ms
32                    61.40 ms
33                    54.59 ms
34                    48.40 ms
35                    40.66 ms
36                    32.06 ms
37                    25.92 ms
38                    22.33 ms
39                    28.13 ms
40                    22.08 ms
41                    28.44 ms
42                    28.10 ms
43                    21.85 ms
44                    15.72 ms
45                    29.77 ms
46                    23.70 ms
47                    17.53 ms
48                    21.39 ms
49                    32.83 ms
50                    29.28 ms
51                    23.19 ms
52                    17.05 ms
53                    20.82 ms
54                    19.01 ms
55                    18.77 ms
56                    20.54 ms
57                    19.03 ms
58                    20.34 ms
59                    21.18 ms
60                    27.53 ms
61                    23.99 ms
62                    16.12 ms
63                    31.76 ms
64                    25.59 ms
65                    20.58 ms
66                    21.69 ms
67                    29.79 ms
68                    29.46 ms
69                    23.57 ms
70                    19.04 ms
71                    23.00 ms
72                    21.88 ms
73                    26.90 ms
74                    25.49 ms
75                    19.31 ms
76                    22.53 ms
77                    33.92 ms
78                    28.52 ms
79                    22.43 ms
80                    16.32 ms
81                    22.11 ms
82                    26.69 ms
83                    20.64 ms
84                    29.59 ms
85                    25.88 ms
86                    19.87 ms
87                    20.54 ms
88                    20.11 ms
89                    21.54 ms
90                    32.96 ms
91                    31.14 ms
92                    25.80 ms
93                    19.73 ms
94                    18.68 ms
95                    15.03 ms
96                    30.76 ms
97                    25.39 ms
98                    20.99 ms
99                    33.14 ms
100                   27.08 ms
101                   20.99 ms
102                   29.85 ms
103                   26.27 ms
104                   20.34 ms
105                   20.88 ms
106                   25.52 ms
107                   21.23 ms
108                   15.79 ms
109                   24.13 ms
110                   31.21 ms
111                   29.36 ms
112                   24.02 ms
113                   17.92 ms
114                   19.33 ms
115                   20.67 ms
116                   29.76 ms
117                   25.25 ms
118                   24.97 ms
119                   20.66 ms
120                   15.22 ms
121                   26.64 ms
122                   23.00 ms
123                   33.75 ms
124                   28.40 ms
125                   22.21 ms
126                   16.22 ms
127                   21.98 ms
128                   31.59 ms
129                   27.18 ms
130                   21.74 ms
131                   15.68 ms
132                   29.76 ms
133                   23.75 ms
134                   17.49 ms
135                   21.35 ms
136                   32.89 ms
137                   30.39 ms
138                   23.18 ms
139                   16.27 ms
140                   20.84 ms
141                   17.35 ms
142                   21.16 ms
143                   30.17 ms
144                   28.41 ms
145                   20.45 ms
146                   17.63 ms
147                   20.10 ms
148                   14.73 ms
149                   26.30 ms
150                   20.02 ms
151                   21.07 ms
152                   17.90 ms
153                   21.68 ms
154                   28.19 ms
155                   29.64 ms
156                   23.46 ms
157                   17.30 ms
158                   21.30 ms
159                   34.62 ms
160                   36.20 ms
161                   25.25 ms
162                   39.23 ms
163                   23.62 ms
164                   42.37 ms
165                   40.47 ms
166                   50.24 ms
167                   63.93 ms
168                   53.09 ms
169                   49.00 ms
170                   47.49 ms
171                   47.19 ms
172                   46.08 ms
173                   45.13 ms
174                   43.82 ms
175                   39.58 ms
176                   33.73 ms
177                   29.89 ms
178                   21.13 ms
179                   30.73 ms
180                   34.72 ms
181                   36.23 ms
182                   32.65 ms
183                   33.20 ms
184                   29.80 ms
185                   19.25 ms
186                   29.99 ms
187                   36.37 ms
188                   28.37 ms
189                   21.60 ms
190                   13.76 ms
191                   20.20 ms
192                   16.61 ms
193                   20.46 ms
194                   21.92 ms
195                   33.27 ms
196                   29.66 ms
197                   23.50 ms
198                   19.38 ms
199                   23.59 ms
200                   32.92 ms
201                   32.30 ms
202                   24.91 ms
203                   17.20 ms
204                   20.93 ms
205                   21.61 ms
206                   26.27 ms
207                   22.64 ms
208                   16.59 ms
209                   20.50 ms
210                   16.95 ms
211                   18.42 ms
212                   19.61 ms
213                   18.03 ms
214                   29.99 ms
215                   23.98 ms
216                   17.12 ms
217                   21.68 ms
218                   28.21 ms
219                   27.06 ms
220                   23.46 ms
221                   17.34 ms
222                   21.21 ms
223                   32.55 ms
224                   31.62 ms
225                   25.52 ms
226                   18.69 ms
227                   20.82 ms
228                   17.26 ms
229                   21.10 ms
230                   30.08 ms
231                   25.68 ms
232                   20.25 ms
233                   16.76 ms
234                   19.99 ms
235                   22.12 ms
236                   33.44 ms
237                   29.89 ms
238                   23.81 ms
239                   19.30 ms
240                   21.64 ms
241                   32.91 ms
242                   29.35 ms
243                   23.23 ms
244                   17.23 ms
245                   21.06 ms
246                   17.45 ms
247                   18.77 ms
248                   16.96 ms
249                   19.16 ms
250                   20.49 ms
251                   21.95 ms
252                   27.61 ms
253                   22.34 ms
254                   33.78 ms
255                   30.11 ms
256                   24.06 ms
257                   18.57 ms
258                   21.74 ms
259                   33.20 ms
260                   29.68 ms
261                   23.47 ms
262                   19.84 ms
263                   21.26 ms
264                   32.74 ms
265                   29.16 ms
266                   22.99 ms
267                   16.80 ms
268                   20.83 ms
269                   18.95 ms
270                   20.38 ms
271                   16.87 ms
272                   18.96 ms
273                   23.00 ms
274                   31.87 ms
275                   28.16 ms
276                   22.12 ms
277                   25.99 ms
278                   19.85 ms
279                   16.31 ms
280                   19.53 ms
281                   21.70 ms
282                   33.15 ms
283                   29.62 ms
284                   22.66 ms
285                   15.04 ms
286                   21.35 ms
287                   32.01 ms
288                   36.09 ms
289                   30.77 ms
290                   38.77 ms
291                   30.86 ms
292                   22.68 ms
293                   15.48 ms
294                   22.64 ms
295                   30.85 ms
296                   23.07 ms
297                   24.48 ms
298                   17.68 ms
299                   22.28 ms
300                   28.94 ms
301                   27.13 ms
302                   33.52 ms
303                   30.23 ms
304                   26.56 ms
305                   34.91 ms
306                   49.80 ms
307                   43.82 ms
308                   34.96 ms
309                   24.24 ms
310                   22.94 ms
311                   16.80 ms
312                   23.26 ms
313                   29.73 ms
314                   30.46 ms
315                   31.88 ms
316                   36.58 ms
317                   25.47 ms
318                   43.57 ms
319                   32.56 ms
320                   26.54 ms
321                   27.85 ms
322                   27.05 ms
323                   31.27 ms
324                   55.57 ms
325                   44.15 ms
326                   38.16 ms
327                   29.59 ms
328                   22.63 ms
329                   19.92 ms
330                   20.80 ms
331                   27.01 ms
332                   31.20 ms
333                   30.20 ms
334                   16.20 ms
335                   43.01 ms
336                   39.20 ms
337                   35.50 ms
338                   54.43 ms
339                   56.45 ms
340                   54.80 ms
341                   64.66 ms
342                   57.63 ms
343                   47.26 ms
344                   38.68 ms
345                   32.58 ms
346                   24.05 ms
347                   17.19 ms
348                   24.35 ms
349                   15.77 ms
350                   14.71 ms
351                   25.93 ms
352                   22.45 ms
353                   31.32 ms
354                   27.13 ms
355                   19.28 ms
356                   13.20 ms
357                   29.53 ms
358                   23.37 ms
359                   14.89 ms
360                   21.34 ms
361                   17.07 ms
362                   29.08 ms
363                   23.00 ms
364                   14.50 ms
365                   20.96 ms
366                   17.34 ms
367                   19.36 ms
368                   17.13 ms
369                   19.09 ms
370                   23.14 ms
371                   31.95 ms
372                   28.33 ms
373                   22.25 ms
374                   16.09 ms
375                   20.13 ms
376                   16.50 ms
377                   19.72 ms
378                   21.91 ms
379                   33.25 ms
380                   29.66 ms
381                   23.62 ms
382                   17.75 ms
383                   21.40 ms
