Label                  Latency
1                     53.84 ms
2                     65.35 ms
3                     67.58 ms
4                     78.89 ms
5                     76.11 ms
6                     95.00 ms
7                    108.10 ms
8                    114.65 ms
9                    123.63 ms
10                   132.45 ms
11                   134.63 ms
12                   132.97 ms
13                   147.38 ms
14                   136.22 ms
15                   134.38 ms
16                   146.46 ms
17                   142.35 ms
18                   148.85 ms
19                   142.47 ms
20                   139.70 ms
21                   155.30 ms
22                   152.61 ms
23                   141.00 ms
24                   137.00 ms
25                   108.47 ms
26                    97.38 ms
27                    88.91 ms
28                    82.77 ms
29                    74.23 ms
30                    64.86 ms
31                    62.11 ms
32                    56.07 ms
33                    44.98 ms
34                    38.08 ms
35                    30.26 ms
36                    23.48 ms
37                    25.60 ms
38                    21.98 ms
39                    13.50 ms
40                    29.82 ms
41                    21.32 ms
42                    15.25 ms
43                    21.54 ms
44                    32.36 ms
45                    29.40 ms
46                    23.28 ms
47                    27.21 ms
48                    21.17 ms
49                    17.66 ms
50                    20.73 ms
51                    15.44 ms
52                    26.95 ms
53                    20.68 ms
54                    17.21 ms
55                    20.28 ms
56                    16.64 ms
57                    18.82 ms
58                    20.13 ms
59                    21.62 ms
60                    27.29 ms
61                    23.77 ms
62                    18.29 ms
63                    29.85 ms
64                    25.46 ms
65                    19.31 ms
66                    21.49 ms
67                    25.38 ms
68                    21.08 ms
69                    32.52 ms
70                    27.01 ms
71                    20.98 ms
72                    22.36 ms
73                    28.16 ms
74                    22.78 ms
75                    26.56 ms
76                    22.37 ms
77                    34.38 ms
78                    28.37 ms
79                    24.72 ms
80                    20.44 ms
81                    30.10 ms
82                    25.76 ms
83                    20.31 ms
84                    24.28 ms
85                    28.09 ms
86                    23.96 ms
87                    30.31 ms
88                    24.87 ms
89                    31.37 ms
90                    27.59 ms
91                    21.81 ms
92                    34.85 ms
93                    29.53 ms
94                    25.15 ms
95                    34.80 ms
96                    31.19 ms
97                    25.15 ms
98                    26.53 ms
99                    22.91 ms
100                   21.71 ms
101                   25.74 ms
102                   24.71 ms
103                   22.84 ms
104                   29.97 ms
105                   26.28 ms
106                   20.44 ms
107                   21.64 ms
108                   28.17 ms
109                   22.05 ms
110                   20.81 ms
111                   24.89 ms
112                   23.80 ms
113                   21.99 ms
114                   29.04 ms
115                   25.44 ms
116                   24.53 ms
117                   20.82 ms
118                   22.23 ms
119                   28.55 ms
120                   24.95 ms
121                   19.09 ms
122                   20.39 ms
123                   21.80 ms
124                   28.10 ms
125                   24.50 ms
126                   18.71 ms
127                   26.65 ms
128                   26.36 ms
129                   25.19 ms
130                   19.10 ms
131                   15.55 ms
132                   31.96 ms
133                   27.73 ms
134                   24.75 ms
135                   31.21 ms
136                   26.89 ms
137                   21.55 ms
138                   34.65 ms
139                   29.36 ms
140                   23.22 ms
141                   34.61 ms
142                   28.45 ms
143                   22.50 ms
144                   18.79 ms
145                   20.24 ms
146                   21.60 ms
147                   27.36 ms
148                   23.83 ms
149                   18.35 ms
150                   29.87 ms
151                   26.13 ms
152                   20.17 ms
153                   21.60 ms
154                   32.98 ms
155                   29.38 ms
156                   23.28 ms
157                   17.17 ms
158                   21.11 ms
159                   22.64 ms
160                   26.58 ms
161                   22.99 ms
162                   16.85 ms
163                   20.70 ms
164                   22.14 ms
165                   26.06 ms
166                   22.47 ms
167                   16.26 ms
168                   20.25 ms
169                   16.69 ms
170                   18.01 ms
171                   21.97 ms
172                   33.46 ms
173                   29.87 ms
174                   22.96 ms
175                   15.16 ms
176                   21.61 ms
177                   29.73 ms
178                   29.44 ms
