Label                  Latency
1                     54.03 ms
2                     81.24 ms
3                     69.99 ms
4                     84.03 ms
5                     91.22 ms
6                     92.73 ms
7                    106.71 ms
8                    107.19 ms
9                    116.97 ms
10                   110.88 ms
11                   112.54 ms
12                   113.82 ms
13                   109.48 ms
14                   114.21 ms
15                   120.55 ms
16                   121.86 ms
17                   123.48 ms
18                   120.70 ms
19                   114.80 ms
20                   115.89 ms
21                   114.25 ms
22                   110.86 ms
23                   109.57 ms
24                   106.36 ms
25                    93.04 ms
26                   102.17 ms
27                    97.74 ms
28                    89.76 ms
29                    83.96 ms
30                    77.89 ms
31                    68.47 ms
32                    60.66 ms
33                    52.12 ms
34                    43.62 ms
35                    37.43 ms
36                    26.46 ms
37                    25.17 ms
38                    31.03 ms
39                    25.56 ms
40                    17.16 ms
41                    20.17 ms
42                    17.28 ms
43                    21.27 ms
44                    17.66 ms
45                    19.15 ms
46                    22.92 ms
47                    34.30 ms
48                    25.03 ms
49                    22.26 ms
50                    18.63 ms
51                    19.93 ms
52                    18.82 ms
53                    20.43 ms
54                    18.57 ms
55                    18.29 ms
56                    22.31 ms
57                    28.62 ms
58                    27.42 ms
59                    23.76 ms
60                    17.64 ms
61                    21.58 ms
62                    33.15 ms
63                    29.46 ms
64                    23.32 ms
65                    17.24 ms
66                    21.15 ms
67                    19.28 ms
68                    20.78 ms
69                    19.67 ms
70                    19.37 ms
71                    20.73 ms
72                    21.42 ms
73                    27.83 ms
74                    22.33 ms
75                    16.36 ms
76                    20.22 ms
77                    20.96 ms
78                    20.50 ms
79                    23.70 ms
80                    28.35 ms
81                    22.36 ms
82                    16.14 ms
83                    20.05 ms
84                    21.44 ms
85                    29.73 ms
86                    29.23 ms
87                    25.07 ms
88                    19.57 ms
89                    22.76 ms
90                    27.44 ms
91                    21.37 ms
92                    30.32 ms
93                    26.70 ms
94                    22.97 ms
95                    33.81 ms
96                    28.28 ms
97                    22.32 ms
98                    18.07 ms
99                    22.56 ms
100                   31.52 ms
101                   29.68 ms
102                   23.69 ms
103                   18.21 ms
104                   21.40 ms
105                   32.88 ms
106                   27.45 ms
107                   23.98 ms
108                   22.66 ms
109                   29.29 ms
110                   25.60 ms
111                   19.56 ms
112                   20.97 ms
113                   22.26 ms
114                   26.32 ms
115                   25.15 ms
116                   19.13 ms
117                   20.52 ms
118                   21.83 ms
119                   25.88 ms
120                   24.79 ms
121                   18.68 ms
122                   32.50 ms
123                   26.53 ms
124                   20.29 ms
125                   24.26 ms
126                   29.98 ms
127                   27.16 ms
128                   20.99 ms
129                   17.37 ms
130                   23.75 ms
131                   29.55 ms
132                   26.61 ms
133                   20.57 ms
134                   16.89 ms
135                   23.34 ms
136                   31.56 ms
137                   26.23 ms
138                   20.12 ms
139                   16.39 ms
140                   22.89 ms
141                   31.10 ms
142                   25.73 ms
143                   19.64 ms
144                   15.92 ms
145                   30.01 ms
146                   25.60 ms
147                   17.88 ms
148                   21.75 ms
149                   33.17 ms
150                   29.59 ms
151                   23.49 ms
152                   26.77 ms
153                   20.62 ms
154                   14.48 ms
155                   29.18 ms
156                   23.05 ms
157                   17.03 ms
158                   21.03 ms
159                   19.21 ms
160                   18.93 ms
161                   19.51 ms
162                   19.39 ms
163                   20.65 ms
164                   18.94 ms
165                   18.49 ms
166                   19.72 ms
167                   18.86 ms
168                   30.18 ms
169                   23.43 ms
170                   15.61 ms
171                   21.93 ms
172                   20.20 ms
173                   29.70 ms
174                   25.77 ms
175                   19.52 ms
176                   21.73 ms
177                   29.78 ms
178                   29.40 ms
179                   23.48 ms
180                   16.58 ms
181                   21.12 ms
182                   17.71 ms
183                   31.78 ms
184                   25.63 ms
185                   36.24 ms
186                   46.03 ms
187                   34.04 ms
188                   26.44 ms
189                   37.79 ms
190                   43.98 ms
191                   40.56 ms
192                   39.42 ms
193                   40.12 ms
194                   49.04 ms
195                   33.75 ms
196                   28.01 ms
197                   31.56 ms
198                   35.46 ms
199                   24.59 ms
200                   22.78 ms
201                   31.73 ms
202                   25.70 ms
203                   16.77 ms
204                   28.27 ms
205                   27.99 ms
206                   43.66 ms
207                   30.84 ms
208                   29.22 ms
209                   27.94 ms
210                   29.70 ms
211                   29.15 ms
212                   44.78 ms
213                   39.30 ms
214                   30.77 ms
215                   24.59 ms
216                   16.10 ms
217                   19.26 ms
218                   18.91 ms
219                   19.66 ms
220                   21.66 ms
221                   22.38 ms
222                   22.12 ms
223                   15.95 ms
224                   29.93 ms
225                   23.80 ms
226                   15.32 ms
227                   21.69 ms
228                   33.09 ms
229                   29.56 ms
230                   22.70 ms
231                   14.92 ms
232                   21.29 ms
233                   17.80 ms
234                   19.17 ms
235                   17.34 ms
236                   19.45 ms
237                   20.89 ms
238                   19.11 ms
239                   18.76 ms
240                   20.08 ms
241                   19.09 ms
242                   20.49 ms
243                   18.64 ms
244                   18.34 ms
245                   19.68 ms
246                   18.77 ms
247                   30.13 ms
248                   23.99 ms
249                   15.63 ms
250                   21.80 ms
251                   33.36 ms
252                   29.64 ms
253                   22.97 ms
254                   15.18 ms
255                   21.52 ms
256                   32.92 ms
257                   29.29 ms
258                   23.25 ms
259                   29.79 ms
260                   23.65 ms
261                   27.58 ms
262                   26.44 ms
263                   22.19 ms
264                   16.13 ms
265                   20.63 ms
266                   21.54 ms
267                   26.13 ms
268                   22.57 ms
269                   16.33 ms
270                   20.34 ms
271                   16.80 ms
272                   20.63 ms
273                   22.24 ms
274                   33.56 ms
275                   30.09 ms
276                   23.91 ms
277                   17.82 ms
278                   21.78 ms
279                   32.53 ms
280                   29.70 ms
281                   23.49 ms
282                   27.44 ms
283                   21.40 ms
284                   12.97 ms
285                   29.35 ms
286                   22.54 ms
287                   14.70 ms
288                   21.08 ms
289                   17.63 ms
290                   18.95 ms
291                   15.41 ms
292                   26.68 ms
293                   20.61 ms
294                   17.23 ms
295                   18.59 ms
