Label                  Latency
1                      5.21 ms
2                      4.11 ms
3                      4.03 ms
4                      3.96 ms
5                      2.89 ms
6                      3.82 ms
7                      2.76 ms
8                      2.68 ms
9                      3.61 ms
10                     3.54 ms
11                     3.46 ms
12                     3.40 ms
13                     3.33 ms
14                     3.26 ms
15                     3.19 ms
16                     4.12 ms
17                     3.04 ms
18                     2.97 ms
19                     3.91 ms
20                     3.83 ms
21                     3.76 ms
22                     3.69 ms
23                     2.62 ms
24                     4.55 ms
25                     3.47 ms
26                     3.40 ms
27                     3.33 ms
28                     3.26 ms
29                     3.19 ms
30                     4.13 ms
31                     4.05 ms
32                     2.97 ms
33                     2.90 ms
34                     2.84 ms
35                     2.77 ms
36                     2.71 ms
37                     3.65 ms
38                     3.58 ms
39                     3.52 ms
40                     3.45 ms
41                     3.38 ms
42                     3.30 ms
43                     3.24 ms
44                     3.18 ms
45                     3.11 ms
46                     3.05 ms
47                     2.98 ms
48                     2.92 ms
49                     2.85 ms
50                     3.79 ms
51                     2.73 ms
52                     3.67 ms
53                     3.60 ms
54                     3.54 ms
55                     3.48 ms
56                     3.41 ms
57                     3.35 ms
58                     3.28 ms
59                     3.22 ms
60                     4.16 ms
61                     4.10 ms
62                     4.03 ms
63                     3.97 ms
64                     3.90 ms
65                     3.84 ms
66                     3.78 ms
67                     3.71 ms
68                     3.65 ms
69                     3.59 ms
70                     3.53 ms
71                     3.46 ms
72                     3.40 ms
73                     3.33 ms
74                     3.27 ms
75                     3.21 ms
76                     3.15 ms
77                     3.08 ms
78                     3.02 ms
79                     2.95 ms
80                     2.89 ms
81                     2.83 ms
82                     2.77 ms
83                     3.70 ms
84                     3.64 ms
85                     3.58 ms
86                     3.52 ms
87                     3.45 ms
88                     3.39 ms
89                     3.32 ms
90                     3.26 ms
91                     5.20 ms
92                     4.13 ms
93                     5.06 ms
94                     4.00 ms
95                     4.94 ms
96                     3.86 ms
97                     4.78 ms
98                     3.72 ms
99                     4.66 ms
100                    3.60 ms
101                    4.52 ms
102                    4.45 ms
103                    4.39 ms
104                    4.33 ms
105                    4.27 ms
106                    4.20 ms
107                    4.14 ms
108                    3.07 ms
109                    4.00 ms
110                    2.94 ms
111                    3.88 ms
112                    2.81 ms
113                    3.75 ms
114                    2.69 ms
115                    3.63 ms
116                    3.57 ms
117                    3.49 ms
118                    3.43 ms
119                    3.36 ms
120                    3.30 ms
121                    3.23 ms
122                    3.17 ms
123                    3.11 ms
124                    4.05 ms
125                    3.98 ms
126                    2.92 ms
127                    2.85 ms
128                    2.79 ms
129                    2.72 ms
130                    3.66 ms
131                    3.59 ms
132                    3.53 ms
133                    3.46 ms
134                    3.40 ms
135                    3.34 ms
136                    3.28 ms
137                    3.21 ms
138                    4.15 ms
139                    4.08 ms
140                    4.02 ms
141                    3.95 ms
142                    3.89 ms
143                    3.83 ms
144                    3.76 ms
145                    3.70 ms
146                    3.64 ms
147                    3.58 ms
148                    3.51 ms
149                    3.45 ms
150                    3.39 ms
151                    3.32 ms
152                    3.26 ms
153                    3.19 ms
154                    3.13 ms
155                    3.06 ms
156                    3.00 ms
157                    2.94 ms
158                    2.88 ms
159                    2.81 ms
160                    2.75 ms
161                    2.69 ms
162                    3.62 ms
163                    3.56 ms
164                    3.50 ms
165                    3.44 ms
166                    3.37 ms
167                    3.31 ms
168                    3.25 ms
169                    3.20 ms
170                    3.12 ms
171                    3.06 ms
172                    3.00 ms
173                    2.93 ms
174                    2.87 ms
175                    2.81 ms
176                    2.74 ms
177                    2.68 ms
178                    4.62 ms
179                    4.55 ms
180                    3.49 ms
181                    3.42 ms
182                    3.36 ms
183                    3.29 ms
184                    3.23 ms
185                    3.17 ms
186                    3.11 ms
187                    3.04 ms
188                    3.98 ms
189                    2.91 ms
190                    2.85 ms
191                    2.78 ms
192                    3.72 ms
193                    3.66 ms
194                    3.60 ms
195                    3.52 ms
196                    3.44 ms
197                    3.37 ms
198                    3.31 ms
199                    3.24 ms
200                    3.17 ms
201                    3.09 ms
202                    3.03 ms
203                    2.96 ms
204                    2.90 ms
205                    2.84 ms
206                    2.77 ms
207                    3.71 ms
208                    3.64 ms
209                    3.58 ms
210                    3.52 ms
211                    3.45 ms
212                    3.39 ms
213                    3.32 ms
214                    3.26 ms
215                    4.19 ms
216                    4.11 ms
217                    4.05 ms
218                    3.98 ms
219                    3.93 ms
220                    3.84 ms
221                    3.78 ms
222                    3.72 ms
223                    3.66 ms
224                    3.59 ms
225                    3.52 ms
226                    3.46 ms
227                    3.40 ms
228                    3.33 ms
229                    3.27 ms
230                    3.21 ms
231                    3.13 ms
232                    3.07 ms
233                    3.01 ms
234                    2.94 ms
235                    2.88 ms
236                    2.82 ms
237                    2.75 ms
238                    3.69 ms
239                    3.62 ms
240                    3.55 ms
241                    3.49 ms
242                    3.43 ms
243                    3.37 ms
244                    3.30 ms
245                    4.23 ms
246                    5.17 ms
247                    4.11 ms
248                    5.05 ms
249                    3.98 ms
250                    4.92 ms
251                    3.85 ms
252                    4.79 ms
253                    3.73 ms
254                    4.67 ms
255                    3.60 ms
256                    4.54 ms
257                    3.47 ms
258                    4.41 ms
259                    3.34 ms
260                    4.28 ms
261                    3.22 ms
262                    4.15 ms
263                    3.09 ms
264                    4.03 ms
265                    3.96 ms
266                    3.90 ms
267                    2.83 ms
268                    3.77 ms
269                    3.71 ms
270                    3.64 ms
271                    3.57 ms
272                    3.51 ms
273                    3.45 ms
274                    3.38 ms
275                    3.32 ms
276                    3.25 ms
277                    3.19 ms
278                    3.12 ms
279                    3.05 ms
280                    2.99 ms
281                    2.93 ms
282                    2.87 ms
283                    2.80 ms
284                    2.73 ms
285                    3.67 ms
286                    3.61 ms
287                    3.54 ms
288                    3.48 ms
289                    3.41 ms
290                    3.35 ms
291                    3.29 ms
292                    3.22 ms
293                    4.16 ms
294                    4.10 ms
295                    4.03 ms
296                    3.94 ms
297                    3.87 ms
298                    3.81 ms
299                    3.75 ms
300                    3.68 ms
301                    3.60 ms
302                    3.54 ms
303                    3.47 ms
304                    3.41 ms
305                    3.34 ms
306                    3.28 ms
307                    3.21 ms
308                    3.15 ms
309                    3.09 ms
310                    3.02 ms
311                    2.95 ms
312                    2.89 ms
313                    2.83 ms
314                    2.76 ms
315                    3.70 ms
316                    3.62 ms
317                    3.55 ms
318                    3.48 ms
319                    3.42 ms
320                    3.36 ms
321                    3.29 ms
322                    3.23 ms
323                    3.17 ms
324                    3.11 ms
325                    3.04 ms
326                    2.98 ms
327                    2.92 ms
328                    2.85 ms
329                    2.78 ms
330                    2.70 ms
331                    3.64 ms
332                    3.55 ms
333                    3.48 ms
334                    3.42 ms
335                    3.35 ms
336                    3.29 ms
337                    3.22 ms
338                    3.16 ms
339                    3.10 ms
340                    3.04 ms
341                    2.97 ms
342                    2.91 ms
343                    2.85 ms
344                    3.79 ms
345                    2.72 ms
346                    3.66 ms
347                    3.59 ms
348                    3.53 ms
349                    3.47 ms
350                    3.41 ms
351                    3.34 ms
352                    3.27 ms
353                    3.21 ms
354                    3.13 ms
355                    3.07 ms
356                    3.01 ms
357                    2.94 ms
358                    2.88 ms
359                    2.81 ms
360                    2.75 ms
361                    2.69 ms
362                    3.62 ms
363                    3.56 ms
364                    3.50 ms
365                    3.44 ms
366                    3.37 ms
367                    3.31 ms
368                    4.25 ms
369                    3.19 ms
370                    4.12 ms
371                    4.06 ms
372                    4.00 ms
373                    3.94 ms
374                    3.87 ms
375                    3.81 ms
376                    3.74 ms
377                    3.68 ms
378                    3.62 ms
379                    3.55 ms
380                    3.49 ms
381                    3.43 ms
382                    3.36 ms
383                    3.30 ms
384                    3.24 ms
385                    3.17 ms
386                    3.11 ms
387                    3.05 ms
388                    2.99 ms
389                    2.92 ms
390                    2.86 ms
391                    2.80 ms
392                    2.74 ms
393                    3.67 ms
394                    3.61 ms
395                    3.55 ms
396                    3.46 ms
397                    3.39 ms
398                    3.32 ms
399                    5.26 ms
400                    4.20 ms
401                    5.11 ms
402                    4.05 ms
403                    4.99 ms
404                    3.93 ms
405                    4.86 ms
406                    3.80 ms
407                    4.73 ms
408                    3.67 ms
409                    4.60 ms
410                    3.55 ms
411                    4.48 ms
412                    3.41 ms
413                    4.35 ms
414                    3.28 ms
415                    4.22 ms
416                    3.13 ms
417                    4.07 ms
418                    3.01 ms
419                    3.95 ms
420                    2.86 ms
421                    3.79 ms
422                    2.73 ms
423                    3.67 ms
424                    3.60 ms
425                    3.54 ms
426                    3.47 ms
427                    3.41 ms
428                    3.35 ms
429                    3.28 ms
430                    3.22 ms
431                    3.15 ms
432                    3.09 ms
433                    3.02 ms
434                    2.96 ms
435                    2.89 ms
436                    2.83 ms
437                    2.76 ms
438                    3.70 ms
439                    3.63 ms
440                    3.57 ms
441                    3.50 ms
442                    3.44 ms
443                    3.37 ms
444                    3.31 ms
445                    3.25 ms
446                    4.18 ms
447                    4.12 ms
448                    4.06 ms
449                    3.99 ms
450                    3.93 ms
451                    3.87 ms
452                    3.80 ms
453                    3.74 ms
454                    3.67 ms
455                    3.61 ms
456                    3.54 ms
457                    3.47 ms
458                    3.41 ms
459                    3.35 ms
460                    3.28 ms
461                    3.22 ms
462                    3.15 ms
463                    3.09 ms
464                    3.03 ms
465                    2.96 ms
466                    2.90 ms
467                    2.83 ms
468                    3.77 ms
469                    3.70 ms
470                    3.64 ms
471                    3.57 ms
472                    3.51 ms
473                    3.45 ms
474                    3.38 ms
475                    3.32 ms
476                    3.25 ms
477                    3.19 ms
478                    3.12 ms
479                    3.06 ms
480                    3.00 ms
481                    2.93 ms
482                    2.87 ms
483                    2.80 ms
484                    2.73 ms
485                    2.67 ms
486                    3.61 ms
487                    3.54 ms
488                    3.48 ms
489                    3.41 ms
490                    3.35 ms
491                    3.28 ms
492                    3.22 ms
493                    3.15 ms
494                    3.09 ms
495                    4.02 ms
496                    2.94 ms
497                    2.87 ms
498                    2.81 ms
499                    3.73 ms
500                    3.67 ms
501                    3.59 ms
502                    3.53 ms
503                    3.46 ms
504                    3.40 ms
505                    3.33 ms
506                    3.27 ms
507                    3.20 ms
508                    3.14 ms
509                    3.07 ms
510                    3.01 ms
511                    2.94 ms
512                    2.89 ms
513                    2.82 ms
514                    3.76 ms
515                    3.68 ms
516                    3.60 ms
517                    3.54 ms
518                    3.48 ms
519                    3.41 ms
520                    3.35 ms
521                    4.28 ms
522                    3.22 ms
523                    3.16 ms
524                    4.09 ms
525                    4.03 ms
526                    3.97 ms
527                    3.90 ms
528                    3.84 ms
529                    3.77 ms
530                    3.71 ms
531                    3.65 ms
532                    3.58 ms
533                    3.52 ms
534                    3.46 ms
535                    3.39 ms
536                    3.32 ms
537                    3.25 ms
538                    3.19 ms
539                    3.13 ms
540                    3.06 ms
541                    2.99 ms
542                    2.93 ms
543                    2.87 ms
544                    3.80 ms
545                    3.74 ms
546                    2.67 ms
547                    3.61 ms
548                    3.55 ms
549                    3.48 ms
550                    3.42 ms
551                    3.36 ms
552                    3.29 ms
553                    4.23 ms
554                    3.16 ms
555                    4.10 ms
556                    5.03 ms
557                    3.97 ms
558                    4.90 ms
559                    3.84 ms
560                    4.78 ms
561                    3.71 ms
562                    4.65 ms
563                    3.59 ms
564                    4.52 ms
565                    3.45 ms
566                    4.39 ms
567                    3.33 ms
568                    4.27 ms
569                    3.20 ms
570                    4.13 ms
571                    3.07 ms
572                    4.01 ms
573                    2.94 ms
574                    3.88 ms
575                    2.82 ms
576                    3.74 ms
577                    3.68 ms
578                    3.61 ms
579                    3.55 ms
580                    3.49 ms
581                    3.42 ms
582                    3.36 ms
583                    3.30 ms
584                    3.23 ms
585                    3.17 ms
586                    3.10 ms
587                    3.04 ms
588                    2.97 ms
589                    2.91 ms
590                    2.84 ms
591                    2.78 ms
592                    3.71 ms
593                    3.65 ms
594                    3.58 ms
595                    3.52 ms
596                    3.42 ms
597                    3.35 ms
598                    3.28 ms
599                    3.23 ms
600                    4.15 ms
601                    4.07 ms
602                    4.01 ms
603                    3.94 ms
604                    3.88 ms
605                    3.82 ms
606                    3.76 ms
607                    3.69 ms
608                    3.63 ms
609                    3.56 ms
610                    3.50 ms
611                    3.43 ms
612                    3.37 ms
613                    3.31 ms
614                    3.25 ms
615                    3.20 ms
616                    3.12 ms
617                    3.05 ms
618                    2.99 ms
619                    2.93 ms
620                    2.84 ms
621                    2.78 ms
622                    3.71 ms
623                    3.64 ms
624                    3.58 ms
625                    3.51 ms
626                    3.46 ms
627                    3.39 ms
628                    3.32 ms
629                    3.26 ms
630                    3.19 ms
631                    3.13 ms
632                    3.06 ms
633                    3.00 ms
634                    2.93 ms
635                    2.87 ms
636                    2.80 ms
637                    2.74 ms
638                    3.67 ms
639                    3.61 ms
640                    3.54 ms
641                    3.48 ms
642                    3.41 ms
643                    3.35 ms
644                    3.29 ms
645                    3.22 ms
646                    3.16 ms
647                    3.10 ms
648                    3.03 ms
649                    2.97 ms
650                    2.90 ms
651                    2.83 ms
652                    2.77 ms
653                    2.71 ms
654                    3.64 ms
655                    3.58 ms
656                    3.51 ms
657                    3.45 ms
658                    3.39 ms
659                    3.32 ms
660                    3.25 ms
661                    3.19 ms
662                    3.13 ms
663                    3.06 ms
664                    3.00 ms
665                    2.94 ms
666                    2.87 ms
667                    2.81 ms
668                    2.74 ms
669                    3.68 ms
670                    3.61 ms
671                    3.55 ms
672                    3.48 ms
673                    3.42 ms
674                    3.36 ms
675                    3.29 ms
676                    3.22 ms
677                    4.16 ms
678                    4.10 ms
679                    4.03 ms
680                    3.98 ms
681                    3.92 ms
682                    3.84 ms
683                    3.78 ms
684                    3.71 ms
685                    3.65 ms
686                    3.58 ms
687                    3.52 ms
688                    3.45 ms
689                    3.38 ms
690                    3.32 ms
691                    3.26 ms
692                    3.19 ms
693                    3.13 ms
694                    3.06 ms
695                    3.00 ms
696                    2.90 ms
697                    2.83 ms
698                    2.76 ms
699                    2.70 ms
700                    3.63 ms
701                    3.56 ms
702                    3.49 ms
703                    3.43 ms
704                    3.36 ms
705                    3.30 ms
706                    4.23 ms
707                    5.17 ms
708                    4.11 ms
709                    5.05 ms
710                    3.98 ms
711                    4.92 ms
712                    3.85 ms
713                    4.79 ms
714                    3.73 ms
715                    4.68 ms
716                    3.60 ms
717                    4.54 ms
718                    3.48 ms
719                    4.41 ms
720                    3.35 ms
721                    4.28 ms
722                    3.22 ms
723                    4.16 ms
724                    3.10 ms
725                    4.03 ms
726                    2.97 ms
727                    3.90 ms
728                    2.84 ms
729                    3.78 ms
730                    3.71 ms
731                    3.65 ms
732                    3.58 ms
733                    3.52 ms
734                    3.47 ms
735                    3.39 ms
736                    3.32 ms
737                    3.26 ms
738                    3.20 ms
739                    3.13 ms
740                    3.07 ms
741                    3.00 ms
742                    2.94 ms
743                    2.87 ms
744                    3.81 ms
745                    3.75 ms
746                    3.68 ms
747                    3.62 ms
748                    3.55 ms
749                    3.49 ms
750                    3.43 ms
751                    3.37 ms
752                    3.30 ms
753                    3.24 ms
754                    4.18 ms
755                    4.11 ms
756                    4.05 ms
757                    3.98 ms
758                    3.92 ms
759                    3.87 ms
760                    3.79 ms
761                    3.73 ms
762                    3.67 ms
763                    3.61 ms
764                    3.54 ms
765                    3.48 ms
766                    3.42 ms
767                    3.35 ms
768                    3.29 ms
769                    3.23 ms
770                    3.17 ms
771                    3.10 ms
772                    3.04 ms
773                    2.98 ms
774                    2.91 ms
775                    2.85 ms
776                    2.79 ms
777                    3.72 ms
778                    3.66 ms
779                    3.60 ms
780                    3.54 ms
781                    3.47 ms
782                    3.41 ms
783                    3.35 ms
784                    3.28 ms
785                    3.22 ms
786                    3.17 ms
787                    3.10 ms
788                    3.03 ms
789                    2.97 ms
790                    2.91 ms
791                    2.84 ms
792                    2.77 ms
793                    3.71 ms
794                    3.64 ms
795                    3.58 ms
796                    3.49 ms
797                    3.43 ms
798                    3.36 ms
799                    3.30 ms
800                    3.23 ms
801                    3.15 ms
802                    3.09 ms
803                    3.03 ms
804                    2.96 ms
805                    2.90 ms
806                    2.83 ms
807                    2.77 ms
808                    3.71 ms
809                    3.64 ms
810                    3.58 ms
811                    3.52 ms
812                    3.45 ms
813                    3.40 ms
814                    3.33 ms
815                    3.29 ms
816                    3.21 ms
817                    3.14 ms
818                    3.07 ms
819                    3.02 ms
820                    2.94 ms
821                    2.87 ms
822                    2.81 ms
823                    3.74 ms
824                    3.68 ms
825                    3.62 ms
826                    3.56 ms
827                    3.49 ms
828                    3.43 ms
829                    3.37 ms
830                    3.31 ms
831                    3.24 ms
832                    4.18 ms
833                    4.12 ms
834                    4.06 ms
835                    3.99 ms
836                    3.93 ms
837                    3.87 ms
838                    3.80 ms
839                    3.74 ms
840                    3.68 ms
841                    3.62 ms
842                    3.55 ms
843                    3.49 ms
844                    3.43 ms
845                    3.37 ms
846                    3.30 ms
847                    3.24 ms
848                    3.17 ms
849                    3.11 ms
850                    3.05 ms
851                    2.98 ms
852                    2.92 ms
853                    2.85 ms
854                    3.79 ms
855                    3.72 ms
856                    3.66 ms
857                    3.59 ms
858                    3.53 ms
859                    3.47 ms
860                    3.40 ms
861                    3.34 ms
862                    3.35 ms
863                    4.21 ms
864                    5.14 ms
865                    4.07 ms
866                    5.01 ms
867                    3.96 ms
868                    4.88 ms
869                    3.82 ms
870                    4.76 ms
871                    3.69 ms
872                    4.63 ms
873                    3.57 ms
874                    4.50 ms
875                    3.44 ms
876                    4.37 ms
877                    3.31 ms
878                    4.24 ms
879                    3.18 ms
880                    4.12 ms
881                    3.05 ms
882                    3.99 ms
883                    2.93 ms
884                    3.86 ms
885                    2.80 ms
886                    3.74 ms
887                    3.67 ms
888                    3.60 ms
889                    3.54 ms
890                    3.47 ms
891                    3.41 ms
892                    3.34 ms
893                    3.28 ms
894                    3.21 ms
895                    3.11 ms
896                    3.03 ms
897                    2.96 ms
898                    2.89 ms
899                    2.83 ms
900                    2.77 ms
901                    3.69 ms
902                    3.63 ms
903                    3.56 ms
904                    3.50 ms
905                    3.44 ms
906                    3.37 ms
907                    3.31 ms
908                    3.24 ms
909                    3.18 ms
910                    4.12 ms
911                    4.06 ms
912                    3.99 ms
913                    3.92 ms
914                    3.86 ms
915                    3.78 ms
916                    3.70 ms
917                    3.64 ms
918                    3.58 ms
919                    3.52 ms
920                    3.45 ms
921                    3.40 ms
922                    3.32 ms
923                    3.26 ms
924                    3.19 ms
925                    3.13 ms
926                    3.07 ms
927                    3.00 ms
928                    2.94 ms
929                    2.88 ms
930                    2.81 ms
931                    2.75 ms
932                    3.68 ms
933                    3.62 ms
934                    3.55 ms
935                    3.48 ms
936                    3.42 ms
