Label                  Latency
1                      4.87 ms
2                      3.71 ms
3                      3.62 ms
4                      4.53 ms
5                      7.47 ms
6                      4.40 ms
7                      8.33 ms
8                      3.26 ms
9                      3.17 ms
10                     3.08 ms
11                     4.00 ms
12                     3.92 ms
13                     5.84 ms
14                     3.77 ms
15                    10.70 ms
16                     3.64 ms
17                     3.56 ms
18                     3.48 ms
19                     3.42 ms
20                     4.32 ms
21                    10.26 ms
22                     4.19 ms
23                     9.11 ms
24                     5.04 ms
25                     3.96 ms
26                     3.88 ms
27                     3.81 ms
28                     3.73 ms
29                     4.67 ms
30                     6.60 ms
31                     3.51 ms
32                     8.43 ms
33                     4.36 ms
34                     4.29 ms
35                     5.22 ms
36                     3.15 ms
37                     3.07 ms
38                     4.00 ms
39                     3.93 ms
40                     3.84 ms
41                     8.78 ms
42                     3.69 ms
43                     4.62 ms
44                     3.54 ms
45                     3.48 ms
46                     4.40 ms
48                     4.26 ms
49                     3.18 ms
50                     3.11 ms
51                     4.01 ms
52                     4.96 ms
53                     3.87 ms
54                     3.78 ms
55                     3.72 ms
56                     3.63 ms
57                     4.56 ms
58                     3.48 ms
59                     5.41 ms
60                     3.34 ms
61                     7.27 ms
62                     4.19 ms
63                     3.12 ms
64                     3.01 ms
65                     3.93 ms
66                     3.85 ms
67                     3.81 ms
68                     7.71 ms
69                     3.63 ms
70                     3.55 ms
71                    11.48 ms
72                     3.42 ms
73                     3.33 ms
74                     6.27 ms
75                     3.18 ms
76                     4.11 ms
77                     3.05 ms
78                     3.97 ms
79                     3.89 ms
80                     4.83 ms
81                     3.75 ms
82                     3.67 ms
83                     3.61 ms
84                     3.53 ms
85                     4.47 ms
86                     9.39 ms
87                     3.31 ms
88                     3.25 ms
89                     3.18 ms
90                     4.11 ms
91                     9.02 ms
92                     2.96 ms
93                     6.88 ms
94                     3.80 ms
95                     3.74 ms
96                     3.67 ms
97                     3.58 ms
98                     6.51 ms
99                     4.45 ms
100                    3.38 ms
101                    3.28 ms
102                    3.20 ms
103                    5.15 ms
104                    4.06 ms
105                    3.98 ms
106                    3.93 ms
107                    3.84 ms
108                    6.77 ms
109                    4.69 ms
110                    3.62 ms
111                    4.55 ms
112                    3.47 ms
113                    4.40 ms
114                    3.35 ms
115                    3.27 ms
116                    4.19 ms
117                    3.11 ms
118                    5.04 ms
119                    5.96 ms
120                    9.89 ms
121                    3.82 ms
122                    3.75 ms
123                    3.69 ms
124                    7.61 ms
125                    3.52 ms
126                    3.45 ms
127                    4.38 ms
128                    3.29 ms
129                    3.24 ms
130                    3.15 ms
131                    3.07 ms
132                    4.01 ms
133                    3.93 ms
134                    3.86 ms
135                    3.79 ms
136                    4.73 ms
137                    5.65 ms
138                    5.57 ms
139                    8.50 ms
140                    3.43 ms
141                    5.36 ms
142                    5.29 ms
143                    3.21 ms
144                    3.15 ms
145                    3.08 ms
146                    3.99 ms
147                    3.92 ms
148                    3.85 ms
149                    3.77 ms
150                    3.70 ms
151                    3.62 ms
152                   11.55 ms
153                    3.48 ms
154                    3.41 ms
155                    4.35 ms
156                    3.26 ms
157                    3.21 ms
158                    3.11 ms
159                   12.05 ms
160                    4.00 ms
161                    7.93 ms
162                    3.84 ms
163                    3.76 ms
164                    4.72 ms
165                    5.63 ms
166                    3.54 ms
167                    8.47 ms
168                    3.42 ms
169                    4.33 ms
170                    8.28 ms
171                    3.20 ms
172                    3.11 ms
173                    3.05 ms
174                    3.97 ms
175                    3.88 ms
176                    3.81 ms
177                    6.74 ms
178                    3.67 ms
179                    5.59 ms
180                    3.54 ms
181                    3.45 ms
182                   10.39 ms
183                    4.31 ms
184                    3.24 ms
185                    3.18 ms
186                    3.09 ms
187                    5.04 ms
188                    3.96 ms
189                    3.88 ms
190                    3.82 ms
191                    3.73 ms
192                    7.66 ms
193                    3.59 ms
194                    3.53 ms
195                    3.44 ms
