Label                  Latency
1                     10.49 ms
2                      4.34 ms
3                      6.27 ms
4                      3.19 ms
5                      4.06 ms
6                      2.99 ms
7                      3.89 ms
8                      5.82 ms
9                      3.74 ms
10                     3.66 ms
11                     3.58 ms
12                     3.50 ms
13                     3.43 ms
14                     3.35 ms
15                    11.27 ms
16                     4.19 ms
17                     3.10 ms
18                     4.02 ms
19                     3.93 ms
20                     4.85 ms
21                     3.77 ms
22                     3.69 ms
23                     8.62 ms
24                     3.54 ms
25                     3.45 ms
26                     6.41 ms
27                     3.33 ms
28                     5.24 ms
29                     4.16 ms
30                     4.09 ms
31                     3.01 ms
32                     2.93 ms
33                     5.84 ms
34                     9.76 ms
35                     5.70 ms
36                     8.62 ms
37                     6.53 ms
38                     3.45 ms
39                     3.40 ms
40                     3.33 ms
41                     6.24 ms
42                     3.16 ms
43                     3.09 ms
44                     3.98 ms
45                     3.90 ms
46                     4.83 ms
47                    12.76 ms
48                     3.67 ms
49                     3.58 ms
50                     4.50 ms
51                     4.42 ms
52                     8.34 ms
53                     4.25 ms
54                     9.17 ms
55                     3.11 ms
56                     4.02 ms
57                     9.93 ms
58                     5.87 ms
59                     3.78 ms
60                     3.70 ms
61                     8.64 ms
62                     4.57 ms
63                     3.46 ms
64                     9.41 ms
65                     4.33 ms
66                     3.25 ms
67                     4.18 ms
68                     4.11 ms
69                     4.02 ms
70                     3.96 ms
71                     3.86 ms
72                     3.79 ms
73                     3.71 ms
74                     3.64 ms
75                     3.54 ms
76                     9.47 ms
77                     3.41 ms
78                    10.33 ms
79                     3.25 ms
80                     3.17 ms
81                    13.10 ms
82                     3.03 ms
83                     3.94 ms
84                     3.87 ms
85                    11.79 ms
86                     3.70 ms
87                     3.63 ms
88                     5.56 ms
89                     3.49 ms
90                     9.40 ms
91                     3.33 ms
92                     5.25 ms
93                     4.19 ms
94                     7.11 ms
95                     6.03 ms
96                     5.95 ms
97                     4.86 ms
98                     5.80 ms
99                     3.72 ms
100                    5.65 ms
101                    3.53 ms
102                    9.46 ms
103                    3.41 ms
104                    4.32 ms
105                    3.25 ms
106                    3.17 ms
107                    4.08 ms
108                    8.96 ms
109                    3.88 ms
110                    3.80 ms
111                    3.74 ms
112                    3.64 ms
113                    3.57 ms
114                    3.48 ms
115                    3.40 ms
116                    3.32 ms
117                    3.24 ms
118                    4.17 ms
119                    3.09 ms
120                    4.01 ms
121                    2.95 ms
122                    3.87 ms
123                    3.81 ms
124                    3.72 ms
125                    3.66 ms
126                    3.58 ms
127                    4.51 ms
128                    3.43 ms
129                    3.41 ms
130                    3.33 ms
131                    7.26 ms
132                    4.18 ms
133                    3.11 ms
134                    3.03 ms
135                    5.95 ms
136                    4.89 ms
137                    3.81 ms
138                    3.75 ms
139                    3.66 ms
140                    5.59 ms
141                    4.53 ms
