Label                  Latency
1                      4.67 ms
2                      3.56 ms
3                      3.45 ms
4                      9.35 ms
5                      4.27 ms
6                      4.19 ms
7                      4.09 ms
8                      5.01 ms
9                      3.90 ms
10                     3.82 ms
11                     3.74 ms
12                     3.64 ms
13                    10.57 ms
14                     3.50 ms
15                     9.40 ms
16                     3.31 ms
17                     4.24 ms
18                     6.18 ms
19                     5.11 ms
20                     4.02 ms
21                     3.96 ms
22                     3.88 ms
23                     3.82 ms
24                     4.74 ms
25                     3.67 ms
26                     3.58 ms
27                     4.51 ms
28                     3.45 ms
29                     5.39 ms
30                     4.29 ms
31                     7.23 ms
32                     5.14 ms
33                     9.07 ms
34                     4.00 ms
35                     5.91 ms
36                     4.84 ms
37                     5.78 ms
38                     3.71 ms
39                     3.62 ms
40                     3.57 ms
41                     4.48 ms
42                     8.40 ms
43                     3.33 ms
44                     7.26 ms
45                     4.17 ms
46                     6.11 ms
47                     4.02 ms
48                     6.97 ms
49                     3.89 ms
50                     6.82 ms
51                     3.74 ms
52                     3.66 ms
53                     3.60 ms
54                     3.54 ms
55                     4.44 ms
56                     3.40 ms
57                     7.29 ms
58                     4.21 ms
59                     5.14 ms
60                     9.08 ms
61                     3.99 ms
62                     3.94 ms
63                     3.81 ms
64                     4.72 ms
65                     3.66 ms
66                     3.55 ms
67                     3.46 ms
68                     3.34 ms
69                     4.25 ms
70                     4.18 ms
71                     5.12 ms
72                     6.03 ms
73                     5.97 ms
74                     3.88 ms
75                     3.81 ms
76                     5.74 ms
77                     3.68 ms
78                     4.58 ms
79                     8.51 ms
80                     3.45 ms
81                     3.36 ms
82                     5.29 ms
83                     4.22 ms
84                     4.14 ms
85                     4.08 ms
86                     4.00 ms
87                     6.94 ms
88                     3.85 ms
89                     3.79 ms
90                     4.71 ms
91                     8.64 ms
92                     4.56 ms
93                     3.50 ms
94                     3.41 ms
95                     4.34 ms
96                     4.26 ms
97                     4.19 ms
98                     8.11 ms
99                     7.06 ms
100                    3.96 ms
101                    5.89 ms
102                    3.82 ms
103                    7.72 ms
104                    3.65 ms
105                   11.58 ms
106                    4.50 ms
107                    9.43 ms
108                    3.37 ms
109                    8.30 ms
110                    5.21 ms
111                    6.15 ms
112                    4.07 ms
113                    7.00 ms
114                    3.92 ms
115                    4.85 ms
116                    3.80 ms
117                    3.72 ms
118                   11.63 ms
119                    3.58 ms
120                    4.49 ms
121                    3.44 ms
122                    4.36 ms
123                    6.27 ms
124                    4.20 ms
125                    5.14 ms
126                    4.03 ms
127                    9.97 ms
128                    3.89 ms
129                    9.81 ms
130                    3.74 ms
131                    3.67 ms
132                   12.58 ms
133                    3.52 ms
134                    4.44 ms
135                    3.38 ms
136                    3.29 ms
137                    4.22 ms
138                    5.15 ms
139                    5.09 ms
140                    4.00 ms
141                    3.94 ms
142                    3.87 ms
143                    4.79 ms
144                    4.72 ms
145                    3.66 ms
146                    8.58 ms
147                    3.51 ms
148                   11.44 ms
149                    5.36 ms
150                    3.28 ms
151                    4.22 ms
152                    4.13 ms
153                    4.06 ms
154                    3.99 ms
155                    3.92 ms
156                    3.85 ms
157                    4.80 ms
158                    6.70 ms
159                    3.64 ms
160                    6.55 ms
161                    3.49 ms
162                    4.41 ms
163                    3.34 ms
164                    4.27 ms
165                    4.19 ms
166                    5.12 ms
167                    5.05 ms
168                    4.98 ms
169                    6.90 ms
170                    3.83 ms
171                    7.77 ms
172                    3.71 ms
173                    3.61 ms
174                    4.55 ms
175                    3.48 ms
176                    4.39 ms
177                    4.33 ms
178                    4.24 ms
179                    4.18 ms
180                    4.10 ms
181                    6.04 ms
182                    3.96 ms
183                    3.88 ms
184                    3.83 ms
185                    4.74 ms
186                    3.67 ms
187                    4.60 ms
188                    3.52 ms
189                   11.44 ms
190                    4.36 ms
191                    4.29 ms
192                    9.22 ms
193                    4.15 ms
194                    5.06 ms
195                    3.99 ms
196                    3.92 ms
197                    3.86 ms
198                    3.77 ms
199                    4.69 ms
200                    8.63 ms
201                    3.55 ms
202                    4.46 ms
203                    3.39 ms
204                    4.30 ms
205                    4.24 ms
206                    4.16 ms
207                    4.08 ms
208                    4.00 ms
209                    4.95 ms
210                    3.85 ms
211                   12.78 ms
212                    3.72 ms
213                    5.64 ms
214                    3.58 ms
215                   12.49 ms
216                    3.43 ms
217                    3.35 ms
218                    4.30 ms
219                    4.20 ms
220                    4.14 ms
221                    8.06 ms
222                    4.98 ms
223                    4.92 ms
224                    3.83 ms
225                    3.76 ms
226                    3.68 ms
227                    7.60 ms
228                    3.53 ms
229                    3.47 ms
230                    6.41 ms
231                    3.32 ms
232                   10.25 ms
233                    4.17 ms
234                    4.11 ms
235                    4.04 ms
236                    3.95 ms
237                    4.89 ms
238                    3.81 ms
239                    3.72 ms
240                    3.66 ms
241                    4.58 ms
242                    3.51 ms
243                    3.44 ms
244                    6.35 ms
245                    6.29 ms
246                    5.22 ms
247                    4.13 ms
248                    4.06 ms
249                    3.98 ms
250                   10.92 ms
251                    3.83 ms
252                    3.77 ms
253                   12.68 ms
254                    3.62 ms
255                    4.54 ms
256                    3.48 ms
257                    3.39 ms
258                    3.31 ms
259                    4.22 ms
260                    4.15 ms
261                    4.08 ms
262                    4.02 ms
263                    5.93 ms
264                    3.86 ms
265                    3.78 ms
266                    3.73 ms
267                    3.64 ms
268                   11.57 ms
269                    4.49 ms
270                    3.42 ms
271                    3.37 ms
272                    3.29 ms
273                    5.20 ms
274                    4.13 ms
275                    4.06 ms
276                    6.98 ms
277                    3.91 ms
278                    6.85 ms
279                    3.79 ms
280                    6.69 ms
281                    3.63 ms
282                    5.55 ms
283                    4.47 ms
284                    3.43 ms
285                    3.33 ms
286                   11.26 ms
287                    4.18 ms
288                    4.11 ms
289                    4.04 ms
290                    3.96 ms
291                    3.89 ms
292                    3.80 ms
293                    3.75 ms
294                    3.67 ms
295                    3.58 ms
296                    3.52 ms
297                    4.43 ms
298                    4.36 ms
299                    3.28 ms
300                    7.22 ms
301                    5.12 ms
302                    4.03 ms
303                    3.96 ms
304                    3.90 ms
305                    3.82 ms
306                    4.74 ms
307                    3.66 ms
308                    3.60 ms
309                    3.50 ms
310                    3.45 ms
311                    4.35 ms
312                    3.31 ms
313                    4.22 ms
314                    4.15 ms
315                   10.06 ms
316                    3.99 ms
