Label                  Latency
1                      5.07 ms
2                      3.94 ms
3                      3.86 ms
4                      3.79 ms
5                      4.71 ms
6                      3.64 ms
7                      3.57 ms
8                      3.50 ms
9                      3.43 ms
10                     4.35 ms
11                     4.28 ms
12                     4.21 ms
13                     4.14 ms
14                     4.07 ms
15                     3.99 ms
16                     3.91 ms
17                     3.84 ms
18                     3.77 ms
19                     4.70 ms
20                     3.63 ms
21                     3.56 ms
22                     3.48 ms
23                     3.41 ms
24                     4.34 ms
25                     4.27 ms
26                     4.20 ms
27                     4.12 ms
28                     5.05 ms
29                     3.98 ms
30                     2.91 ms
31                     3.83 ms
32                     3.76 ms
33                     4.69 ms
34                     3.62 ms
35                     3.55 ms
36                     3.48 ms
37                     3.40 ms
38                     4.33 ms
39                     3.26 ms
40                     4.19 ms
41                     4.12 ms
42                     3.05 ms
43                     3.97 ms
44                     3.90 ms
45                     3.83 ms
46                     3.76 ms
47                     3.69 ms
48                     3.62 ms
49                     3.54 ms
50                     3.47 ms
51                     3.40 ms
52                     4.33 ms
53                     4.26 ms
54                     4.19 ms
55                     4.11 ms
56                     4.04 ms
57                     3.97 ms
58                     3.90 ms
59                     3.83 ms
60                     3.76 ms
61                     4.69 ms
62                     3.61 ms
63                     3.55 ms
64                     3.46 ms
65                     3.39 ms
66                     4.32 ms
67                     4.25 ms
68                     4.17 ms
69                     4.10 ms
70                     4.03 ms
71                     2.95 ms
72                     3.88 ms
73                     3.80 ms
74                     3.73 ms
75                     4.66 ms
76                     3.58 ms
77                     3.51 ms
78                     3.44 ms
79                     3.37 ms
80                     4.30 ms
81                     4.22 ms
82                     4.15 ms
83                     4.08 ms
84                     4.01 ms
85                     3.94 ms
86                     3.86 ms
87                     3.79 ms
88                     3.72 ms
89                     4.65 ms
90                     3.58 ms
91                     3.51 ms
92                     3.43 ms
93                     3.36 ms
94                     4.29 ms
95                     4.22 ms
96                     4.15 ms
97                     4.07 ms
98                     3.00 ms
99                     3.93 ms
100                    3.86 ms
101                    3.77 ms
102                    3.70 ms
103                    4.63 ms
104                    3.56 ms
105                    3.49 ms
106                    3.41 ms
107                    3.34 ms
108                    4.27 ms
109                    4.20 ms
110                    4.13 ms
111                    4.06 ms
112                    4.99 ms
113                    3.91 ms
114                    3.84 ms
115                    3.77 ms
116                    3.69 ms
117                    4.63 ms
118                    3.56 ms
119                    3.48 ms
120                    3.41 ms
121                    3.34 ms
122                    4.27 ms
123                    4.19 ms
124                    4.12 ms
125                    4.12 ms
126                    3.98 ms
127                    3.90 ms
128                    3.83 ms
129                    3.76 ms
130                    3.69 ms
131                    4.62 ms
132                    3.54 ms
133                    3.47 ms
134                    3.40 ms
135                    3.33 ms
136                    4.26 ms
137                    4.18 ms
138                    4.11 ms
139                    4.04 ms
140                    4.97 ms
141                    3.90 ms
142                    3.83 ms
143                    3.76 ms
144                    3.69 ms
145                    3.61 ms
146                    3.54 ms
147                    3.47 ms
148                    3.40 ms
149                    3.32 ms
150                    4.25 ms
151                    4.18 ms
152                    4.11 ms
153                    4.04 ms
154                    2.97 ms
155                    3.90 ms
156                    3.83 ms
157                    3.75 ms
158                    3.68 ms
159                    4.61 ms
160                    3.54 ms
161                    3.46 ms
162                    3.39 ms
163                    5.32 ms
164                    4.25 ms
165                    4.18 ms
166                    4.11 ms
167                    4.04 ms
168                    4.97 ms
169                    3.89 ms
170                    3.83 ms
171                    3.75 ms
172                    3.68 ms
173                    4.61 ms
174                    3.54 ms
175                    3.46 ms
176                    3.39 ms
177                    3.32 ms
178                    4.25 ms
179                    4.18 ms
180                    4.11 ms
181                    4.03 ms
182                    3.96 ms
183                    3.90 ms
184                    3.82 ms
185                    3.75 ms
186                    3.68 ms
187                    4.61 ms
188                    3.54 ms
189                    3.46 ms
190                    3.39 ms
191                    3.32 ms
192                    4.25 ms
193                    4.17 ms
194                    4.10 ms
195                    4.03 ms
196                    4.96 ms
197                    3.89 ms
198                    3.82 ms
199                    3.74 ms
200                    3.67 ms
201                    4.59 ms
202                    3.52 ms
203                    3.45 ms
204                    3.37 ms
205                    4.30 ms
206                    4.23 ms
207                    3.16 ms
208                    4.09 ms
209                    4.02 ms
210                    2.95 ms
211                    3.88 ms
212                    3.81 ms
213                    3.73 ms
214                    3.66 ms
215                    4.59 ms
216                    3.52 ms
217                    3.45 ms
218                    3.38 ms
219                    5.30 ms
220                    4.23 ms
221                    4.16 ms
222                    4.09 ms
223                    4.01 ms
224                    4.94 ms
225                    3.87 ms
226                    3.80 ms
227                    3.73 ms
228                    3.66 ms
229                    4.58 ms
230                    3.51 ms
231                    3.44 ms
232                    3.37 ms
233                    3.30 ms
234                    4.23 ms
235                    4.16 ms
236                    4.08 ms
237                    4.01 ms
238                    2.94 ms
239                    3.87 ms
240                    3.79 ms
241                    3.72 ms
242                    3.65 ms
243                    4.58 ms
244                    3.51 ms
245                    3.44 ms
246                    3.37 ms
247                    4.30 ms
248                    4.22 ms
249                    4.15 ms
250                    4.08 ms
251                    4.01 ms
252                    4.94 ms
253                    3.87 ms
254                    3.79 ms
255                    3.72 ms
256                    3.65 ms
257                    4.58 ms
258                    3.51 ms
259                    3.43 ms
260                    3.36 ms
261                    4.29 ms
262                    4.21 ms
263                    4.14 ms
264                    4.07 ms
265                    4.00 ms
266                    2.93 ms
267                    3.86 ms
268                    3.78 ms
269                    3.71 ms
270                    3.64 ms
271                    4.57 ms
272                    3.50 ms
273                    3.42 ms
274                    3.35 ms
275                    5.28 ms
276                    4.21 ms
277                    4.14 ms
278                    4.06 ms
279                    3.99 ms
280                    4.92 ms
281                    3.84 ms
282                    3.77 ms
283                    3.70 ms
284                    3.63 ms
285                    4.56 ms
286                    3.49 ms
287                    3.42 ms
288                    3.34 ms
289                    3.27 ms
290                    4.20 ms
291                    4.13 ms
292                    4.06 ms
293                    3.98 ms
294                    3.91 ms
295                    2.84 ms
296                    3.77 ms
297                    3.69 ms
298                    3.62 ms
299                    4.55 ms
300                    3.48 ms
301                    3.40 ms
302                    3.33 ms
303                    5.26 ms
304                    4.18 ms
305                    4.11 ms
306                    4.04 ms
307                    3.97 ms
308                    3.90 ms
309                    3.82 ms
310                    3.75 ms
311                    3.68 ms
312                    3.61 ms
313                    4.54 ms
314                    3.46 ms
315                    3.39 ms
316                    3.32 ms
317                    4.25 ms
318                    4.18 ms
319                    4.11 ms
320                    4.03 ms
321                    3.96 ms
322                    4.89 ms
323                    3.81 ms
324                    3.74 ms
325                    3.67 ms
326                    3.60 ms
327                    4.53 ms
328                    3.46 ms
329                    3.38 ms
330                    4.31 ms
331                    4.24 ms
332                    4.17 ms
333                    4.10 ms
334                    4.03 ms
335                    2.95 ms
336                    4.88 ms
337                    3.81 ms
338                    3.74 ms
339                    3.67 ms
340                    3.59 ms
341                    4.52 ms
342                    3.45 ms
343                    3.38 ms
344                    4.32 ms
345                    3.23 ms
346                    4.16 ms
347                    4.09 ms
348                    4.02 ms
349                    2.94 ms
350                    3.87 ms
351                    3.80 ms
352                    3.73 ms
353                    3.66 ms
354                    3.59 ms
355                    4.51 ms
356                    3.44 ms
357                    3.37 ms
358                    4.30 ms
359                    5.23 ms
360                    4.16 ms
361                    4.08 ms
362                    4.01 ms
363                    3.94 ms
364                    4.87 ms
365                    3.80 ms
366                    3.73 ms
367                    3.65 ms
368                    3.58 ms
369                    4.51 ms
370                    3.44 ms
371                    4.37 ms
372                    4.30 ms
373                    4.23 ms
374                    4.16 ms
375                    4.08 ms
376                    4.01 ms
377                    3.94 ms
378                    2.86 ms
379                    3.79 ms
380                    3.72 ms
381                    3.65 ms
382                    3.58 ms
383                    4.50 ms
384                    3.43 ms
385                    3.36 ms
386                    4.29 ms
387                    5.22 ms
388                    4.15 ms
389                    4.08 ms
390                    4.01 ms
391                    3.93 ms
392                    4.86 ms
393                    3.79 ms
394                    3.72 ms
395                    3.65 ms
396                    3.57 ms
397                    4.50 ms
398                    3.43 ms
399                    3.36 ms
400                    4.29 ms
401                    3.20 ms
402                    4.13 ms
403                    4.07 ms
404                    3.99 ms
405                    3.92 ms
406                    3.85 ms
407                    3.77 ms
408                    3.70 ms
409                    3.63 ms
410                    3.56 ms
411                    3.49 ms
412                    3.42 ms
413                    3.35 ms
414                    3.27 ms
415                    5.20 ms
416                    4.14 ms
417                    4.06 ms
418                    3.99 ms
419                    3.91 ms
420                    3.84 ms
421                    3.77 ms
422                    3.70 ms
423                    3.63 ms
424                    3.56 ms
425                    4.49 ms
426                    3.42 ms
427                    3.34 ms
428                    4.27 ms
429                    3.20 ms
430                    4.13 ms
431                    4.06 ms
432                    3.99 ms
433                    3.91 ms
434                    3.84 ms
435                    3.77 ms
436                    3.71 ms
437                    3.63 ms
438                    3.55 ms
439                    4.48 ms
440                    3.41 ms
441                    3.34 ms
442                    4.27 ms
443                    5.19 ms
444                    3.12 ms
445                    4.05 ms
446                    3.98 ms
447                    3.90 ms
448                    4.83 ms
449                    3.76 ms
450                    3.69 ms
451                    3.62 ms
452                    3.55 ms
453                    4.47 ms
454                    3.40 ms
455                    3.33 ms
456                    4.26 ms
457                    4.18 ms
458                    4.11 ms
459                    4.04 ms
460                    3.97 ms
461                    2.90 ms
462                    3.83 ms
463                    3.75 ms
464                    3.68 ms
465                    3.61 ms
466                    3.54 ms
467                    4.47 ms
468                    3.40 ms
469                    3.32 ms
470                    4.25 ms
471                    5.18 ms
472                    4.11 ms
473                    3.03 ms
474                    3.96 ms
475                    3.89 ms
476                    4.82 ms
477                    3.75 ms
478                    3.67 ms
479                    3.60 ms
480                    3.53 ms
481                    4.46 ms
482                    3.39 ms
483                    3.31 ms
484                    4.24 ms
485                    3.18 ms
486                    4.10 ms
487                    4.03 ms
488                    3.96 ms
489                    3.89 ms
490                    2.81 ms
491                    3.74 ms
492                    3.67 ms
493                    3.60 ms
494                    3.53 ms
495                    3.45 ms
496                    3.38 ms
497                    3.31 ms
498                    3.24 ms
499                    5.17 ms
500                    3.09 ms
501                    4.01 ms
502                    3.94 ms
503                    3.87 ms
504                    4.80 ms
505                    3.73 ms
506                    3.65 ms
507                    3.58 ms
508                    3.51 ms
509                    4.44 ms
510                    3.36 ms
511                    3.29 ms
512                    4.22 ms
513                    3.15 ms
514                    3.08 ms
515                    4.00 ms
516                    3.93 ms
517                    3.86 ms
518                    4.79 ms
519                    3.71 ms
520                    3.64 ms
521                    3.57 ms
522                    3.50 ms
523                    4.43 ms
524                    3.36 ms
525                    4.29 ms
526                    4.21 ms
527                    5.14 ms
