Label                  Latency
1                      4.35 ms
2                      5.21 ms
3                      4.13 ms
4                      4.06 ms
5                      3.99 ms
6                      3.92 ms
7                      4.85 ms
8                      3.77 ms
9                      3.70 ms
10                     3.63 ms
11                     3.56 ms
12                     4.49 ms
13                     3.42 ms
14                     3.35 ms
15                     3.28 ms
16                     4.21 ms
17                     4.14 ms
18                     4.06 ms
19                     3.99 ms
20                     3.92 ms
21                     3.85 ms
22                     3.78 ms
23                     3.71 ms
24                     3.64 ms
25                     3.57 ms
26                     4.50 ms
27                     3.43 ms
28                     3.36 ms
29                     3.28 ms
30                     3.22 ms
31                     4.15 ms
32                     4.07 ms
33                     4.00 ms
34                     3.93 ms
35                     4.86 ms
36                     3.79 ms
37                     3.72 ms
38                     3.66 ms
39                     3.58 ms
40                     4.51 ms
41                     3.44 ms
42                     3.37 ms
43                     3.29 ms
44                     4.22 ms
45                     4.15 ms
46                     4.08 ms
47                     4.01 ms
48                     3.94 ms
49                     3.87 ms
50                     3.80 ms
51                     3.73 ms
52                     3.65 ms
53                     3.58 ms
54                     4.51 ms
55                     3.44 ms
56                     3.37 ms
57                     3.30 ms
58                     5.23 ms
59                     4.15 ms
60                     4.08 ms
61                     4.01 ms
62                     3.94 ms
63                     4.88 ms
64                     3.80 ms
65                     3.72 ms
66                     3.65 ms
67                     3.58 ms
68                     4.51 ms
69                     3.44 ms
70                     3.37 ms
71                     3.30 ms
72                     4.23 ms
73                     4.15 ms
74                     4.08 ms
75                     4.01 ms
76                     3.94 ms
77                     3.87 ms
78                     3.80 ms
79                     3.73 ms
80                     3.66 ms
81                     3.59 ms
82                     4.52 ms
83                     3.44 ms
84                     3.37 ms
85                     3.30 ms
86                     5.23 ms
87                     4.16 ms
88                     4.09 ms
89                     4.02 ms
90                     3.95 ms
91                     4.87 ms
92                     3.80 ms
93                     3.74 ms
94                     3.66 ms
95                     3.59 ms
96                     4.53 ms
97                     3.45 ms
98                     3.38 ms
99                     3.31 ms
100                    3.24 ms
101                    4.15 ms
102                    4.08 ms
103                    4.01 ms
104                    3.94 ms
105                    3.87 ms
106                    3.80 ms
107                    3.73 ms
108                    3.66 ms
109                    3.60 ms
110                    4.52 ms
111                    3.45 ms
112                    3.38 ms
113                    3.31 ms
114                    5.23 ms
115                    4.16 ms
116                    4.09 ms
117                    4.02 ms
118                    3.95 ms
119                    4.88 ms
120                    3.81 ms
121                    3.74 ms
122                    3.67 ms
123                    3.60 ms
124                    4.53 ms
125                    3.46 ms
126                    3.37 ms
127                    3.30 ms
128                    4.23 ms
129                    4.15 ms
130                    4.08 ms
131                    4.01 ms
132                    3.94 ms
133                    3.87 ms
134                    3.79 ms
135                    3.73 ms
136                    3.65 ms
137                    3.58 ms
138                    4.50 ms
139                    3.43 ms
140                    3.36 ms
141                    4.29 ms
142                    5.22 ms
143                    4.15 ms
144                    4.08 ms
145                    4.00 ms
146                    3.93 ms
147                    4.86 ms
148                    3.79 ms
149                    3.71 ms
150                    3.64 ms
151                    3.57 ms
152                    4.49 ms
153                    3.42 ms
154                    3.35 ms
155                    4.28 ms
156                    4.21 ms
157                    4.14 ms
158                    4.06 ms
159                    3.99 ms
160                    3.92 ms
161                    3.85 ms
162                    3.78 ms
163                    3.71 ms
164                    3.64 ms
165                    3.57 ms
166                    4.49 ms
167                    3.42 ms
168                    3.35 ms
169                    3.28 ms
170                    3.21 ms
171                    4.14 ms
172                    4.07 ms
173                    4.00 ms
174                    3.94 ms
175                    4.86 ms
176                    3.78 ms
177                    3.72 ms
178                    3.64 ms
179                    3.58 ms
180                    4.50 ms
181                    3.43 ms
182                    3.36 ms
183                    3.29 ms
184                    4.22 ms
185                    4.15 ms
186                    4.08 ms
187                    4.00 ms
188                    3.93 ms
189                    3.86 ms
190                    3.78 ms
191                    3.69 ms
192                    3.60 ms
193                    3.53 ms
194                    4.46 ms
195                    3.39 ms
196                    3.32 ms
