Label                  Latency
1                     19.63 ms
2                     13.29 ms
3                      7.22 ms
4                      8.15 ms
5                      8.08 ms
6                      9.01 ms
7                      3.95 ms
8                      3.87 ms
9                      7.80 ms
10                     7.75 ms
11                    12.66 ms
12                    12.59 ms
13                     9.52 ms
14                    14.46 ms
15                    14.39 ms
16                    11.34 ms
17                    12.26 ms
18                     8.19 ms
19                    15.11 ms
20                    14.05 ms
21                    15.99 ms
22                    11.92 ms
23                     5.84 ms
24                     3.77 ms
25                     3.70 ms
26                     3.63 ms
27                     4.57 ms
28                     5.48 ms
29                     9.42 ms
30                     4.36 ms
31                     9.28 ms
32                    11.20 ms
33                    13.15 ms
34                     9.07 ms
35                     3.99 ms
36                     3.92 ms
37                     4.84 ms
38                     4.77 ms
39                     3.70 ms
40                     3.64 ms
41                     3.55 ms
42                     6.50 ms
43                     4.43 ms
44                     5.34 ms
45                     3.28 ms
46                     3.20 ms
47                     4.13 ms
48                    10.05 ms
49                     9.00 ms
50                     3.92 ms
51                     5.85 ms
52                     3.77 ms
53                     3.70 ms
54                     5.65 ms
55                     4.56 ms
56                     5.48 ms
57                     4.41 ms
58                     3.34 ms
59                     3.26 ms
60                     3.20 ms
61                     5.13 ms
62                     4.04 ms
63                     3.96 ms
64                     7.90 ms
65                     3.81 ms
66                    10.75 ms
67                     9.68 ms
68                     3.59 ms
69                     3.52 ms
70                     3.46 ms
71                     4.37 ms
72                     7.31 ms
73                     3.23 ms
74                     3.16 ms
75                     6.09 ms
76                     4.02 ms
77                     3.94 ms
78                     3.88 ms
79                     9.80 ms
80                    10.73 ms
81                     3.65 ms
82                     3.59 ms
83                     3.50 ms
84                     5.43 ms
85                     4.36 ms
86                     3.28 ms
87                     3.22 ms
88                     3.14 ms
89                     5.06 ms
90                     7.02 ms
91                     3.92 ms
92                     3.85 ms
93                     3.78 ms
94                     4.71 ms
95                     3.75 ms
96                     3.57 ms
97                     6.50 ms
98                     3.44 ms
99                    11.35 ms
100                   10.28 ms
101                   12.18 ms
102                   15.11 ms
103                   12.04 ms
104                   13.97 ms
105                    8.90 ms
106                    3.83 ms
107                    8.75 ms
108                   14.68 ms
109                   13.62 ms
110                   12.54 ms
111                   11.48 ms
112                    8.40 ms
113                   17.33 ms
114                   16.27 ms
115                   20.20 ms
116                   21.10 ms
117                    5.04 ms
118                    4.97 ms
119                    3.88 ms
120                    3.81 ms
121                    3.74 ms
122                    7.66 ms
123                   14.60 ms
124                   12.53 ms
125                    6.45 ms
126                    3.39 ms
127                    9.29 ms
128                    8.23 ms
129                    3.14 ms
130                    4.08 ms
131                    4.00 ms
132                   11.94 ms
133                    8.86 ms
134                    3.78 ms
135                   10.70 ms
136                    9.62 ms
137                    3.55 ms
138                    5.50 ms
139                    4.43 ms
140                    5.34 ms
141                    4.27 ms
142                    3.19 ms
143                    3.13 ms
144                    4.06 ms
145                    4.97 ms
146                    3.90 ms
147                    3.83 ms
148                    3.76 ms
149                    7.68 ms
150                    4.67 ms
151                    3.54 ms
152                    8.46 ms
153                    6.40 ms
154                    3.33 ms
155                    9.24 ms
156                    8.17 ms
157                    3.09 ms
158                    6.03 ms
159                    3.95 ms
160                    3.88 ms
161                    3.80 ms
162                    3.74 ms
163                   10.65 ms
164                   12.58 ms
165                   19.51 ms
166                   22.44 ms
167                   21.36 ms
168                    5.30 ms
169                    4.22 ms
170                    3.15 ms
171                    3.09 ms
172                    4.01 ms
173                    4.93 ms
174                    3.86 ms
175                    5.81 ms
176                    9.73 ms
177                   10.64 ms
178                   10.57 ms
179                   11.50 ms
180                   15.43 ms
181                   22.36 ms
182                   21.30 ms
183                    5.24 ms
184                    5.14 ms
185                    5.07 ms
186                    6.00 ms
187                    3.93 ms
188                    6.86 ms
189                    7.78 ms
190                    3.71 ms
191                    5.63 ms
192                    3.56 ms
193                    3.55 ms
194                    3.41 ms
195                    3.34 ms
196                    5.33 ms
197                    4.19 ms
198                    3.12 ms
199                    4.05 ms
200                    3.98 ms
201                    9.89 ms
202                    8.81 ms
203                    3.74 ms
204                    4.68 ms
205                    3.59 ms
206                    7.52 ms
207                   10.46 ms
208                   12.38 ms
209                    6.32 ms
210                    3.24 ms
211                   10.16 ms
212                    9.10 ms
213                    4.03 ms
214                    5.97 ms
215                    3.88 ms
216                    3.82 ms
217                    3.74 ms
218                    3.67 ms
219                    5.60 ms
220                    4.51 ms
221                    3.44 ms
222                    3.37 ms
223                    3.30 ms
224                    5.22 ms
225                    4.15 ms
226                    6.10 ms
227                    7.01 ms
228                    3.94 ms
229                    9.87 ms
