Label                  Latency
1                     20.79 ms
2                     14.56 ms
3                     15.41 ms
4                     12.35 ms
5                      6.27 ms
6                      4.20 ms
7                      4.20 ms
8                      4.06 ms
9                      3.99 ms
10                     3.93 ms
11                     4.85 ms
12                     3.79 ms
13                     3.71 ms
14                     3.64 ms
15                     8.60 ms
16                     9.49 ms
17                     8.42 ms
18                     8.37 ms
19                     6.32 ms
20                     5.28 ms
21                     5.14 ms
22                     4.08 ms
23                     3.99 ms
24                     3.94 ms
25                     4.85 ms
26                     3.78 ms
27                     3.72 ms
28                     3.64 ms
29                     3.58 ms
30                     4.49 ms
31                     3.43 ms
32                     5.35 ms
33                     6.29 ms
34                     4.20 ms
35                     9.13 ms
36                     9.08 ms
37                     3.99 ms
38                     5.92 ms
39                     4.86 ms
40                     3.78 ms
41                     6.69 ms
42                     3.62 ms
43                     3.56 ms
44                     4.48 ms
45                     3.40 ms
46                     5.34 ms
47                     3.25 ms
48                     8.19 ms
49                    14.11 ms
50                    13.05 ms
51                    12.97 ms
52                    10.91 ms
53                     4.83 ms
54                     6.76 ms
55                     3.70 ms
56                     6.62 ms
57                     3.55 ms
58                     4.47 ms
59                     3.41 ms
60                     3.33 ms
61                     6.25 ms
62                     8.19 ms
63                     4.07 ms
64                     3.97 ms
65                     5.90 ms
66                    10.85 ms
67                     9.76 ms
68                     3.69 ms
69                     3.60 ms
70                     3.53 ms
71                     3.47 ms
72                    10.39 ms
73                     4.33 ms
74                     8.26 ms
75                     4.17 ms
76                    13.10 ms
77                    10.03 ms
78                     3.94 ms
79                     6.88 ms
80                     3.80 ms
81                     4.72 ms
82                     3.67 ms
83                     3.58 ms
84                     3.51 ms
85                     5.43 ms
86                     7.36 ms
87                     8.30 ms
88                     7.22 ms
89                     6.16 ms
90                    10.08 ms
91                     4.02 ms
92                     5.94 ms
93                     6.87 ms
94                     9.79 ms
95                     9.72 ms
96                    11.66 ms
97                     9.58 ms
98                     3.51 ms
99                     3.44 ms
100                    5.36 ms
101                    4.28 ms
102                    3.19 ms
103                    4.12 ms
104                    5.06 ms
105                    3.98 ms
106                    3.92 ms
107                    3.83 ms
108                    3.76 ms
109                    9.69 ms
110                    8.63 ms
111                    6.55 ms
112                   14.49 ms
113                   11.42 ms
114                    4.34 ms
115                   10.27 ms
116                    4.20 ms
117                    9.13 ms
118                   10.06 ms
119                    3.99 ms
120                    6.92 ms
121                    3.84 ms
122                    5.77 ms
123                    9.71 ms
124                    3.64 ms
125                    3.55 ms
126                    3.46 ms
127                    6.38 ms
128                    4.30 ms
129                    4.23 ms
130                    4.15 ms
131                    4.09 ms
132                    9.01 ms
133                    8.95 ms
134                    3.86 ms
135                    3.79 ms
136                    4.72 ms
137                    9.65 ms
138                    8.57 ms
139                    4.50 ms
140                    3.43 ms
141                    4.36 ms
142                    5.30 ms
143                    4.21 ms
144                    4.14 ms
145                    4.08 ms
146                    4.00 ms
147                   11.93 ms
148                   12.85 ms
149                   19.78 ms
150                   16.71 ms
151                    9.62 ms
152                   10.55 ms
153                    8.49 ms
154                    3.41 ms
155                   10.34 ms
156                   11.27 ms
157                    4.20 ms
158                    4.12 ms
159                    7.05 ms
160                    4.98 ms
161                    3.90 ms
162                    8.83 ms
163                    6.77 ms
164                    3.68 ms
165                    4.62 ms
166                    3.56 ms
167                    8.47 ms
168                    6.41 ms
169                    5.33 ms
170                   11.25 ms
171                    9.19 ms
172                    4.10 ms
173                    4.02 ms
174                    4.94 ms
175                    6.85 ms
176                    7.79 ms
177                    6.69 ms
178                    5.61 ms
179                    4.54 ms
180                    3.47 ms
181                    3.39 ms
182                   11.33 ms
183                    5.27 ms
184                    4.18 ms
185                    4.11 ms
186                    4.04 ms
187                    4.97 ms
188                   10.89 ms
189                    8.83 ms
190                    7.77 ms
191                    6.69 ms
192                    5.61 ms
193                    4.53 ms
194                    6.47 ms
195                    9.39 ms
196                    6.32 ms
197                    4.25 ms
198                    4.18 ms
199                    4.10 ms
200                    4.02 ms
201                    5.94 ms
202                    3.87 ms
203                    8.82 ms
204                    7.73 ms
205                    3.65 ms
206                    6.59 ms
207                    4.51 ms
208                    9.44 ms
209                    7.38 ms
210                    9.31 ms
211                    5.24 ms
212                    4.16 ms
213                    4.09 ms
214                    7.03 ms
215                    3.95 ms
216                    9.88 ms
217                    8.82 ms
218                    3.75 ms
219                   11.67 ms
220                   10.59 ms
221                    9.52 ms
222                    8.46 ms
223                    3.38 ms
224                    9.31 ms
225                   10.24 ms
226                    9.17 ms
227                   12.10 ms
228                   19.02 ms
229                   15.96 ms
230                    9.89 ms
231                    4.82 ms
232                    3.74 ms
233                    6.67 ms
234                    5.60 ms
235                    4.51 ms
236                    3.46 ms
237                    3.37 ms
238                    4.30 ms
239                    5.23 ms
240                    8.15 ms
241                    4.09 ms
242                    4.02 ms
243                    3.93 ms
244                   11.88 ms
245                    9.77 ms
246                    3.69 ms
247                    3.61 ms
248                    7.52 ms
249                    9.44 ms
250                   10.33 ms
251                    3.25 ms
252                    6.17 ms
253                    4.07 ms
254                    9.00 ms
255                   10.93 ms
256                   11.85 ms
257                   10.78 ms
258                    9.71 ms
259                    4.66 ms
260                    3.57 ms
261                    3.49 ms
262                    3.42 ms
263                    4.35 ms
264                    3.27 ms
265                    4.20 ms
266                    4.14 ms
267                   10.07 ms
268                    8.98 ms
269                    7.91 ms
270                    8.84 ms
271                    3.76 ms
272                    4.71 ms
273                    3.61 ms
274                    3.55 ms
275                    4.47 ms
276                    3.39 ms
277                    4.33 ms
278                    4.25 ms
279                    4.18 ms
280                    6.11 ms
281                    4.03 ms
282                    9.96 ms
283                    7.90 ms
284                    3.82 ms
285                    9.75 ms
286                    9.67 ms
287                    4.60 ms
288                    3.53 ms
289                    3.46 ms
290                   10.38 ms
291                    9.31 ms
292                    8.24 ms
293                    7.17 ms
294                    4.09 ms
295                    5.03 ms
296                    3.94 ms
297                    6.88 ms
298                    6.83 ms
299                    3.76 ms
300                    4.71 ms
301                    5.60 ms
302                    4.52 ms
303                    8.44 ms
304                    3.37 ms
305                   12.30 ms
306                    8.23 ms
307                    4.15 ms
308                    6.09 ms
309                    4.00 ms
310                    4.93 ms
311                    3.86 ms
312                    3.78 ms
313                    6.74 ms
314                    5.64 ms
315                    3.57 ms
316                    5.51 ms
317                    3.42 ms
318                    5.35 ms
319                    7.28 ms
320                    4.20 ms
321                    9.13 ms
322                    4.06 ms
323                    6.99 ms
324                    3.91 ms
325                    3.84 ms
326                    3.77 ms
327                    5.68 ms
328                    4.62 ms
329                    3.56 ms
330                    5.46 ms
331                    6.39 ms
332                    3.32 ms
333                    4.26 ms
334                    4.18 ms
335                    4.11 ms
336                    6.05 ms
337                    3.96 ms
338                    5.89 ms
339                    3.82 ms
340                    4.75 ms
341                    5.67 ms
342                   10.62 ms
343                    3.55 ms
344                    3.46 ms
345                    3.39 ms
346                    3.33 ms
347                    5.24 ms
348                    4.17 ms
349                    4.09 ms
350                    5.03 ms
351                    4.96 ms
352                    3.87 ms
353                    3.81 ms
354                    3.73 ms
355                    3.67 ms
356                    4.60 ms
357                    5.51 ms
358                    3.46 ms
359                    4.39 ms
360                    4.30 ms
361                    4.24 ms
362                    4.15 ms
363                    4.08 ms
364                    8.01 ms
365                    3.94 ms
366                    3.87 ms
367                    5.80 ms
368                    3.71 ms
369                    3.65 ms
370                    4.57 ms
371                    3.49 ms
372                    4.42 ms
373                    4.35 ms
374                   14.28 ms
375                    9.22 ms
376                    5.14 ms
377                    4.07 ms
378                    3.99 ms
379                    5.94 ms
380                    3.85 ms
381                    3.78 ms
382                    3.70 ms
383                    3.64 ms
384                    5.56 ms
385                    3.50 ms
386                    3.42 ms
387                    4.35 ms
388                   11.29 ms
389                    6.19 ms
390                    4.11 ms
391                   13.05 ms
392                    5.98 ms
393                    3.89 ms
394                   13.83 ms
395                    7.76 ms
396                    3.68 ms
397                    8.62 ms
398                    9.54 ms
399                   10.46 ms
400                    7.40 ms
401                    8.30 ms
402                    5.22 ms
403                    4.15 ms
404                    4.09 ms
405                    4.00 ms
406                    4.92 ms
407                    4.84 ms
408                    8.78 ms
409                    5.71 ms
410                    6.63 ms
411                   10.57 ms
412                    4.49 ms
413                    3.42 ms
414                   10.35 ms
415                    6.27 ms
416                    4.19 ms
417                    4.13 ms
418                    4.04 ms
419                    4.97 ms
420                    5.91 ms
421                    3.83 ms
422                    4.77 ms
423                   10.69 ms
424                   11.62 ms
425                    8.53 ms
426                    9.47 ms
427                    3.40 ms
428                    3.32 ms
429                    6.24 ms
430                    5.18 ms
431                   10.11 ms
432                    4.02 ms
433                    3.95 ms
434                    3.88 ms
435                    4.82 ms
436                    5.73 ms
437                    8.66 ms
438                   12.59 ms
439                   16.52 ms
440                   19.47 ms
441                   20.37 ms
442                   14.29 ms
443                    6.23 ms
444                    4.15 ms
445                    4.08 ms
446                    3.99 ms
447                    3.92 ms
448                    3.86 ms
449                    7.78 ms
450                    3.71 ms
451                    3.63 ms
452                    3.55 ms
453                    9.49 ms
454                    9.43 ms
455                    3.34 ms
456                    3.26 ms
457                    7.19 ms
458                   11.12 ms
459                   14.05 ms
460                   14.98 ms
461                    6.92 ms
462                    3.83 ms
463                    4.77 ms
464                    8.69 ms
465                    7.63 ms
466                    8.54 ms
467                    3.48 ms
468                    4.41 ms
469                    4.32 ms
470                    3.25 ms
471                    7.17 ms
472                    4.10 ms
473                    9.05 ms
474                    7.97 ms
475                    4.89 ms
476                    5.82 ms
477                    3.74 ms
478                    7.67 ms
479                    7.60 ms
480                    3.52 ms
