Label                  Latency
1                     15.52 ms
2                      7.31 ms
3                      3.23 ms
4                      3.13 ms
5                      4.03 ms
6                      3.94 ms
7                      3.86 ms
8                     10.79 ms
9                      6.72 ms
10                     4.61 ms
11                     5.53 ms
12                     6.43 ms
13                     7.35 ms
14                     6.28 ms
15                     8.20 ms
16                     3.12 ms
17                     3.03 ms
18                     2.97 ms
19                     3.90 ms
20                     3.82 ms
21                     3.75 ms
22                    10.68 ms
23                     9.62 ms
24                     3.54 ms
25                     3.47 ms
26                     3.41 ms
27                     5.33 ms
28                    10.26 ms
29                     3.19 ms
30                     3.12 ms
31                     4.04 ms
32                     5.05 ms
33                     3.90 ms
34                     3.84 ms
35                     3.76 ms
36                     6.69 ms
37                     4.62 ms
38                     4.54 ms
39                     5.48 ms
40                     6.41 ms
41                     3.34 ms
42                     4.27 ms
43                     3.19 ms
44                     3.14 ms
45                     3.05 ms
46                     9.99 ms
47                     4.93 ms
48                     3.84 ms
49                     3.78 ms
50                     5.69 ms
51                     3.58 ms
52                     3.49 ms
53                     3.42 ms
54                     3.33 ms
55                    16.26 ms
56                     9.16 ms
57                     3.06 ms
58                     3.98 ms
59                     3.91 ms
60                     4.83 ms
61                     5.74 ms
62                     3.68 ms
63                     4.61 ms
64                     3.53 ms
65                     4.46 ms
66                     3.38 ms
67                     3.32 ms
68                     3.23 ms
69                     5.16 ms
70                     9.09 ms
71                    14.02 ms
72                    11.95 ms
73                     7.90 ms
74                     9.82 ms
75                     6.74 ms
76                     7.67 ms
77                     3.60 ms
78                     5.55 ms
79                     3.46 ms
80                     9.40 ms
81                     7.43 ms
82                     4.27 ms
83                     5.19 ms
84                     4.11 ms
85                    12.05 ms
86                     8.98 ms
87                    19.93 ms
88                    15.84 ms
89                     8.72 ms
90                     3.68 ms
91                     6.60 ms
92                     3.53 ms
93                     4.42 ms
94                     4.34 ms
95                     6.26 ms
96                     6.12 ms
97                     3.05 ms
98                     3.96 ms
99                     3.87 ms
100                    3.78 ms
101                   11.67 ms
102                   14.59 ms
103                   18.51 ms
104                   17.42 ms
105                   11.35 ms
106                    5.26 ms
107                    4.10 ms
108                    3.02 ms
109                    3.93 ms
110                    3.85 ms
111                   15.78 ms
112                    9.69 ms
113                    3.61 ms
114                    3.54 ms
115                    3.46 ms
116                    4.40 ms
117                    3.32 ms
118                   10.27 ms
119                   10.18 ms
120                   13.11 ms
121                   14.05 ms
122                    8.99 ms
123                    3.90 ms
124                    5.84 ms
125                    4.76 ms
126                    8.69 ms
127                    7.61 ms
128                   11.55 ms
129                    8.49 ms
130                    9.40 ms
131                    6.35 ms
132                   12.26 ms
133                   16.19 ms
134                   15.13 ms
135                    9.06 ms
136                    7.99 ms
137                    6.91 ms
138                    3.86 ms
139                    4.78 ms
140                    3.70 ms
141                    3.63 ms
142                    3.56 ms
143                    3.49 ms
144                    4.43 ms
145                    7.36 ms
146                    3.30 ms
147                    3.21 ms
148                    3.14 ms
149                    4.09 ms
150                    6.02 ms
151                    3.94 ms
152                   13.86 ms
153                   15.81 ms
154                   19.72 ms
155                   17.67 ms
156                   11.58 ms
157                   13.53 ms
158                    9.46 ms
159                    3.37 ms
160                    3.30 ms
161                    3.24 ms
162                   12.17 ms
163                    9.11 ms
164                    9.03 ms
165                   11.96 ms
166                   10.90 ms
167                    8.81 ms
168                   12.74 ms
169                   12.67 ms
170                    9.63 ms
171                   17.53 ms
172                   15.46 ms
173                    8.50 ms
174                    3.32 ms
175                    4.25 ms
176                    3.18 ms
177                   10.11 ms
178                   13.04 ms
179                   13.99 ms
180                   15.91 ms
181                   16.83 ms
182                   13.78 ms
183                   13.71 ms
184                   11.63 ms
185                    7.56 ms
186                    9.49 ms
187                    3.41 ms
188                    3.36 ms
189                    7.28 ms
190                    7.21 ms
191                   11.14 ms
192                   19.06 ms
193                   20.02 ms
194                   28.93 ms
195                   12.87 ms
196                   10.79 ms
197                   14.72 ms
198                   23.64 ms
199                   22.58 ms
200                    6.52 ms
201                   10.44 ms
202                   12.36 ms
203                   13.29 ms
204                   15.22 ms
205                   14.16 ms
206                   13.08 ms
207                   13.02 ms
208                    5.95 ms
209                    3.87 ms
210                    3.82 ms
211                    3.73 ms
212                    4.68 ms
213                    5.59 ms
214                    6.52 ms
215                    3.47 ms
216                    3.39 ms
217                    3.31 ms
218                    5.24 ms
219                    4.16 ms
220                    3.10 ms
221                    3.02 ms
222                    3.95 ms
223                    4.89 ms
224                    3.81 ms
225                    3.74 ms
226                    3.67 ms
227                    4.60 ms
228                    4.54 ms
229                    3.46 ms
230                    8.40 ms
231                    8.34 ms
232                   17.25 ms
233                   14.18 ms
234                    8.11 ms
235                    9.04 ms
236                    6.97 ms
237                    9.92 ms
238                    3.84 ms
239                    3.76 ms
240                    3.71 ms
241                   10.61 ms
242                    9.56 ms
243                    3.48 ms
244                    7.42 ms
245                    3.35 ms
246                    5.26 ms
247                    4.19 ms
248                    9.13 ms
249                   12.06 ms
250                   10.99 ms
251                    6.93 ms
252                    8.86 ms
253                    3.78 ms
254                    4.72 ms
255                    5.63 ms
256                    4.58 ms
257                    3.49 ms
258                    3.44 ms
259                    3.35 ms
260                    3.30 ms
261                    4.23 ms
262                    6.16 ms
263                    3.09 ms
264                    4.02 ms
265                    3.93 ms
266                    3.87 ms
267                    3.78 ms
268                    3.70 ms
269                   15.62 ms
270                   12.55 ms
271                   17.44 ms
272                   22.37 ms
273                   27.29 ms
274                   11.22 ms
275                   14.13 ms
276                   18.05 ms
277                   16.99 ms
278                   10.92 ms
279                    4.84 ms
280                    3.77 ms
281                    3.71 ms
282                    3.62 ms
283                    5.55 ms
284                    4.48 ms
285                    3.41 ms
286                    3.34 ms
287                    3.27 ms
288                    5.20 ms
289                    4.12 ms
290                    5.05 ms
291                    3.99 ms
292                    4.92 ms
293                    3.84 ms
294                    3.77 ms
295                    3.70 ms
296                    4.63 ms
297                    5.56 ms
298                    3.49 ms
299                    3.42 ms
300                    3.36 ms
301                    4.29 ms
302                    5.20 ms
303                    4.13 ms
304                    5.07 ms
305                    6.99 ms
306                    6.93 ms
307                    4.84 ms
308                    3.78 ms
309                   10.73 ms
310                    7.65 ms
311                    3.56 ms
312                   11.49 ms
313                   12.43 ms
314                   12.36 ms
315                    6.30 ms
316                    3.22 ms
317                    4.15 ms
318                    3.08 ms
319                    3.02 ms
320                    5.95 ms
321                    3.87 ms
322                    7.80 ms
323                    7.73 ms
324                    3.67 ms
325                    3.59 ms
326                    3.52 ms
327                    3.44 ms
328                    3.39 ms
329                    4.31 ms
330                    5.23 ms
331                    4.16 ms
332                    3.09 ms
333                    3.02 ms
334                    5.96 ms
335                    7.90 ms
336                    8.81 ms
337                    3.75 ms
338                    3.67 ms
339                    3.60 ms
340                    4.53 ms
341                    6.47 ms
342                    3.41 ms
343                    6.33 ms
344                    3.25 ms
345                    9.18 ms
346                   10.12 ms
347                   12.05 ms
348                    5.98 ms
349                    4.90 ms
350                    3.85 ms
351                    3.76 ms
352                    3.71 ms
353                   12.62 ms
354                    9.56 ms
355                    3.48 ms
356                    3.41 ms
357                    3.35 ms
358                    5.27 ms
359                    4.20 ms
360                    3.12 ms
361                    3.06 ms
362                    3.98 ms
363                    4.92 ms
364                    3.84 ms
365                    3.78 ms
366                    3.70 ms
367                    3.63 ms
368                    4.57 ms
369                    3.49 ms
370                    3.43 ms
371                    3.34 ms
372                   10.28 ms
373                    4.21 ms
374                    3.12 ms
375                    3.06 ms
376                    3.98 ms
377                    9.92 ms
378                    3.85 ms
379                    3.77 ms
380                    8.70 ms
381                    9.63 ms
382                    9.57 ms
383                    4.50 ms
384                    4.42 ms
385                    8.35 ms
386                    7.29 ms
387                   12.21 ms
388                   13.14 ms
389                   13.07 ms
390                   11.01 ms
391                    5.94 ms
392                    3.86 ms
393                    3.80 ms
394                    3.72 ms
395                    6.66 ms
396                    6.59 ms
397                    8.51 ms
398                    4.45 ms
399                   12.38 ms
400                   11.31 ms
401                    4.22 ms
402                    3.15 ms
403                    3.08 ms
404                    3.01 ms
405                    3.94 ms
406                    6.87 ms
407                    7.80 ms
408                    9.75 ms
409                    5.67 ms
410                   10.60 ms
411                    3.53 ms
412                    3.45 ms
413                    3.39 ms
414                    5.32 ms
415                    4.24 ms
416                    5.18 ms
417                    7.10 ms
418                    6.02 ms
419                   11.96 ms
420                    9.89 ms
421                    3.81 ms
422                    6.75 ms
423                    3.67 ms
424                   11.60 ms
425                    9.53 ms
426                    3.46 ms
427                    3.39 ms
428                    4.32 ms
429                    4.26 ms
430                    3.19 ms
431                    8.12 ms
432                    9.04 ms
433                    9.98 ms
434                    3.91 ms
435                    3.83 ms
436                    3.76 ms
437                    5.69 ms
438                    3.61 ms
439                    4.54 ms
440                    3.48 ms
441                    3.41 ms
442                    5.34 ms
443                    6.26 ms
444                    3.20 ms
445                    3.13 ms
446                    4.05 ms
447                    4.98 ms
448                    3.91 ms
449                    9.84 ms
450                    7.79 ms
451                    3.70 ms
452                    7.66 ms
453                    8.56 ms
454                    4.50 ms
455                    6.44 ms
456                    8.38 ms
457                    4.30 ms
458                    3.22 ms
459                    3.16 ms
460                    3.07 ms
461                    6.02 ms
462                    3.95 ms
463                    3.86 ms
464                    7.81 ms
465                    8.72 ms
466                   18.66 ms
467                   13.59 ms
468                    7.52 ms
469                    3.44 ms
470                    5.38 ms
471                    4.30 ms
472                    3.23 ms
473                    3.17 ms
474                    3.08 ms
475                    5.02 ms
476                    3.94 ms
477                    7.89 ms
478                   12.82 ms
479                   13.76 ms
480                   19.66 ms
481                   18.60 ms
482                   20.54 ms
483                   17.47 ms
484                   10.39 ms
485                    4.31 ms
486                    3.26 ms
487                    3.17 ms
488                    3.10 ms
489                    3.05 ms
490                    3.97 ms
491                    3.89 ms
492                    6.82 ms
493                    5.76 ms
494                    3.68 ms
495                    4.62 ms
496                    6.54 ms
497                    7.48 ms
498                    5.40 ms
