Label                  Latency
1                     19.08 ms
2                     20.88 ms
3                     16.80 ms
4                     18.72 ms
5                     15.61 ms
6                     16.54 ms
7                     12.47 ms
8                     13.40 ms
9                     10.33 ms
10                     9.26 ms
11                     9.18 ms
12                     9.11 ms
13                    10.05 ms
14                     9.96 ms
15                    12.91 ms
16                     7.83 ms
17                     6.75 ms
18                     6.68 ms
19                     3.60 ms
20                     5.54 ms
21                     3.47 ms
22                     9.39 ms
23                     8.33 ms
24                     4.25 ms
25                     5.19 ms
26                     3.11 ms
27                     6.04 ms
28                     9.97 ms
29                    13.89 ms
30                    12.82 ms
31                    14.78 ms
32                    11.68 ms
33                    11.61 ms
34                     8.55 ms
35                     3.47 ms
36                     4.39 ms
37                     3.34 ms
38                     3.25 ms
39                    11.20 ms
40                     4.12 ms
41                     5.06 ms
42                     7.98 ms
43                     4.90 ms
44                     4.83 ms
45                     7.77 ms
46                    11.71 ms
47                    15.62 ms
48                    16.56 ms
49                     7.48 ms
50                    10.43 ms
51                     5.35 ms
52                     3.27 ms
53                     4.19 ms
54                     4.13 ms
55                     6.05 ms
56                    10.98 ms
57                     8.91 ms
58                     3.84 ms
59                     3.77 ms
60                     7.70 ms
61                     4.64 ms
62                     3.56 ms
63                     5.50 ms
64                     4.42 ms
65                    10.35 ms
66                     5.29 ms
67                     8.21 ms
68                     6.14 ms
69                    14.06 ms
70                    13.00 ms
71                     3.92 ms
72                     3.85 ms
73                     4.77 ms
74                     4.72 ms
75                     3.64 ms
76                    10.56 ms
77                    10.50 ms
78                     4.43 ms
79                    15.36 ms
80                    10.28 ms
81                     9.23 ms
82                     9.14 ms
83                     4.08 ms
84                     6.01 ms
85                     3.93 ms
86                     3.86 ms
87                     3.79 ms
88                     6.72 ms
89                     9.65 ms
90                    13.58 ms
91                    12.53 ms
92                    12.44 ms
93                    10.37 ms
94                     5.29 ms
95                     7.24 ms
96                     5.16 ms
97                     4.08 ms
98                     4.00 ms
99                     3.93 ms
100                   11.88 ms
101                   11.78 ms
102                   12.71 ms
103                   17.64 ms
104                   19.56 ms
105                   25.52 ms
106                   27.43 ms
107                   11.37 ms
108                   15.30 ms
109                   13.23 ms
110                    8.14 ms
111                    5.08 ms
112                    5.00 ms
113                    8.94 ms
114                    6.87 ms
115                   11.79 ms
116                   10.73 ms
117                    8.66 ms
118                    8.57 ms
119                    3.51 ms
120                    7.44 ms
121                    3.38 ms
122                    3.30 ms
123                    4.22 ms
124                    4.14 ms
125                    6.07 ms
126                   10.01 ms
127                    6.95 ms
128                    3.86 ms
129                    4.80 ms
130                    3.74 ms
131                   11.65 ms
132                    4.58 ms
133                    3.51 ms
134                    5.45 ms
135                    6.37 ms
136                    3.31 ms
137                    4.22 ms
138                    3.17 ms
139                    4.09 ms
140                    3.01 ms
141                    3.94 ms
142                    7.87 ms
143                   11.79 ms
144                   12.73 ms
145                    4.66 ms
146                    3.58 ms
147                    3.53 ms
148                    4.44 ms
149                    9.38 ms
150                    7.31 ms
151                    4.23 ms
152                    4.16 ms
153                    4.09 ms
154                    4.03 ms
155                    8.94 ms
156                   10.88 ms
157                    2.80 ms
158                    3.76 ms
159                    3.66 ms
160                   11.59 ms
161                   12.52 ms
162                   11.47 ms
163                    6.38 ms
164                    3.31 ms
165                    4.24 ms
166                    4.17 ms
167                    5.11 ms
168                    5.03 ms
169                    7.98 ms
170                    3.89 ms
171                    3.82 ms
172                    4.76 ms
173                    5.68 ms
174                    3.61 ms
175                    3.55 ms
176                    4.47 ms
177                    5.40 ms
178                    4.34 ms
179                    4.25 ms
180                    4.19 ms
181                    4.12 ms
182                    8.05 ms
183                    3.97 ms
184                    2.90 ms
185                    7.84 ms
186                    5.76 ms
187                    3.70 ms
188                    3.62 ms
189                    7.56 ms
190                    4.49 ms
191                    7.41 ms
192                    3.33 ms
193                    6.27 ms
194                   10.27 ms
195                   11.12 ms
196                    8.06 ms
197                    3.98 ms
198                    8.91 ms
199                    6.83 ms
200                    3.76 ms
201                    4.70 ms
202                    3.61 ms
203                    3.56 ms
204                    3.47 ms
205                    3.42 ms
206                    3.33 ms
207                    3.26 ms
208                    3.19 ms
209                    9.13 ms
210                    4.05 ms
211                    5.00 ms
212                    2.91 ms
213                    6.84 ms
214                    5.78 ms
215                    3.71 ms
216                    3.62 ms
217                   10.57 ms
218                    4.50 ms
219                    3.41 ms
220                    3.34 ms
221                    4.27 ms
222                    4.20 ms
223                    4.13 ms
224                    6.06 ms
225                    3.99 ms
226                    3.92 ms
227                    5.86 ms
228                    8.78 ms
229                    4.72 ms
230                    3.64 ms
231                    3.59 ms
232                    4.50 ms
233                    3.43 ms
234                    4.36 ms
235                    3.28 ms
236                    4.22 ms
237                    4.14 ms
238                    7.07 ms
239                    5.00 ms
240                    5.95 ms
241                    3.86 ms
242                    3.78 ms
243                    3.72 ms
244                    5.65 ms
245                    8.57 ms
246                    4.51 ms
247                    3.43 ms
248                    3.37 ms
249                    4.29 ms
250                    3.22 ms
251                    4.16 ms
252                    4.08 ms
253                    4.00 ms
254                    3.93 ms
255                    3.86 ms
256                    3.80 ms
257                    3.73 ms
258                    3.64 ms
259                    5.59 ms
260                    4.50 ms
261                    4.44 ms
262                    9.36 ms
263                   13.29 ms
264                   14.23 ms
265                    6.17 ms
266                    8.08 ms
267                   12.01 ms
268                    7.94 ms
269                    6.87 ms
270                    8.81 ms
271                    3.73 ms
272                    3.67 ms
273                    3.59 ms
274                    9.52 ms
275                    7.45 ms
276                    3.38 ms
277                    4.31 ms
278                    4.24 ms
279                    4.23 ms
280                    5.10 ms
281                    4.02 ms
282                    3.95 ms
283                    2.88 ms
284                    3.82 ms
285                    3.74 ms
286                   11.68 ms
287                    3.62 ms
288                    9.54 ms
289                    3.47 ms
290                    3.39 ms
291                    4.32 ms
292                    4.25 ms
293                    4.18 ms
294                    4.11 ms
295                    4.06 ms
296                    3.97 ms
297                    3.90 ms
298                    5.83 ms
299                    3.76 ms
300                    6.70 ms
301                    3.60 ms
302                    4.54 ms
303                    3.46 ms
304                    3.40 ms
305                    4.31 ms
306                    9.25 ms
307                    4.18 ms
308                    4.10 ms
309                    9.04 ms
310                    3.96 ms
311                    2.89 ms
312                    4.81 ms
313                    5.74 ms
314                   11.66 ms
315                    3.60 ms
316                    4.51 ms
317                    5.44 ms
318                    4.38 ms
319                    3.30 ms
320                    5.24 ms
321                    4.21 ms
322                    8.08 ms
323                    7.03 ms
324                    6.95 ms
325                    3.87 ms
326                    5.80 ms
327                    3.74 ms
328                    3.65 ms
329                    6.60 ms
330                    4.52 ms
331                    6.45 ms
332                    3.38 ms
333                    9.30 ms
334                   11.24 ms
335                   13.17 ms
336                    6.09 ms
337                    4.02 ms
338                    4.95 ms
339                    2.89 ms
340                    4.82 ms
341                    9.73 ms
342                    9.69 ms
343                    3.61 ms
344                    6.54 ms
345                    3.47 ms
346                    6.39 ms
347                    3.31 ms
348                    4.24 ms
349                    4.17 ms
350                    4.11 ms
351                   10.04 ms
352                   15.96 ms
353                   17.90 ms
354                   20.82 ms
355                   25.75 ms
356                    9.69 ms
357                   10.63 ms
358                   11.54 ms
359                    6.46 ms
360                    7.42 ms
361                    3.33 ms
362                    4.25 ms
363                    9.20 ms
364                    6.11 ms
365                    4.04 ms
366                    3.96 ms
367                    2.90 ms
368                    4.83 ms
369                    3.77 ms
370                    3.68 ms
371                    5.62 ms
372                    4.53 ms
373                    3.46 ms
374                   15.39 ms
375                    8.32 ms
376                    3.25 ms
377                    7.18 ms
378                    4.11 ms
379                    4.04 ms
380                    6.96 ms
381                    4.90 ms
382                    3.82 ms
383                    3.76 ms
384                    4.67 ms
385                   11.60 ms
386                   11.53 ms
387                    5.46 ms
388                    9.40 ms
389                    3.34 ms
390                    3.25 ms
391                    4.19 ms
392                    3.13 ms
393                    4.04 ms
394                    3.97 ms
395                    3.90 ms
396                    3.83 ms
397                    7.77 ms
398                    3.69 ms
399                    3.62 ms
400                    4.54 ms
401                    3.47 ms
402                    6.39 ms
403                    6.32 ms
404                    3.24 ms
405                    4.17 ms
406                    5.10 ms
407                    4.03 ms
408                    5.98 ms
409                    3.89 ms
410                    8.83 ms
411                    3.75 ms
412                    3.68 ms
413                    3.62 ms
414                    6.54 ms
415                    8.48 ms
416                    3.40 ms
417                    6.33 ms
418                    3.27 ms
419                    4.19 ms
420                    5.12 ms
421                    4.05 ms
422                    2.97 ms
423                    4.92 ms
424                    3.84 ms
425                    7.77 ms
426                    6.69 ms
427                    3.62 ms
428                    4.54 ms
429                    5.47 ms
430                    7.42 ms
431                    3.33 ms
432                    4.26 ms
433                    4.19 ms
434                    4.13 ms
435                   12.05 ms
436                   15.99 ms
437                   11.90 ms
438                   13.82 ms
439                    9.76 ms
440                    3.68 ms
441                    6.62 ms
442                    4.55 ms
443                    5.48 ms
444                    7.39 ms
445                    7.34 ms
446                   15.28 ms
447                   14.20 ms
448                    5.13 ms
449                    5.05 ms
450                    3.97 ms
451                    9.93 ms
452                   10.84 ms
453                    9.75 ms
454                    8.67 ms
455                   10.60 ms
456                    7.54 ms
457                    3.46 ms
458                    4.40 ms
459                    3.33 ms
460                    3.25 ms
461                    7.18 ms
462                    4.12 ms
463                   12.04 ms
464                   11.97 ms
465                   16.89 ms
466                   15.83 ms
467                   10.75 ms
468                    7.69 ms
469                    7.62 ms
470                    5.55 ms
471                    6.47 ms
472                    3.41 ms
473                    4.32 ms
474                    3.25 ms
475                    4.20 ms
476                    4.11 ms
477                    4.04 ms
478                    2.97 ms
479                    3.90 ms
480                    3.83 ms
481                    5.76 ms
482                    3.69 ms
483                    6.62 ms
484                   13.53 ms
485                   14.48 ms
486                   17.40 ms
487                    8.33 ms
488                    3.27 ms
489                    6.19 ms
490                    3.14 ms
491                    7.05 ms
492                    3.96 ms
493                    3.89 ms
494                   11.82 ms
495                   13.76 ms
496                    5.68 ms
497                    3.62 ms
498                    4.54 ms
499                    4.47 ms
500                    3.40 ms
501                    3.32 ms
502                    4.23 ms
503                    6.16 ms
504                    9.10 ms
505                    8.98 ms
506                    5.90 ms
507                    2.82 ms
508                    8.75 ms
509                    4.67 ms
510                    3.59 ms
511                    3.54 ms
512                    3.43 ms
513                    8.39 ms
514                    6.29 ms
515                    3.22 ms
516                    4.15 ms
517                    3.06 ms
518                    7.99 ms
519                    3.92 ms
520                    3.85 ms
521                    3.78 ms
522                    3.71 ms
523                    3.64 ms
524                    3.58 ms
525                    3.49 ms
526                    9.44 ms
527                    5.34 ms
528                    3.29 ms
529                    4.20 ms
530                    3.13 ms
531                    4.08 ms
532                    6.01 ms
533                    3.92 ms
534                    3.85 ms
535                    4.78 ms
536                    3.74 ms
537                    7.65 ms
538                    3.56 ms
539                    3.51 ms
540                    4.42 ms
541                    3.36 ms
542                    7.29 ms
543                    3.20 ms
544                    3.15 ms
545                    4.06 ms
546                    8.01 ms
547                    3.91 ms
548                    5.82 ms
549                    3.75 ms
550                    3.71 ms
551                    3.62 ms
552                    3.53 ms
553                    9.47 ms
554                    4.40 ms
555                    3.32 ms
556                    3.27 ms
557                    4.18 ms
558                    4.11 ms
559                    4.06 ms
560                    3.97 ms
561                    3.90 ms
562                    3.83 ms
563                    9.76 ms
564                    3.69 ms
565                   11.60 ms
566                    8.53 ms
567                    7.46 ms
568                    9.40 ms
569                    3.33 ms
570                    4.26 ms
571                    4.18 ms
572                   12.12 ms
573                    6.04 ms
574                    2.99 ms
575                    9.91 ms
576                    7.82 ms
577                    6.75 ms
578                    5.68 ms
579                    3.61 ms
580                    3.52 ms
581                    9.45 ms
582                    4.38 ms
583                   11.31 ms
584                    9.25 ms
585                    7.18 ms
586                    8.11 ms
587                    5.04 ms
588                    7.98 ms
589                    8.90 ms
590                    7.81 ms
591                    8.75 ms
592                    3.68 ms
593                    7.61 ms
594                    3.53 ms
595                    3.46 ms
596                    4.39 ms
597                    8.33 ms
598                    7.26 ms
599                    4.18 ms
600                    4.11 ms
601                    4.02 ms
602                    6.95 ms
603                    3.89 ms
604                    3.84 ms
605                    4.75 ms
606                    6.69 ms
607                    3.62 ms
608                    7.54 ms
609                    8.46 ms
610                    5.39 ms
611                    8.32 ms
612                    3.23 ms
613                    4.16 ms
614                    3.09 ms
615                    5.03 ms
616                    4.95 ms
617                   12.90 ms
618                   12.82 ms
619                    8.74 ms
620                    3.68 ms
621                    5.60 ms
622                    3.52 ms
623                    3.46 ms
624                    4.38 ms
625                    3.31 ms
626                    4.23 ms
627                    6.18 ms
628                    4.09 ms
629                   10.03 ms
630                    9.94 ms
631                    3.89 ms
632                    3.80 ms
633                    4.74 ms
634                    3.68 ms
635                   12.60 ms
636                    4.51 ms
637                    9.45 ms
638                    4.38 ms
639                    6.30 ms
640                    4.23 ms
641                   11.16 ms
642                   10.09 ms
643                    4.02 ms
644                    2.97 ms
645                    8.88 ms
646                    8.81 ms
647                    6.74 ms
648                    3.67 ms
649                    9.59 ms
650                    8.53 ms
651                    7.45 ms
652                    6.38 ms
653                    8.30 ms
654                    4.24 ms
655                    4.16 ms
656                    4.09 ms
657                    4.04 ms
658                    2.97 ms
659                   11.88 ms
660                   10.83 ms
661                   12.74 ms
662                    5.67 ms
663                   10.59 ms
664                    4.52 ms
665                    3.45 ms
666                    4.40 ms
667                    5.31 ms
668                    4.24 ms
669                    3.17 ms
670                    3.10 ms
671                    4.04 ms
672                    3.95 ms
673                   11.89 ms
