Label                  Latency
1                     12.68 ms
2                     13.58 ms
3                     10.50 ms
4                      4.43 ms
5                      6.37 ms
6                      4.30 ms
7                      8.23 ms
8                      3.14 ms
9                      3.08 ms
10                     4.00 ms
11                     3.92 ms
12                     5.85 ms
13                     5.77 ms
14                     3.70 ms
15                     3.63 ms
16                     3.56 ms
17                     3.50 ms
18                     3.41 ms
19                     5.35 ms
20                     4.27 ms
21                     3.21 ms
22                     4.13 ms
23                     4.05 ms
24                     2.98 ms
25                     3.91 ms
26                     3.83 ms
27                     3.77 ms
28                     3.69 ms
29                     3.62 ms
30                     3.55 ms
31                     3.47 ms
32                     3.41 ms
33                     3.32 ms
34                     4.24 ms
35                     5.17 ms
36                     4.10 ms
37                     4.02 ms
38                     2.95 ms
39                     3.88 ms
40                     5.87 ms
41                     3.73 ms
42                     3.70 ms
43                     3.60 ms
44                     3.53 ms
45                     3.46 ms
46                     3.39 ms
47                     3.30 ms
48                     4.23 ms
49                     4.17 ms
50                     5.08 ms
51                     3.01 ms
52                     3.94 ms
53                     3.86 ms
54                     3.79 ms
55                     4.72 ms
56                     3.64 ms
57                     3.57 ms
58                     3.50 ms
59                     3.44 ms
60                     5.36 ms
61                     3.30 ms
62                     4.23 ms
63                     3.14 ms
64                     3.06 ms
65                     3.99 ms
66                     3.92 ms
67                     7.85 ms
68                     6.78 ms
69                     3.71 ms
70                    10.64 ms
71                     8.58 ms
72                     3.50 ms
73                    12.43 ms
74                    10.36 ms
75                     3.28 ms
76                     4.21 ms
77                     4.14 ms
78                     4.07 ms
79                     3.00 ms
80                     3.92 ms
81                     5.86 ms
82                     3.78 ms
83                     8.71 ms
84                    10.64 ms
85                     3.56 ms
86                     3.49 ms
87                     3.42 ms
88                     3.36 ms
89                     3.27 ms
90                     9.20 ms
91                     5.13 ms
92                     3.06 ms
93                    11.01 ms
94                     9.92 ms
95                    10.85 ms
96                     7.80 ms
97                     3.71 ms
98                     3.64 ms
99                     3.57 ms
100                    4.51 ms
101                    4.41 ms
102                    3.34 ms
103                    3.27 ms
104                    4.20 ms
105                    7.13 ms
106                    5.06 ms
107                    3.99 ms
108                    3.93 ms
109                    3.86 ms
110                    3.78 ms
111                    4.71 ms
112                    3.64 ms
113                    3.57 ms
114                    3.50 ms
115                    3.43 ms
116                    3.38 ms
117                    3.29 ms
118                    8.22 ms
119                    8.17 ms
120                    3.08 ms
121                    4.01 ms
122                    3.94 ms
123                    3.87 ms
124                    4.80 ms
125                    4.74 ms
126                    6.67 ms
127                    6.58 ms
128                    3.62 ms
129                    3.44 ms
130                    3.38 ms
131                    3.31 ms
132                    4.24 ms
133                    8.16 ms
134                    6.10 ms
135                    6.03 ms
136                    2.96 ms
137                    3.89 ms
138                    3.82 ms
139                    3.75 ms
140                    7.69 ms
141                    3.61 ms
142                    4.55 ms
143                    3.48 ms
144                    3.40 ms
145                    3.34 ms
146                    4.26 ms
147                    5.19 ms
148                    4.12 ms
149                    4.05 ms
150                    2.98 ms
151                    3.92 ms
152                    3.85 ms
153                    8.78 ms
154                    4.70 ms
155                    8.63 ms
156                    3.56 ms
157                    3.48 ms
158                    3.41 ms
159                    3.34 ms
160                    4.27 ms
161                    3.22 ms
162                    3.13 ms
163                    4.06 ms
164                    2.99 ms
165                    4.93 ms
166                    3.86 ms
167                    6.80 ms
168                    3.72 ms
169                    4.66 ms
170                    3.58 ms
171                    3.52 ms
172                    8.44 ms
173                   10.38 ms
174                    4.31 ms
175                    6.25 ms
176                    3.16 ms
177                    4.09 ms
178                    5.02 ms
179                    3.95 ms
180                    8.89 ms
181                    8.81 ms
182                    4.75 ms
183                    3.67 ms
184                    3.62 ms
185                    6.54 ms
186                    3.46 ms
187                    3.41 ms
188                    4.33 ms
189                    3.27 ms
190                    3.19 ms
191                    4.11 ms
192                    3.05 ms
193                    3.98 ms
194                    2.92 ms
195                    4.84 ms
196                    3.77 ms
197                    6.70 ms
198                    8.64 ms
199                    3.57 ms
200                    3.49 ms
201                    3.40 ms
202                    4.33 ms
203                    3.26 ms
204                    3.20 ms
205                    3.12 ms
206                    6.06 ms
207                    3.99 ms
208                    6.91 ms
209                    3.84 ms
210                    3.78 ms
211                    3.70 ms
212                    3.64 ms
213                    3.56 ms
214                    3.49 ms
215                    3.42 ms
216                    4.36 ms
217                    3.30 ms
218                    4.22 ms
219                    3.14 ms
220                    7.07 ms
221                    6.00 ms
222                    2.94 ms
223                    3.88 ms
224                    3.79 ms
225                    3.73 ms
226                    4.67 ms
227                    3.58 ms
228                    4.54 ms
229                    7.44 ms
230                    6.37 ms
231                    5.31 ms
232                    3.24 ms
233                    6.18 ms
234                   12.10 ms
235                   11.02 ms
236                    4.96 ms
237                    3.88 ms
238                    3.80 ms
239                    3.73 ms
240                    3.67 ms
241                    5.59 ms
242                    3.52 ms
243                    8.47 ms
244                   10.39 ms
245                   13.32 ms
246                    4.25 ms
247                    5.17 ms
248                    3.10 ms
249                    4.03 ms
250                    2.98 ms
251                    6.91 ms
252                    3.82 ms
253                    5.77 ms
254                    9.70 ms
255                   10.61 ms
256                    6.56 ms
257                    3.48 ms
258                    6.40 ms
259                    5.34 ms
260                    7.27 ms
261                    5.20 ms
262                    8.13 ms
263                    4.06 ms
264                   10.99 ms
265                   11.93 ms
266                    3.85 ms
267                    3.78 ms
268                    3.71 ms
269                    3.65 ms
270                    3.57 ms
271                    3.50 ms
272                    3.42 ms
273                    4.36 ms
274                    5.29 ms
275                    4.23 ms
276                    5.16 ms
277                   10.08 ms
278                   15.01 ms
279                   16.95 ms
280                    7.87 ms
281                    3.80 ms
282                    3.73 ms
283                    8.67 ms
284                    6.59 ms
285                    7.53 ms
286                    3.45 ms
287                    4.39 ms
288                    4.31 ms
289                    6.26 ms
290                    5.17 ms
291                    4.10 ms
292                    5.03 ms
293                    3.95 ms
294                    8.90 ms
295                   10.82 ms
296                   18.75 ms
297                   16.68 ms
298                    8.60 ms
299                    4.53 ms
300                    3.46 ms
301                    4.38 ms
302                    4.30 ms
303                    5.23 ms
304                    4.17 ms
305                    5.11 ms
306                    3.02 ms
307                    8.95 ms
308                    9.89 ms
309                    3.81 ms
310                    3.74 ms
311                    3.68 ms
312                    3.60 ms
313                    8.53 ms
314                    4.47 ms
