Label                  Latency
1                     14.44 ms
2                      9.34 ms
3                      4.23 ms
4                      3.15 ms
5                      7.06 ms
6                      2.98 ms
7                      2.91 ms
8                      3.85 ms
9                      7.77 ms
10                     4.69 ms
11                     6.63 ms
12                     9.55 ms
13                     3.47 ms
14                     7.41 ms
15                     4.33 ms
16                    10.26 ms
17                     9.20 ms
18                    10.11 ms
19                     5.05 ms
20                     3.96 ms
21                     8.91 ms
22                     5.82 ms
23                     3.75 ms
24                     9.69 ms
25                     8.60 ms
26                     5.56 ms
27                     9.45 ms
28                    16.39 ms
29                    15.33 ms
30                     8.23 ms
31                     4.17 ms
32                     7.10 ms
33                     3.01 ms
34                     3.94 ms
35                     2.86 ms
36                     3.79 ms
37                     5.74 ms
38                     3.64 ms
39                     3.57 ms
40                     3.51 ms
41                     3.42 ms
42                    11.35 ms
43                    10.29 ms
44                     3.21 ms
45                     5.16 ms
46                     3.07 ms
47                     4.98 ms
48                     2.91 ms
49                     3.84 ms
50                     3.77 ms
51                     3.71 ms
52                     4.63 ms
53                     3.54 ms
54                     8.48 ms
55                     8.41 ms
56                    16.35 ms
57                    13.25 ms
58                     9.18 ms
59                     4.11 ms
60                     6.05 ms
61                     2.96 ms
62                     3.90 ms
63                     3.81 ms
64                     4.73 ms
65                     7.66 ms
66                     4.58 ms
67                     3.53 ms
68                     3.43 ms
69                     8.36 ms
70                     4.28 ms
71                     4.21 ms
72                     8.14 ms
73                     6.07 ms
74                     3.00 ms
75                     4.94 ms
76                     3.85 ms
77                     3.78 ms
78                     3.70 ms
79                     4.63 ms
80                     7.56 ms
81                    11.49 ms
82                    17.42 ms
83                    19.36 ms
84                    25.27 ms
85                     9.21 ms
86                    11.13 ms
87                    12.05 ms
88                     6.00 ms
89                     3.91 ms
90                    10.83 ms
91                     8.76 ms
92                     6.69 ms
93                     5.62 ms
94                     3.54 ms
95                    11.49 ms
96                    10.41 ms
97                    12.34 ms
98                     5.27 ms
99                     3.18 ms
100                    3.13 ms
101                    4.01 ms
102                   10.95 ms
103                    5.86 ms
104                    9.79 ms
105                    3.73 ms
106                    3.64 ms
107                    3.58 ms
108                    3.50 ms
109                    4.42 ms
110                    3.35 ms
111                    7.29 ms
112                    3.20 ms
113                    3.13 ms
114                    4.07 ms
115                    3.98 ms
116                    3.92 ms
117                    2.85 ms
118                    3.78 ms
119                    3.68 ms
120                    3.62 ms
121                   10.55 ms
122                   12.48 ms
123                   18.39 ms
124                   23.34 ms
125                   24.27 ms
126                    8.21 ms
