Label                  Latency
1                     12.97 ms
2                      6.79 ms
3                      8.71 ms
4                      3.61 ms
5                     10.54 ms
6                      3.48 ms
7                     11.36 ms
8                      9.29 ms
9                      3.21 ms
10                     4.14 ms
11                     4.07 ms
12                     7.98 ms
13                     2.92 ms
14                     3.84 ms
15                     3.76 ms
16                     3.66 ms
17                     3.61 ms
18                     4.51 ms
19                     5.43 ms
20                     8.32 ms
21                     4.23 ms
22                    11.17 ms
23                    10.07 ms
24                     2.97 ms
25                     3.88 ms
26                     3.82 ms
27                     9.72 ms
28                    11.64 ms
29                    18.58 ms
30                    17.49 ms
31                     9.41 ms
32                     6.33 ms
33                     7.23 ms
34                     7.14 ms
35                     9.06 ms
36                    14.97 ms
37                    13.89 ms
38                    10.84 ms
39                    14.75 ms
40                    21.68 ms
41                    19.61 ms
42                    13.51 ms
43                     6.44 ms
44                     4.38 ms
45                     4.28 ms
46                     4.21 ms
47                     6.17 ms
48                     7.08 ms
49                     4.00 ms
50                    12.92 ms
51                     8.85 ms
52                     9.76 ms
53                     6.70 ms
54                     7.61 ms
55                     4.54 ms
56                     8.46 ms
57                     3.38 ms
58                     6.31 ms
59                     3.24 ms
60                    11.15 ms
61                     9.09 ms
62                     4.03 ms
63                    16.93 ms
64                     9.84 ms
65                     4.75 ms
66                    10.69 ms
67                    11.60 ms
68                     9.53 ms
69                    12.46 ms
70                    21.35 ms
71                    18.25 ms
72                    11.17 ms
73                     7.10 ms
74                    14.01 ms
75                    18.95 ms
76                    23.86 ms
77                    26.80 ms
78                    10.74 ms
79                     7.63 ms
80                     9.56 ms
81                     6.51 ms
82                     3.41 ms
83                     6.35 ms
84                     8.28 ms
85                     5.19 ms
86                     6.15 ms
87                     5.07 ms
88                    10.01 ms
89                    12.86 ms
90                    16.78 ms
91                    15.71 ms
92                    14.63 ms
93                    16.56 ms
94                    17.48 ms
95                    16.40 ms
96                    15.35 ms
97                     9.25 ms
98                     3.16 ms
99                     7.10 ms
100                    4.02 ms
101                    9.90 ms
102                    8.84 ms
103                    7.75 ms
104                    9.68 ms
105                   10.61 ms
106                    7.55 ms
107                    8.45 ms
108                    5.34 ms
109                    8.28 ms
110                   10.20 ms
111                    5.16 ms
112                    4.08 ms
113                    4.00 ms
114                    4.91 ms
115                    7.86 ms
116                    3.78 ms
117                    3.69 ms
118                    6.61 ms
119                    4.55 ms
120                    4.46 ms
121                    3.41 ms
122                    3.32 ms
123                    4.25 ms
124                    5.17 ms
125                    4.07 ms
126                    3.99 ms
127                    3.92 ms
128                    3.84 ms
129                    4.79 ms
130                    3.70 ms
131                    3.63 ms
132                    3.54 ms
133                    3.48 ms
134                   10.39 ms
135                    8.31 ms
136                    9.22 ms
137                    6.15 ms
138                   10.09 ms
139                    4.01 ms
140                    4.92 ms
141                    3.85 ms
142                    5.78 ms
143                    4.69 ms
144                    9.63 ms
145                    9.55 ms
146                   16.46 ms
147                   15.34 ms
148                    8.26 ms
149                    5.19 ms
150                    6.15 ms
151                    3.08 ms
152                    5.02 ms
153                    4.92 ms
154                    8.85 ms
155                    8.78 ms
156                   13.70 ms
157                   14.63 ms
158                    8.56 ms
159                    8.47 ms
160                    6.37 ms
161                    4.27 ms
162                    6.18 ms
163                    8.10 ms
164                    4.01 ms
165                    5.94 ms
166                    2.85 ms
167                    3.80 ms
168                    3.73 ms
169                    3.63 ms
170                    7.56 ms
171                   13.48 ms
172                   13.38 ms
173                   12.31 ms
174                   11.23 ms
175                   12.15 ms
176                    9.08 ms
177                    7.00 ms
178                    7.93 ms
179                    3.85 ms
180                   11.76 ms
181                   13.69 ms
182                   18.62 ms
183                   15.54 ms
184                   13.48 ms
185                   14.39 ms
186                    7.30 ms
187                    9.23 ms
188                    9.16 ms
189                   10.10 ms
190                    4.02 ms
191                    2.88 ms
192                    3.82 ms
193                    4.73 ms
194                    9.67 ms
195                    4.58 ms
196                    8.52 ms
197                    3.42 ms
198                   11.35 ms
199                    8.23 ms
200                   10.14 ms
201                    6.03 ms
202                    2.95 ms
203                   12.89 ms
204                    8.78 ms
205                    3.71 ms
206                    5.60 ms
207                    3.53 ms
208                    4.47 ms
209                    3.35 ms
210                    9.27 ms
211                    7.21 ms
212                    3.14 ms
213                    4.07 ms
214                    2.98 ms
215                    3.90 ms
216                    5.82 ms
217                    5.73 ms
218                    3.63 ms
219                    3.54 ms
220                    3.47 ms
221                    4.37 ms
222                    4.29 ms
223                    7.21 ms
224                    8.14 ms
225                    4.06 ms
226                   10.99 ms
227                    9.91 ms
228                    3.82 ms
229                    3.75 ms
230                    3.68 ms
231                    5.59 ms
232                    3.53 ms
233                    3.43 ms
234                    4.35 ms
235                   10.26 ms
236                    4.17 ms
237                    3.07 ms
238                   10.00 ms
239                    4.90 ms
240                    2.84 ms
241                    3.76 ms
242                    3.66 ms
243                    7.56 ms
244                    6.49 ms
245                    4.40 ms
246                    4.32 ms
247                    3.25 ms
248                    4.18 ms
249                    4.14 ms
250                   12.07 ms
251                   14.01 ms
252                   11.92 ms
253                    9.85 ms
254                    9.78 ms
255                    7.70 ms
256                    3.62 ms
257                    6.57 ms
258                    3.49 ms
259                    3.40 ms
260                    3.32 ms
261                    4.26 ms
262                    9.17 ms
263                    9.14 ms
264                    4.09 ms
265                    2.99 ms
266                    8.92 ms
267                    6.84 ms
268                   10.77 ms
269                    3.72 ms
270                    3.62 ms
271                    3.56 ms
272                    5.48 ms
273                    3.39 ms
274                    3.34 ms
275                    4.25 ms
276                    4.17 ms
277                    4.08 ms
278                    4.01 ms
279                    2.93 ms
280                    8.86 ms
281                   10.78 ms
282                    9.70 ms
283                    9.64 ms
284                    3.55 ms
285                    3.46 ms
286                    3.36 ms
287                    4.28 ms
288                    3.21 ms
289                    9.15 ms
290                    6.08 ms
291                    3.00 ms
292                   11.90 ms
293                    9.81 ms
294                   17.73 ms
295                   20.62 ms
296                   19.55 ms
297                   15.47 ms
298                   19.39 ms
299                   28.30 ms
300                   12.24 ms
301                   13.15 ms
302                   18.07 ms
303                   16.99 ms
304                   17.90 ms
305                   14.83 ms
306                    8.72 ms
307                    5.65 ms
308                    5.56 ms
309                    6.50 ms
310                   11.41 ms
311                   13.34 ms
312                   12.28 ms
313                    8.20 ms
314                   12.16 ms
315                   14.08 ms
316                   10.01 ms
317                   11.95 ms
318                    9.85 ms
319                    9.77 ms
320                    4.70 ms
321                    3.62 ms
322                    3.56 ms
323                   11.48 ms
324                    9.39 ms
325                    3.30 ms
326                    5.25 ms
327                    3.16 ms
328                    5.10 ms
329                    3.00 ms
330                    3.92 ms
331                    3.85 ms
332                   11.79 ms
333                    5.70 ms
334                    9.64 ms
335                    3.56 ms
336                    4.49 ms
337                    3.40 ms
338                   14.31 ms
339                    8.23 ms
340                    8.16 ms
341                    6.08 ms
342                    6.97 ms
343                    2.88 ms
344                    2.79 ms
345                    3.73 ms
346                    5.64 ms
347                    5.57 ms
348                    8.48 ms
349                    8.42 ms
350                    3.34 ms
351                    6.26 ms
352                    4.18 ms
353                   11.16 ms
354                    7.09 ms
355                    8.00 ms
356                    5.93 ms
357                    3.84 ms
358                    5.76 ms
359                   11.69 ms
360                   10.62 ms
361                    5.54 ms
362                    3.43 ms
363                    3.37 ms
364                    9.29 ms
365                   10.22 ms
366                    4.16 ms
367                    4.08 ms
368                    8.00 ms
369                    5.94 ms
370                   10.86 ms
371                    4.77 ms
372                    3.69 ms
373                    3.64 ms
374                    4.53 ms
375                    4.45 ms
376                    3.37 ms
377                    4.29 ms
378                    4.21 ms
379                    6.16 ms
380                    3.07 ms
381                    5.00 ms
382                   11.93 ms
383                   13.84 ms
384                   14.78 ms
385                   11.71 ms
386                   13.63 ms
387                    5.54 ms
388                    8.48 ms
389                    6.40 ms
390                   10.33 ms
391                   12.25 ms
392                   13.16 ms
393                   12.10 ms
394                    4.03 ms
395                    2.91 ms
396                    3.82 ms
397                    5.75 ms
398                    4.67 ms
399                    3.62 ms
400                    3.52 ms
401                    3.43 ms
402                    4.32 ms
403                    4.23 ms
404                    3.15 ms
405                    4.06 ms
406                    3.99 ms
407                    4.92 ms
408                    3.83 ms
409                    7.76 ms
410                    9.70 ms
411                    9.61 ms
412                   10.55 ms
413                    7.45 ms
414                    3.38 ms
415                    7.29 ms
416                    3.23 ms
417                    4.16 ms
418                    3.07 ms
419                    4.00 ms
420                    4.92 ms
421                    6.84 ms
422                    3.78 ms
423                    3.71 ms
424                    3.63 ms
425                    3.54 ms
426                    9.49 ms
427                    4.41 ms
428                    9.33 ms
429                   17.26 ms
430                   15.17 ms
431                   10.09 ms
432                    3.01 ms
433                    3.92 ms
434                    3.82 ms
435                    4.73 ms
436                    3.63 ms
437                    6.53 ms
438                    8.40 ms
439                   15.28 ms
440                   20.19 ms
441                   19.16 ms
442                   11.06 ms
443                   12.97 ms
444                    9.90 ms
445                    3.80 ms
446                    7.72 ms
447                    3.64 ms
448                    5.56 ms
449                    4.47 ms
450                    3.39 ms
451                    3.33 ms
452                    7.26 ms
453                   10.17 ms
454                    9.11 ms
455                    3.01 ms
456                    6.96 ms
457                    2.87 ms
458                    4.80 ms
459                    3.72 ms
460                    7.64 ms
461                    8.58 ms
462                   16.51 ms
463                   16.43 ms
464                   23.34 ms
465                   21.26 ms
466                    5.20 ms
467                    3.14 ms
468                    4.09 ms
469                    9.01 ms
470                    3.92 ms
471                   11.85 ms
472                   10.77 ms
473                    3.68 ms
474                    3.63 ms
475                    6.54 ms
476                    5.50 ms
477                    4.37 ms
478                    7.30 ms
479                    6.22 ms
480                    7.16 ms
481                    8.09 ms
482                   15.02 ms
483                   12.88 ms
484                    6.81 ms
485                    3.72 ms
486                    4.66 ms
487                    3.59 ms
488                    3.52 ms
489                    3.42 ms
490                    3.34 ms
491                    4.27 ms
492                    3.18 ms
493                    4.11 ms
494                    5.03 ms
495                    6.96 ms
496                    4.90 ms
497                    7.83 ms
498                    3.75 ms
499                   12.67 ms
500                   14.59 ms
501                   12.50 ms
502                    6.43 ms
503                    3.37 ms
504                    3.29 ms
505                    4.22 ms
506                   10.14 ms
507                    9.08 ms
508                    9.99 ms
509                    7.92 ms
510                   14.86 ms
511                   17.78 ms
512                   16.70 ms
513                   12.64 ms
514                   19.57 ms
515                   17.49 ms
516                   12.42 ms
517                    8.35 ms
518                   15.27 ms
519                   13.20 ms
520                   10.14 ms
521                   12.07 ms
522                    6.00 ms
523                    2.94 ms
524                    3.87 ms
525                    3.76 ms
526                    3.69 ms
527                    5.63 ms
528                    3.54 ms
529                    4.49 ms
530                    3.39 ms
531                   11.33 ms
532                    5.26 ms
533                    9.20 ms
534                    3.13 ms
535                    4.03 ms
536                   10.98 ms
537                    4.90 ms
538                    2.81 ms
539                    7.74 ms
540                    6.68 ms
541                    7.60 ms
542                    4.53 ms
543                    3.46 ms
544                    7.37 ms
545                    8.32 ms
546                    9.23 ms
547                    7.16 ms
548                    7.08 ms
549                    4.01 ms
550                    5.94 ms
551                    2.87 ms
552                    3.79 ms
553                    3.73 ms
554                    3.64 ms
