Label                  Latency
1                     15.57 ms
2                      9.38 ms
3                      3.31 ms
4                      3.23 ms
5                      3.16 ms
6                      4.09 ms
7                      4.01 ms
8                      3.94 ms
9                      3.87 ms
10                     3.80 ms
11                     4.74 ms
12                     3.66 ms
13                     3.60 ms
14                     3.53 ms
15                     3.46 ms
16                     4.39 ms
17                     3.33 ms
18                     3.25 ms
19                     3.18 ms
20                     4.11 ms
21                     4.04 ms
22                     3.96 ms
23                     3.90 ms
24                     5.82 ms
25                     3.75 ms
26                     3.69 ms
27                     3.61 ms
28                     3.55 ms
29                     5.48 ms
30                     4.40 ms
31                     3.33 ms
32                     3.26 ms
33                     3.19 ms
34                     5.12 ms
35                     4.05 ms
36                     3.98 ms
37                     3.91 ms
38                     3.84 ms
39                     4.81 ms
40                     3.70 ms
41                     3.63 ms
42                     3.55 ms
43                     3.49 ms
44                     4.41 ms
45                     4.34 ms
46                     3.28 ms
47                     3.20 ms
48                     3.13 ms
49                     4.07 ms
50                     3.99 ms
51                     3.93 ms
52                     5.86 ms
53                     3.78 ms
54                     3.72 ms
55                     3.64 ms
56                     3.58 ms
57                     5.51 ms
58                     4.43 ms
59                     3.37 ms
60                     3.29 ms
61                     4.22 ms
62                     5.18 ms
63                     4.07 ms
64                     4.00 ms
65                     3.93 ms
66                     3.86 ms
67                     4.80 ms
68                     3.72 ms
69                     3.65 ms
70                     3.58 ms
71                     3.52 ms
72                     4.45 ms
73                     3.38 ms
74                     3.31 ms
75                     3.23 ms
76                     3.17 ms
77                     4.10 ms
78                     4.03 ms
79                     3.96 ms
80                     5.89 ms
81                     3.81 ms
82                     3.76 ms
83                     3.68 ms
84                     3.61 ms
85                     5.55 ms
86                     4.47 ms
87                     3.40 ms
88                     3.33 ms
89                     3.26 ms
90                     5.19 ms
91                     4.11 ms
92                     4.05 ms
93                     3.98 ms
94                     3.91 ms
95                     4.84 ms
96                     3.77 ms
97                     3.70 ms
98                     3.62 ms
99                     3.56 ms
100                    4.49 ms
101                    3.39 ms
102                    3.33 ms
103                    3.26 ms
104                    3.20 ms
105                    4.12 ms
106                    4.05 ms
107                    3.98 ms
108                    5.92 ms
109                    3.84 ms
110                    3.78 ms
111                    3.70 ms
112                    3.63 ms
113                    5.56 ms
114                    4.49 ms
115                    3.42 ms
116                    3.35 ms
117                    3.28 ms
118                    5.21 ms
119                    4.14 ms
120                    4.07 ms
121                    4.00 ms
122                    3.93 ms
123                    4.87 ms
124                    3.79 ms
125                    3.73 ms
126                    3.66 ms
127                    3.59 ms
128                    4.52 ms
129                    3.45 ms
130                    3.38 ms
131                    3.30 ms
132                    3.24 ms
133                    4.17 ms
134                    4.09 ms
135                    4.03 ms
136                    5.96 ms
137                    3.88 ms
138                    3.82 ms
139                    3.74 ms
140                    3.68 ms
141                    5.61 ms
142                    4.53 ms
143                    3.47 ms
144                    3.39 ms
145                    3.33 ms
146                    5.26 ms
147                    4.18 ms
148                    4.12 ms
149                    4.04 ms
150                    3.97 ms
151                    4.91 ms
152                    3.84 ms
153                    3.77 ms
154                    3.70 ms
155                    3.63 ms
156                    4.56 ms
157                    4.49 ms
158                    3.42 ms
159                    3.35 ms
160                    3.29 ms
161                    4.21 ms
162                    4.14 ms
163                    4.08 ms
164                    6.01 ms
165                    3.93 ms
166                    3.87 ms
167                    3.79 ms
168                    3.73 ms
169                    5.66 ms
170                    4.58 ms
171                    3.52 ms
172                    3.45 ms
173                    3.38 ms
174                    5.31 ms
175                    4.23 ms
176                    3.17 ms
177                    4.09 ms
178                    4.02 ms
179                    4.96 ms
180                    3.88 ms
181                    3.81 ms
182                    3.74 ms
183                    3.68 ms
184                    4.62 ms
185                    3.55 ms
186                    3.47 ms
187                    3.40 ms
188                    3.34 ms
189                    4.27 ms
190                    4.19 ms
191                    3.13 ms
192                    4.06 ms
193                    3.98 ms
194                    3.92 ms
195                    3.84 ms
196                    3.78 ms
197                    5.71 ms
198                    3.63 ms
199                    3.57 ms
200                    3.50 ms
201                    3.42 ms
202                    5.35 ms
203                    4.27 ms
204                    3.21 ms
205                    3.14 ms
206                    4.07 ms
207                    5.00 ms
208                    3.93 ms
209                    3.86 ms
210                    3.79 ms
211                    3.72 ms
212                    4.66 ms
213                    3.58 ms
214                    3.52 ms
215                    3.44 ms
216                    3.38 ms
217                    4.31 ms
218                    3.23 ms
219                    3.16 ms
220                    4.09 ms
221                    4.02 ms
222                    3.95 ms
223                    3.88 ms
224                    3.81 ms
225                    5.74 ms
226                    3.66 ms
227                    3.59 ms
228                    3.52 ms
229                    3.45 ms
230                    5.38 ms
231                    4.30 ms
232                    3.24 ms
233                    3.16 ms
234                    4.09 ms
235                    5.02 ms
236                    3.94 ms
237                    3.87 ms
238                    3.80 ms
239                    3.73 ms
