Label                  Latency
1                     17.92 ms
2                     11.75 ms
3                      5.67 ms
4                      4.58 ms
5                      3.51 ms
6                      3.44 ms
7                      3.36 ms
8                      3.29 ms
9                      4.22 ms
10                     3.14 ms
11                     4.05 ms
12                     3.95 ms
13                     3.87 ms
14                     3.79 ms
15                     3.71 ms
16                     3.62 ms
17                     3.55 ms
18                     4.46 ms
19                     3.39 ms
20                     4.31 ms
21                     6.23 ms
22                     3.15 ms
23                     4.08 ms
24                     2.99 ms
25                     3.92 ms
26                     5.85 ms
27                     3.77 ms
28                     3.70 ms
29                     3.63 ms
30                     3.56 ms
31                     4.49 ms
32                     3.41 ms
33                     3.34 ms
34                     4.27 ms
35                     3.20 ms
36                     5.15 ms
37                     3.06 ms
38                     2.99 ms
39                     3.92 ms
40                     3.84 ms
41                     3.77 ms
42                     3.70 ms
43                     3.63 ms
44                     3.55 ms
45                     3.48 ms
46                     4.41 ms
47                     3.33 ms
48                     4.26 ms
49                     6.19 ms
50                     3.14 ms
51                     4.07 ms
52                     3.00 ms
53                     3.93 ms
54                     5.86 ms
55                     4.78 ms
56                     3.71 ms
57                     3.64 ms
58                     3.57 ms
59                     4.49 ms
60                     4.42 ms
61                     3.35 ms
62                     4.28 ms
63                     3.21 ms
64                     5.15 ms
65                     4.06 ms
66                     3.99 ms
67                     3.92 ms
68                     3.84 ms
69                     4.77 ms
70                     3.70 ms
71                     3.63 ms
72                     3.55 ms
73                     3.48 ms
74                     4.41 ms
75                     3.34 ms
76                     4.26 ms
77                     5.19 ms
78                     3.13 ms
79                     3.07 ms
80                     3.99 ms
81                     3.92 ms
82                     5.85 ms
83                     3.77 ms
84                     3.70 ms
85                     3.63 ms
86                     3.56 ms
87                     5.49 ms
88                     3.41 ms
89                     3.34 ms
90                     4.26 ms
91                     3.19 ms
92                     5.14 ms
93                     3.07 ms
94                     3.00 ms
95                     3.93 ms
96                     3.85 ms
97                     4.78 ms
98                     3.71 ms
99                     3.64 ms
100                    3.57 ms
101                    3.48 ms
102                    4.40 ms
103                    3.33 ms
104                    4.26 ms
105                    6.16 ms
106                    3.08 ms
107                    4.01 ms
108                    2.93 ms
109                    3.86 ms
110                    5.79 ms
111                    4.71 ms
112                    3.61 ms
113                    3.54 ms
114                    3.47 ms
115                    5.39 ms
116                    4.32 ms
117                    3.25 ms
118                    4.17 ms
119                    3.15 ms
120                    5.06 ms
121                    3.99 ms
122                    3.92 ms
123                    3.85 ms
124                    3.77 ms
125                    3.71 ms
126                    3.63 ms
127                    3.56 ms
128                    3.48 ms
129                    3.41 ms
130                    4.33 ms
131                    3.26 ms
132                    4.19 ms
133                    6.14 ms
134                    3.04 ms
135                    3.96 ms
136                    3.88 ms
137                    3.81 ms
138                    5.74 ms
139                    3.67 ms
140                    3.60 ms
141                    3.52 ms
142                    3.45 ms
143                    5.38 ms
144                    3.31 ms
145                    3.24 ms
146                    4.17 ms
147                    3.14 ms
148                    5.06 ms
149                    3.99 ms
150                    3.92 ms
151                    3.84 ms
152                    3.77 ms
153                    4.70 ms
154                    3.59 ms
155                    3.52 ms
156                    3.45 ms
157                    3.38 ms
158                    4.30 ms
159                    3.23 ms
160                    4.16 ms
161                    5.09 ms
162                    3.01 ms
163                    3.94 ms
164                    3.87 ms
165                    3.80 ms
166                    5.72 ms
167                    4.65 ms
168                    3.57 ms
169                    3.50 ms
170                    3.43 ms
171                    4.36 ms
172                    4.29 ms
173                    3.21 ms
174                    4.15 ms
175                    3.08 ms
176                    5.00 ms
177                    3.93 ms
178                    3.86 ms
179                    3.79 ms
180                    3.71 ms
181                    4.64 ms
182                    3.54 ms
183                    4.45 ms
184                    6.37 ms
185                    3.29 ms
186                    4.22 ms
187                    3.14 ms
188                    4.06 ms
189                    4.98 ms
190                    3.91 ms
191                    3.84 ms
192                    3.76 ms
193                    3.69 ms
194                    4.62 ms
195                    3.54 ms
196                    3.47 ms
197                    4.40 ms
198                    3.33 ms
199                    5.26 ms
200                    3.19 ms
201                    3.14 ms
202                    4.06 ms
203                    3.96 ms
204                    4.89 ms
205                    3.81 ms
206                    3.72 ms
207                    3.65 ms
208                    3.57 ms
209                    4.48 ms
210                    3.40 ms
211                    4.32 ms
212                    5.24 ms
213                    3.16 ms
214                    4.06 ms
215                    2.99 ms
216                    3.90 ms
217                    5.83 ms
218                    4.75 ms
219                    3.67 ms
220                    3.59 ms
221                    3.51 ms
222                    5.43 ms
223                    4.35 ms
224                    3.27 ms
225                    4.19 ms
226                    3.14 ms
227                    5.07 ms
228                    3.99 ms
229                    3.91 ms
230                    3.83 ms
231                    3.75 ms
232                    4.67 ms
233                    3.59 ms
234                    4.51 ms
235                    6.43 ms
236                    3.34 ms
237                    4.26 ms
238                    3.19 ms
239                    4.14 ms
240                    5.06 ms
241                    3.99 ms
242                    3.91 ms
243                    3.84 ms
244                    3.77 ms
245                    4.70 ms
246                    3.62 ms
247                    3.55 ms
248                    4.48 ms
249                    3.41 ms
250                    4.33 ms
251                    3.26 ms
252                    3.19 ms
253                    4.15 ms
254                    3.07 ms
255                    5.00 ms
256                    3.93 ms
257                    3.85 ms
258                    3.78 ms
259                    3.72 ms
260                    4.64 ms
261                    3.57 ms
262                    3.49 ms
263                    3.42 ms
264                    3.35 ms
265                    3.27 ms
266                    3.20 ms
267                    4.14 ms
268                    5.07 ms
269                    3.00 ms
270                    3.93 ms
271                    3.86 ms
272                    3.78 ms
273                    5.71 ms
274                    4.64 ms
275                    3.57 ms
276                    4.50 ms
277                    3.42 ms
278                    5.35 ms
279                    4.28 ms
280                    3.21 ms
281                    4.14 ms
282                    3.07 ms
283                    4.00 ms
284                    3.94 ms
285                    3.85 ms
286                    3.77 ms
287                    3.70 ms
288                    4.63 ms
289                    3.55 ms
290                    3.48 ms
291                    3.41 ms
292                    3.34 ms
293                    3.26 ms
294                    3.19 ms
295                    4.15 ms
296                    5.07 ms
297                    2.99 ms
298                    3.92 ms
299                    3.85 ms
300                    3.78 ms
301                    4.69 ms
302                    3.61 ms
303                    3.54 ms
304                    3.47 ms
305                    3.40 ms
306                    4.32 ms
307                    3.25 ms
308                    3.18 ms
309                    4.15 ms
310                    3.07 ms
311                    4.00 ms
312                    3.93 ms
313                    3.85 ms
314                    3.78 ms
315                    3.71 ms
316                    3.64 ms
317                    3.56 ms
318                    3.49 ms
319                    3.42 ms
320                    3.35 ms
321                    3.27 ms
322                    3.20 ms
323                    4.14 ms
324                    6.07 ms
325                    2.99 ms
326                    3.92 ms
327                    3.85 ms
328                    3.78 ms
329                    5.70 ms
330                    4.62 ms
331                    3.55 ms
332                    3.48 ms
333                    3.40 ms
