Label                  Latency
1                     20.70 ms
2                     13.50 ms
3                      7.42 ms
4                      4.37 ms
5                      3.29 ms
6                      3.21 ms
7                      4.13 ms
8                      4.07 ms
9                      3.99 ms
10                     3.91 ms
11                     3.83 ms
12                     3.75 ms
13                     4.67 ms
14                     3.60 ms
15                     3.52 ms
16                     3.45 ms
17                     3.36 ms
18                     4.28 ms
19                     4.20 ms
20                     5.12 ms
21                     4.07 ms
22                     4.00 ms
23                     3.92 ms
24                     3.83 ms
25                     3.76 ms
26                     3.68 ms
27                     4.60 ms
28                     6.52 ms
29                     3.43 ms
30                     4.34 ms
31                     3.27 ms
32                     4.20 ms
33                     6.13 ms
34                     5.07 ms
35                     4.00 ms
36                     3.90 ms
37                     3.83 ms
38                     5.75 ms
39                     4.68 ms
40                     3.60 ms
41                     4.53 ms
42                     3.45 ms
43                     5.36 ms
44                     4.29 ms
45                     4.21 ms
46                     4.14 ms
47                     4.08 ms
48                     5.00 ms
49                     3.91 ms
50                     3.84 ms
51                     3.77 ms
52                     3.69 ms
53                     4.62 ms
54                     3.55 ms
55                     4.46 ms
56                     5.39 ms
57                     3.31 ms
58                     4.24 ms
59                     4.17 ms
60                     4.09 ms
61                     5.01 ms
62                     3.94 ms
63                     3.86 ms
64                     3.78 ms
65                     3.71 ms
66                     5.64 ms
67                     3.56 ms
68                     3.49 ms
69                     4.41 ms
70                     3.35 ms
71                     4.26 ms
72                     4.18 ms
73                     4.13 ms
74                     4.08 ms
75                     4.00 ms
76                     3.93 ms
77                     3.84 ms
78                     3.76 ms
79                     3.69 ms
80                     3.62 ms
81                     3.55 ms
82                     3.48 ms
83                     4.41 ms
84                     6.35 ms
85                     3.28 ms
86                     4.21 ms
87                     4.14 ms
88                     4.07 ms
89                     5.00 ms
90                     4.94 ms
91                     3.87 ms
92                     3.80 ms
93                     3.73 ms
94                     4.66 ms
95                     4.59 ms
96                     3.52 ms
97                     4.46 ms
98                     3.39 ms
99                     4.32 ms
100                    4.25 ms
101                    4.17 ms
102                    4.10 ms
103                    4.03 ms
104                    3.96 ms
105                    3.89 ms
106                    3.84 ms
107                    3.76 ms
108                    3.69 ms
109                    3.62 ms
110                    3.55 ms
111                    4.48 ms
112                    5.41 ms
113                    3.34 ms
114                    3.28 ms
115                    4.21 ms
116                    4.14 ms
117                    5.08 ms
118                    4.01 ms
119                    3.94 ms
120                    3.90 ms
121                    3.80 ms
122                    4.73 ms
123                    3.67 ms
124                    3.60 ms
125                    4.53 ms
126                    3.46 ms
127                    4.39 ms
128                    3.32 ms
129                    4.26 ms
130                    4.19 ms
131                    4.12 ms
132                    4.07 ms
133                    3.99 ms
134                    3.89 ms
135                    3.81 ms
136                    3.73 ms
137                    3.66 ms
138                    3.58 ms
139                    4.50 ms
140                    6.42 ms
141                    3.34 ms
142                    4.27 ms
143                    4.19 ms
144                    4.12 ms
145                    6.08 ms
146                    4.99 ms
147                    3.91 ms
148                    3.83 ms
149                    3.75 ms
150                    4.67 ms
151                    4.59 ms
152                    3.51 ms
153                    4.44 ms
154                    3.37 ms
155                    5.31 ms
156                    4.24 ms
157                    4.17 ms
158                    4.10 ms
159                    4.03 ms
160                    4.96 ms
161                    3.90 ms
162                    3.82 ms
163                    3.76 ms
164                    3.69 ms
165                    4.62 ms
166                    3.55 ms
167                    4.49 ms
168                    5.42 ms
169                    3.35 ms
170                    4.28 ms
171                    4.21 ms
172                    4.14 ms
173                    5.08 ms
174                    4.01 ms
175                    3.94 ms
176                    3.87 ms
177                    3.81 ms
178                    5.74 ms
179                    3.67 ms
180                    3.60 ms
181                    4.53 ms
182                    3.46 ms
183                    4.40 ms
184                    3.33 ms
185                    4.26 ms
186                    4.19 ms
187                    4.12 ms
188                    5.05 ms
189                    3.98 ms
190                    3.91 ms
191                    3.84 ms
192                    3.77 ms
193                    3.70 ms
194                    3.63 ms
195                    4.58 ms
196                    6.50 ms
197                    3.42 ms
198                    3.35 ms
