Label                  Latency
1                     66.98 ms
2                     93.89 ms
3                    113.80 ms
4                    134.75 ms
5                    120.94 ms
6                    132.89 ms
7                    146.79 ms
8                    149.73 ms
9                    159.67 ms
10                   163.61 ms
11                   164.53 ms
12                   186.48 ms
13                   189.40 ms
14                   135.93 ms
15                   167.85 ms
16                   166.79 ms
17                   172.71 ms
18                   168.64 ms
19                   152.59 ms
20                   155.52 ms
21                   151.46 ms
22                    88.93 ms
23                    84.86 ms
24                    78.80 ms
25                    75.73 ms
26                    76.66 ms
27                    73.59 ms
28                    71.54 ms
29                    65.45 ms
30                    61.38 ms
31                    53.31 ms
32                    51.26 ms
33                    51.18 ms
34                    35.12 ms
35                    32.05 ms
36                    35.97 ms
37                    34.88 ms
38                    30.80 ms
39                    27.73 ms
40                    24.64 ms
41                    32.56 ms
42                    39.48 ms
43                    30.39 ms
44                    24.31 ms
45                    24.28 ms
46                    42.21 ms
47                    37.13 ms
48                    30.02 ms
49                    32.96 ms
50                    29.86 ms
51                    21.78 ms
52                    21.71 ms
53                    26.64 ms
54                    46.55 ms
55                    38.46 ms
56                    31.38 ms
57                    32.30 ms
58                    32.22 ms
59                    38.13 ms
60                    37.05 ms
61                    36.97 ms
62                    41.90 ms
63                    41.81 ms
64                    43.75 ms
65                    36.64 ms
66                    32.56 ms
67                    25.50 ms
68                    24.41 ms
69                    28.32 ms
70                    29.29 ms
71                    36.21 ms
72                    37.13 ms
73                    30.03 ms
74                    39.96 ms
75                    35.87 ms
76                    40.79 ms
77                    33.71 ms
78                    33.63 ms
79                    31.54 ms
80                    29.48 ms
81                    32.39 ms
82                    27.30 ms
83                    33.22 ms
84                    31.13 ms
85                    25.05 ms
86                    24.96 ms
87                    40.87 ms
88                    36.80 ms
89                    37.73 ms
90                    35.64 ms
91                    34.56 ms
92                    38.49 ms
93                    39.41 ms
94                    38.31 ms
95                    38.29 ms
96                    38.20 ms
97                    38.12 ms
98                    36.03 ms
99                    29.95 ms
100                   26.89 ms
101                   33.78 ms
102                   31.70 ms
103                   25.61 ms
104                   29.53 ms
105                   26.44 ms
106                   33.36 ms
107                   31.28 ms
108                   29.19 ms
109                   38.11 ms
110                   36.04 ms
111                   26.95 ms
112                   36.87 ms
113                   36.78 ms
114                   33.70 ms
115                   34.63 ms
116                   32.54 ms
117                   31.44 ms
118                   27.34 ms
119                   36.26 ms
120                   32.17 ms
121                   29.08 ms
122                   36.01 ms
123                   36.92 ms
124                   32.82 ms
125                   32.75 ms
126                   31.67 ms
127                   36.58 ms
128                   34.51 ms
129                   27.41 ms
130                   37.34 ms
131                   42.26 ms
132                   40.19 ms
133                   41.09 ms
134                   37.01 ms
135                   30.92 ms
136                   28.86 ms
137                   34.77 ms
138                   32.68 ms
139                   29.61 ms
140                   26.53 ms
141                   37.45 ms
142                   34.36 ms
143                   35.29 ms
144                   29.19 ms
145                   20.11 ms
146                   32.03 ms
147                   33.96 ms
148                   37.87 ms
149                   41.80 ms
150                   39.70 ms
151                   23.63 ms
152                   30.54 ms
153                   34.45 ms
154                   31.38 ms
155                   29.28 ms
156                   32.21 ms
157                   33.12 ms
158                   33.03 ms
159                   25.96 ms
160                   24.88 ms
161                   35.80 ms
162                   34.70 ms
163                   32.61 ms
164                   30.54 ms
165                   28.44 ms
166                   35.37 ms
167                   32.28 ms
168                   30.19 ms
169                   32.11 ms
170                   33.02 ms
171                   34.96 ms
172                   38.87 ms
173                   50.78 ms
174                   45.69 ms
175                   29.62 ms
176                   35.55 ms
177                   46.47 ms
178                   39.37 ms
179                   39.29 ms
180                   38.20 ms
181                   34.13 ms
182                   38.04 ms
183                   31.96 ms
184                   38.88 ms
185                   39.79 ms
186                   43.72 ms
187                   43.62 ms
188                   36.54 ms
189                   38.48 ms
190                   44.38 ms
191                   42.30 ms
192                   37.22 ms
193                   28.14 ms
194                   24.05 ms
195                   33.98 ms
196                   30.90 ms
197                   38.82 ms
198                   38.75 ms
199                   31.66 ms
200                   35.59 ms
201                   34.48 ms
202                   29.41 ms
203                   33.37 ms
204                   31.25 ms
205                   28.18 ms
206                   54.07 ms
207                   49.00 ms
208                   52.92 ms
209                   50.82 ms
210                   34.75 ms
211                   33.66 ms
212                   32.58 ms
213                   32.51 ms
214                   33.42 ms
215                   25.35 ms
216                   28.26 ms
217                   30.17 ms
218                   26.10 ms
219                   26.03 ms
220                   29.93 ms
221                   35.85 ms
222                   31.76 ms
223                   25.68 ms
224                   36.62 ms
225                   33.53 ms
226                   44.46 ms
227                   47.37 ms
228                   45.28 ms
229                   29.21 ms
230                   26.12 ms
231                   28.04 ms
232                   23.96 ms
233                   30.89 ms
234                   34.80 ms
235                   33.75 ms
236                   35.64 ms
237                   33.57 ms
238                   30.49 ms
239                   31.42 ms
240                   42.33 ms
241                   49.25 ms
242                   41.16 ms
243                   36.08 ms
244                   28.00 ms
245                   29.94 ms
246                   31.86 ms
247                   29.77 ms
248                   35.69 ms
249                   30.62 ms
250                   21.53 ms
251                   21.46 ms
252                   30.39 ms
253                   36.31 ms
254                   31.21 ms
255                   31.13 ms
256                   28.06 ms
257                   33.97 ms
258                   44.89 ms
259                   52.82 ms
260                   50.73 ms
261                   34.66 ms
262                   28.57 ms
263                   28.49 ms
264                   37.43 ms
265                   33.34 ms
266                   24.25 ms
267                   30.17 ms
268                   35.09 ms
269                   41.01 ms
270                   40.93 ms
271                   24.86 ms
272                   30.78 ms
273                   24.69 ms
274                   28.62 ms
275                   32.54 ms
276                   36.45 ms
277                   33.38 ms
278                   32.29 ms
279                   27.21 ms
280                   30.14 ms
281                   36.05 ms
282                   39.98 ms
283                   33.88 ms
284                   24.79 ms
285                   24.73 ms
286                   34.64 ms
287                   34.57 ms
288                   36.49 ms
289                   34.40 ms
290                   34.33 ms
291                   40.24 ms
292                   42.16 ms
293                   48.08 ms
294                   44.00 ms
295                   27.93 ms
296                   21.83 ms
297                   28.76 ms
298                   25.68 ms
299                   36.61 ms
300                   27.52 ms
301                   30.42 ms
302                   25.34 ms
303                   27.28 ms
304                   36.19 ms
305                   38.13 ms
306                   37.04 ms
307                   36.95 ms
308                   35.87 ms
309                   36.79 ms
310                   36.71 ms
311                   33.63 ms
312                   34.57 ms
313                   28.47 ms
314                   28.41 ms
315                   32.31 ms
316                   30.22 ms
317                   24.14 ms
318                   24.06 ms
319                   24.99 ms
320                   28.91 ms
321                   25.83 ms
322                   24.76 ms
323                   23.67 ms
324                   21.59 ms
325                   35.52 ms
326                   35.44 ms
327                   33.36 ms
328                   32.27 ms
329                   33.20 ms
330                   28.12 ms
331                   25.05 ms
332                   35.96 ms
333                   32.89 ms
334                   30.81 ms
335                   27.73 ms
336                   27.65 ms
337                   35.58 ms
338                   32.49 ms
339                   30.40 ms
340                   24.33 ms
341                   25.26 ms
342                   27.17 ms
343                   39.10 ms
344                   33.02 ms
345                   27.93 ms
346                   27.85 ms
347                   57.80 ms
348                   61.70 ms
349                   45.63 ms
350                   29.56 ms
351                   27.45 ms
352                   34.39 ms
353                   28.29 ms
354                   26.22 ms
355                   23.13 ms
356                   23.06 ms
357                   23.98 ms
358                   37.90 ms
359                   29.82 ms
360                   26.73 ms
361                   39.67 ms
362                   33.58 ms
363                   37.51 ms
364                   28.41 ms
365                   28.35 ms
366                   32.26 ms
