Label                  Latency
1                     57.99 ms
2                     55.89 ms
3                     67.83 ms
4                     83.76 ms
5                     91.94 ms
6                     92.87 ms
7                    109.80 ms
8                    120.74 ms
9                    118.67 ms
10                   130.60 ms
11                   127.54 ms
12                   125.47 ms
13                   131.40 ms
14                   129.34 ms
15                   143.27 ms
16                   123.94 ms
17                   117.87 ms
18                   121.81 ms
19                   128.74 ms
20                   137.67 ms
21                   143.61 ms
22                   140.55 ms
23                   151.49 ms
24                   165.42 ms
25                   156.35 ms
26                   156.28 ms
27                   154.21 ms
28                   148.14 ms
29                   142.07 ms
30                   126.03 ms
31                   119.94 ms
32                   113.87 ms
33                    72.94 ms
34                    66.87 ms
35                    50.82 ms
36                    44.74 ms
37                    38.67 ms
38                    32.61 ms
39                    34.54 ms
40                    30.46 ms
41                    37.38 ms
42                    38.30 ms
43                    40.21 ms
44                    36.14 ms
45                    30.06 ms
46                    23.97 ms
47                    23.87 ms
48                    21.79 ms
49                    21.71 ms
50                    25.65 ms
51                    36.56 ms
52                    37.48 ms
53                    31.40 ms
54                    25.32 ms
55                    25.24 ms
56                    36.16 ms
57                    37.08 ms
58                    31.00 ms
59                    24.91 ms
60                    24.83 ms
61                    35.75 ms
62                    36.67 ms
63                    30.60 ms
64                    24.53 ms
65                    21.44 ms
66                    22.36 ms
67                    24.28 ms
68                    35.20 ms
69                    34.11 ms
70                    28.03 ms
71                    34.95 ms
72                    31.88 ms
73                    29.80 ms
74                    23.72 ms
75                    35.64 ms
76                    31.57 ms
77                    28.48 ms
78                    35.41 ms
79                    33.32 ms
80                    27.24 ms
81                    37.17 ms
82                    35.09 ms
83                    32.02 ms
84                    32.93 ms
85                    32.86 ms
86                    30.77 ms
87                    27.69 ms
88                    34.62 ms
89                    33.53 ms
90                    29.45 ms
91                    28.38 ms
92                    40.30 ms
93                    38.21 ms
94                    37.13 ms
95                    36.05 ms
96                    32.98 ms
97                    33.90 ms
98                    30.82 ms
99                    39.73 ms
100                   38.66 ms
101                   39.56 ms
102                   36.48 ms
103                   37.40 ms
104                   31.32 ms
105                   28.24 ms
106                   39.16 ms
107                   39.08 ms
108                   37.00 ms
109                   33.92 ms
