Label                  Latency
1                     38.78 ms
2                     41.62 ms
3                     45.51 ms
4                     34.41 ms
5                     46.31 ms
6                     42.22 ms
7                     36.12 ms
8                     40.02 ms
9                     41.92 ms
10                    42.83 ms
11                    36.73 ms
12                    35.64 ms
13                    34.54 ms
14                    71.45 ms
15                    83.35 ms
16                    81.26 ms
17                    71.16 ms
18                    59.06 ms
19                    50.96 ms
20                    39.86 ms
21                    30.76 ms
22                    21.68 ms
23                    28.59 ms
24                    20.51 ms
25                    18.42 ms
26                    28.33 ms
27                    22.25 ms
28                    16.16 ms
29                    65.08 ms
30                    55.99 ms
31                    47.90 ms
32                    36.82 ms
33                    27.73 ms
34                    24.65 ms
35                    23.58 ms
36                    19.48 ms
37                    23.39 ms
38                    24.30 ms
39                    29.21 ms
40                    25.12 ms
41                    17.03 ms
42                    32.94 ms
43                    26.86 ms
44                    18.77 ms
45                    57.68 ms
46                    48.59 ms
47                    42.51 ms
48                    34.43 ms
49                    28.35 ms
50                    22.25 ms
51                    16.17 ms
52                    32.08 ms
53                    26.00 ms
54                    17.91 ms
55                    23.83 ms
56                    24.75 ms
57                    28.66 ms
58                    25.57 ms
59                    19.49 ms
60                    23.40 ms
61                    59.32 ms
62                    51.23 ms
63                    45.14 ms
64                    37.06 ms
65                    27.97 ms
66                    34.88 ms
67                    28.80 ms
68                    24.71 ms
69                    18.63 ms
70                    32.54 ms
71                    26.45 ms
72                    18.37 ms
73                    24.28 ms
74                    36.20 ms
75                    32.12 ms
76                    64.02 ms
77                    54.93 ms
78                    46.85 ms
79                    37.76 ms
80                    31.67 ms
81                    28.59 ms
82                    22.51 ms
83                    21.42 ms
84                    27.34 ms
85                    21.25 ms
86                    18.16 ms
87                    29.07 ms
88                    22.99 ms
89                    19.90 ms
90                    20.82 ms
91                    24.73 ms
92                    38.64 ms
93                    52.56 ms
94                    49.47 ms
95                    40.39 ms
96                    34.30 ms
97                    26.21 ms
98                    27.13 ms
99                    26.04 ms
100                   19.95 ms
101                   23.85 ms
102                   22.75 ms
103                   21.67 ms
104                   22.58 ms
105                   22.50 ms
106                   23.41 ms
107                   47.32 ms
108                   49.24 ms
109                   43.15 ms
110                   36.06 ms
111                   25.98 ms
112                   23.89 ms
113                   18.81 ms
114                   24.73 ms
115                   36.64 ms
116                   32.55 ms
117                   24.47 ms
118                   20.38 ms
119                   24.29 ms
120                   36.21 ms
121                   32.13 ms
122                   24.04 ms
123                   57.96 ms
124                   50.86 ms
125                   44.77 ms
126                   34.68 ms
127                   25.60 ms
128                   17.51 ms
129                   23.43 ms
130                   27.34 ms
131                   21.26 ms
132                   18.17 ms
133                   27.08 ms
134                   23.00 ms
135                   33.91 ms
136                   55.83 ms
137                   44.74 ms
138                   91.66 ms
139                   82.57 ms
140                   74.48 ms
141                   65.40 ms
142                   54.31 ms
143                   46.22 ms
144                   35.13 ms
145                   26.04 ms
146                   17.95 ms
147                   28.87 ms
148                   27.78 ms
149                   24.69 ms
150                   23.61 ms
151                   19.52 ms
152                   21.44 ms
153                   25.35 ms
154                   51.27 ms
155                   70.18 ms
156                   59.10 ms
157                   51.01 ms
158                   39.92 ms
159                   30.84 ms
160                   22.75 ms
161                   16.67 ms
162                   34.58 ms
163                   24.50 ms
164                   15.41 ms
165                   24.33 ms
166                   40.24 ms
167                   34.16 ms
168                   26.07 ms
169                   27.98 ms
170                   58.90 ms
171                   55.81 ms
172                   49.72 ms
173                   37.63 ms
174                   44.55 ms
175                   50.46 ms
176                   39.38 ms
177                   31.29 ms
178                   22.20 ms
179                   22.12 ms
180                   21.03 ms
181                   24.94 ms
182                   40.86 ms
183                   30.78 ms
184                   78.69 ms
185                   72.60 ms
186                   72.52 ms
187                   56.44 ms
188                   60.35 ms
189                   46.26 ms
190                   37.18 ms
191                   33.09 ms
192                   25.01 ms
193                   23.93 ms
194                   25.83 ms
195                   21.75 ms
196                   18.66 ms
197                   29.58 ms
198                   21.50 ms
199                   19.41 ms
200                   21.33 ms
201                   55.22 ms
202                   44.14 ms
203                   38.05 ms
204                   26.96 ms
205                   42.88 ms
206                   34.79 ms
207                   26.70 ms
208                   20.62 ms
209                   41.53 ms
210                   38.45 ms
211                   27.36 ms
212                   18.28 ms
213                   30.19 ms
214                   24.11 ms
215                   15.02 ms
216                   63.94 ms
217                   47.86 ms
218                   39.77 ms
219                   27.68 ms
220                   26.60 ms
221                   21.51 ms
222                   27.43 ms
223                   23.34 ms
224                   25.26 ms
225                   31.17 ms
226                   29.09 ms
227                   35.02 ms
228                   28.94 ms
229                   22.85 ms
230                   18.77 ms
231                   64.68 ms
232                   54.60 ms
233                   45.51 ms
234                   37.42 ms
235                   35.34 ms
236                   24.25 ms
237                   26.17 ms
238                   32.08 ms
239                   22.00 ms
240                   27.91 ms
241                   46.83 ms
242                   35.74 ms
243                   22.66 ms
244                   38.58 ms
245                   45.49 ms
246                   34.40 ms
247                   65.32 ms
248                   56.23 ms
249                   68.15 ms
250                   57.06 ms
251                   48.97 ms
252                   44.89 ms
253                   34.80 ms
254                   22.72 ms
255                   19.63 ms
256                   40.55 ms
257                   26.46 ms
258                   38.38 ms
259                   42.29 ms
260                   44.20 ms
261                   33.12 ms
262                   44.03 ms
263                   47.94 ms
264                   58.86 ms
265                   63.77 ms
266                   54.69 ms
267                   43.60 ms
268                   35.52 ms
269                   28.44 ms
270                   35.35 ms
271                   27.26 ms
272                   16.18 ms
273                   32.09 ms
274                   33.01 ms
275                   42.92 ms
276                   43.84 ms
277                   30.75 ms
278                   41.67 ms
279                   35.58 ms
280                   54.49 ms
281                   46.41 ms
282                   35.33 ms
283                   26.24 ms
284                   18.15 ms
285                   22.07 ms
286                   18.02 ms
287                   29.93 ms
288                   25.85 ms
289                   19.76 ms
290                   21.67 ms
291                   25.59 ms
292                   21.50 ms
293                   20.41 ms
294                   61.33 ms
295                   51.24 ms
296                   40.16 ms
297                   31.07 ms
298                   22.99 ms
299                   18.90 ms
300                   32.82 ms
301                   26.72 ms
302                   18.63 ms
303                   24.55 ms
304                   35.46 ms
305                   32.37 ms
306                   26.29 ms
307                   20.20 ms
308                   24.12 ms
309                   70.03 ms
310                   54.94 ms
311                   52.85 ms
312                   46.77 ms
313                   31.68 ms
314                   22.60 ms
315                   21.51 ms
316                   18.43 ms
317                   27.34 ms
318                   23.26 ms
319                   20.17 ms
320                   21.09 ms
321                   23.01 ms
322                   18.91 ms
323                   30.83 ms
324                   26.74 ms
325                   30.66 ms
326                   46.58 ms
327                   38.49 ms
328                   27.40 ms
329                   46.31 ms
330                   32.23 ms
331                   26.14 ms
332                   18.06 ms
333                   29.97 ms
334                   25.89 ms
335                   17.80 ms
336                   21.72 ms
337                   25.63 ms
338                   21.55 ms
339                   20.46 ms
340                   67.38 ms
341                   56.29 ms
342                   47.21 ms
343                   39.11 ms
344                   28.03 ms
345                   18.93 ms
346                   32.85 ms
347                   33.76 ms
348                   27.68 ms
349                   27.59 ms
350                   26.50 ms
351                   20.41 ms
352                   24.33 ms
353                   38.25 ms
354                   27.16 ms
355                   26.07 ms
356                   59.99 ms
357                   52.90 ms
358                   42.82 ms
359                   33.74 ms
360                   25.65 ms
361                   14.56 ms
362                   25.48 ms
363                   19.39 ms
364                   23.31 ms
365                   29.22 ms
366                   29.14 ms
367                   25.05 ms
368                   16.97 ms
369                   30.88 ms
370                   26.79 ms
371                   20.71 ms
372                   54.62 ms
373                   48.54 ms
374                   42.45 ms
375                   31.37 ms
376                   20.28 ms
377                   22.20 ms
378                   18.11 ms
379                   30.03 ms
380                   25.94 ms
381                   19.85 ms
382                   21.77 ms
383                   29.68 ms
384                   21.60 ms
385                   20.51 ms
386                   76.43 ms
387                   73.34 ms
388                   70.25 ms
389                   61.16 ms
390                   53.08 ms
391                   44.00 ms
392                   32.91 ms
393                   24.82 ms
394                   18.74 ms
395                   24.66 ms
396                   35.57 ms
397                   39.49 ms
398                   41.40 ms
399                   30.31 ms
400                   32.25 ms
401                   28.13 ms
402                   42.05 ms
403                   45.95 ms
404                   49.87 ms
405                   45.78 ms
406                   34.69 ms
407                   31.61 ms
408                   25.52 ms
409                   27.44 ms
410                   25.35 ms
411                   32.26 ms
412                   38.17 ms
413                   42.08 ms
414                   26.99 ms
415                   15.90 ms
416                   28.82 ms
417                   47.73 ms
418                   37.64 ms
419                   56.56 ms
420                   45.47 ms
421                   36.39 ms
422                   28.30 ms
423                   24.21 ms
424                   18.13 ms
425                   47.04 ms
426                   42.95 ms
427                   29.86 ms
428                   30.78 ms
429                   35.69 ms
430                   41.62 ms
431                   40.52 ms
432                   27.43 ms
433                   40.35 ms
434                   54.26 ms
435                   64.18 ms
436                   55.09 ms
437                   47.00 ms
438                   35.91 ms
439                   26.82 ms
440                   20.74 ms
441                   24.66 ms
442                   40.57 ms
443                   32.48 ms
444                   26.40 ms
445                   20.31 ms
446                   29.22 ms
447                   40.14 ms
448                   67.05 ms
449                   82.97 ms
450                   79.87 ms
451                   71.78 ms
452                   62.70 ms
453                   53.61 ms
454                   43.52 ms
455                   34.44 ms
456                   26.35 ms
457                   22.28 ms
458                   21.18 ms
459                   22.10 ms
460                   27.01 ms
461                   22.93 ms
462                   19.84 ms
463                   20.76 ms
464                   57.67 ms
465                   48.58 ms
466                   42.50 ms
467                   33.41 ms
468                   23.33 ms
469                   19.24 ms
470                   26.16 ms
471                   22.07 ms
472                   18.99 ms
473                   29.90 ms
474                   23.82 ms
475                   19.73 ms
476                   23.65 ms
477                   18.56 ms
478                   29.47 ms
479                   23.39 ms
480                   55.31 ms
481                   44.22 ms
