Label                  Latency
1                     13.12 ms
2                     12.64 ms
3                     12.39 ms
4                     12.24 ms
5                     12.23 ms
6                     12.18 ms
7                     12.00 ms
8                     12.11 ms
9                     12.28 ms
10                    11.96 ms
11                    11.85 ms
12                    11.94 ms
13                    11.79 ms
14                    11.66 ms
15                    11.56 ms
16                    11.54 ms
17                    11.52 ms
18                    11.44 ms
19                    11.33 ms
20                    11.33 ms
21                    11.25 ms
22                    11.31 ms
23                    11.03 ms
24                    11.17 ms
25                    11.05 ms
26                    11.04 ms
27                    10.87 ms
28                    10.84 ms
29                    10.68 ms
30                    10.64 ms
31                    10.46 ms
32                    10.44 ms
33                    10.42 ms
34                    10.36 ms
35                    10.17 ms
36                    10.24 ms
37                    10.03 ms
38                    10.00 ms
39                     9.92 ms
40                     9.82 ms
41                     9.83 ms
42                     9.88 ms
43                     9.85 ms
44                     9.78 ms
45                     9.75 ms
46                     9.61 ms
47                     9.52 ms
48                     9.51 ms
49                     9.38 ms
50                     9.35 ms
51                     9.18 ms
52                     9.25 ms
53                     9.06 ms
54                     9.13 ms
55                     8.89 ms
56                     9.05 ms
57                     8.98 ms
58                     8.91 ms
59                     8.82 ms
60                     8.79 ms
61                     8.62 ms
62                     8.83 ms
63                     8.69 ms
64                     8.46 ms
65                     8.34 ms
66                     8.22 ms
67                     8.22 ms
68                     8.21 ms
69                     8.10 ms
70                     8.06 ms
71                     7.91 ms
72                     7.90 ms
73                     7.84 ms
74                     7.73 ms
75                     7.62 ms
76                     7.61 ms
77                     7.53 ms
78                     7.48 ms
79                     7.46 ms
80                     7.38 ms
81                     7.32 ms
82                     7.27 ms
83                     7.13 ms
84                     7.10 ms
85                     7.11 ms
86                     6.97 ms
87                     6.88 ms
88                     6.88 ms
89                     6.84 ms
90                     6.79 ms
91                     6.75 ms
92                     6.77 ms
93                     6.64 ms
94                     6.52 ms
95                     6.41 ms
96                     6.38 ms
97                     6.33 ms
98                     6.34 ms
99                     6.17 ms
100                    6.18 ms
101                    6.07 ms
102                    6.03 ms
103                    5.85 ms
104                    5.91 ms
105                    5.79 ms
106                    5.76 ms
107                    5.69 ms
108                    5.65 ms
109                    5.54 ms
110                    5.49 ms
111                    5.40 ms
112                    5.45 ms
113                    5.32 ms
114                    5.30 ms
115                    5.25 ms
116                    5.19 ms
117                    5.09 ms
118                    5.03 ms
119                    4.99 ms
120                    4.96 ms
121                    4.83 ms
122                    4.83 ms
123                    4.79 ms
124                    4.69 ms
125                    4.66 ms
126                    4.57 ms
127                    4.50 ms
128                    4.36 ms
129                    4.38 ms
130                   14.27 ms
131                   14.20 ms
132                   14.12 ms
133                   14.09 ms
134                   14.06 ms
135                   14.03 ms
136                   13.88 ms
137                   13.80 ms
138                   13.77 ms
139                   13.82 ms
140                   13.77 ms
141                   13.56 ms
142                   13.55 ms
143                   13.75 ms
144                   13.47 ms
145                   13.40 ms
146                   13.35 ms
147                   13.25 ms
148                   13.13 ms
149                   13.07 ms
150                   13.04 ms
151                   12.95 ms
152                   12.88 ms
153                   12.83 ms
154                   12.74 ms
155                   12.67 ms
156                   12.62 ms
157                   12.58 ms
158                   12.81 ms
159                   12.65 ms
160                   12.44 ms
161                   12.35 ms
162                   12.52 ms
163                   12.38 ms
164                   12.28 ms
165                   12.13 ms
166                   12.04 ms
167                   12.10 ms
168                   11.99 ms
169                   11.89 ms
170                   11.91 ms
171                   11.79 ms
172                   11.67 ms
173                   11.70 ms
174                   11.63 ms
175                   11.49 ms
176                   11.49 ms
177                   11.44 ms
178                   11.32 ms
179                   11.25 ms
180                   11.21 ms
181                   11.17 ms
182                   11.19 ms
183                   11.34 ms
184                   11.07 ms
185                   11.02 ms
186                   10.90 ms
187                   10.79 ms
188                   10.74 ms
189                   10.69 ms
190                   10.65 ms
191                   10.54 ms
192                   10.45 ms
193                   10.44 ms
194                   10.38 ms
195                   10.28 ms
196                   10.24 ms
197                   10.10 ms
198                   10.12 ms
199                   10.02 ms
200                    9.98 ms
