Label                  Latency
1                     39.20 ms
2                     23.18 ms
3                     22.08 ms
4                      6.04 ms
5                      9.94 ms
6                      3.88 ms
7                     17.82 ms
8                     12.75 ms
9                      5.70 ms
10                    19.64 ms
11                     3.60 ms
12                    23.52 ms
13                    26.45 ms
14                    10.41 ms
15                    17.33 ms
16                    14.28 ms
17                     7.22 ms
18                    15.14 ms
19                    20.09 ms
20                    19.03 ms
21                     2.98 ms
22                    16.91 ms
23                    10.86 ms
24                     4.79 ms
25                    20.73 ms
26                    12.67 ms
27                    11.61 ms
28                    10.56 ms
29                     9.49 ms
30                     8.45 ms
31                    11.38 ms
32                     8.32 ms
33                    23.26 ms
34                     7.22 ms
35                     9.14 ms
36                    26.09 ms
37                    10.05 ms
38                    15.97 ms
39                    14.91 ms
40                     8.86 ms
41                    11.80 ms
42                    10.73 ms
43                     9.67 ms
44                    13.62 ms
45                     7.56 ms
46                    22.49 ms
47                    19.45 ms
48                    23.39 ms
49                     7.34 ms
50                     8.25 ms
51                    19.21 ms
52                    15.15 ms
53                    14.08 ms
54                    13.03 ms
55                     9.96 ms
56                    17.90 ms
57                    17.84 ms
58                     8.78 ms
59                    15.71 ms
60                     6.67 ms
61                    20.61 ms
62                     4.56 ms
63                    19.47 ms
64                    13.41 ms
65                    15.36 ms
66                    10.30 ms
67                    11.23 ms
68                    11.17 ms
69                    13.11 ms
70                     8.06 ms
71                    10.00 ms
72                    12.94 ms
73                     8.89 ms
74                    13.83 ms
75                     6.78 ms
76                    24.70 ms
77                     8.66 ms
78                     7.59 ms
79                    21.54 ms
80                    15.48 ms
81                    11.42 ms
82                     3.35 ms
83                    17.30 ms
84                    17.25 ms
85                    18.19 ms
86                     9.13 ms
87                     6.06 ms
88                    20.00 ms
89                    10.95 ms
90                    12.88 ms
91                     8.83 ms
92                    12.77 ms
93                    10.72 ms
94                    11.64 ms
95                     4.59 ms
96                    18.53 ms
97                    16.46 ms
98                    25.41 ms
99                    21.35 ms
100                    5.30 ms
101                   19.21 ms
102                   12.17 ms
103                   11.10 ms
104                   10.05 ms
105                   10.98 ms
106                    7.92 ms
107                   11.87 ms
108                   12.80 ms
109                    9.74 ms
110                    4.68 ms
111                   17.63 ms
112                   12.57 ms
113                    5.51 ms
114                   19.45 ms
115                    3.40 ms
116                   25.33 ms
117                   21.27 ms
118                    5.22 ms
119                   20.15 ms
120                    4.11 ms
121                   17.04 ms
122                   17.97 ms
123                   14.91 ms
124                   16.85 ms
125                   12.81 ms
126                   13.74 ms
127                   10.69 ms
128                    6.62 ms
129                   19.57 ms
130                   12.51 ms
131                    6.44 ms
132                   20.40 ms
133                    4.36 ms
134                   23.26 ms
135                   23.21 ms
136                    7.16 ms
137                   20.10 ms
138                    4.05 ms
139                   17.97 ms
140                   16.91 ms
141                   20.85 ms
142                   19.80 ms
143                    3.75 ms
144                   22.67 ms
145                   21.62 ms
146                    5.57 ms
147                   21.50 ms
148                    5.45 ms
149                   17.39 ms
150                   12.32 ms
151                    6.26 ms
152                   23.21 ms
153                    7.16 ms
154                    8.08 ms
155                   11.03 ms
156                    5.96 ms
157                   18.91 ms
158                   13.84 ms
159                    7.79 ms
160                   20.72 ms
161                    4.68 ms
162                   21.61 ms
163                   12.55 ms
164                   11.49 ms
165                   10.43 ms
166                    8.39 ms
167                    8.31 ms
168                   12.26 ms
169                    6.20 ms
170                   20.14 ms
171                    4.10 ms
172                   18.01 ms
173                   12.98 ms
174                    6.90 ms
175                   19.85 ms
176                    3.79 ms
177                   20.71 ms
178                   11.67 ms
179                   13.59 ms
180                   12.53 ms
181                    3.47 ms
182                   25.42 ms
183                   22.36 ms
184                    6.31 ms
185                   21.24 ms
186                    5.19 ms
187                   17.12 ms
188                   20.06 ms
189                   18.00 ms
190                    9.94 ms
191                    3.90 ms
192                   16.82 ms
193                   18.79 ms
194                   14.72 ms
195                   12.65 ms
196                   17.59 ms
197                   16.54 ms
198                   12.48 ms
199                    4.41 ms
200                   18.35 ms
201                   17.28 ms
202                   20.23 ms
203                   23.18 ms
204                    7.13 ms
205                   19.05 ms
206                   20.01 ms
207                   19.95 ms
208                   19.87 ms
209                    3.82 ms
210                   18.75 ms
211                   14.69 ms
212                    5.64 ms
213                   19.58 ms
214                    3.53 ms
215                   21.46 ms
216                   28.39 ms
217                   12.34 ms
218                   12.28 ms
219                    6.23 ms
220                   19.16 ms
221                   12.10 ms
222                    5.04 ms
223                   18.99 ms
224                    2.94 ms
225                   16.87 ms
226                   16.81 ms
227                   14.74 ms
228                    9.69 ms
229                   18.63 ms
230                   21.57 ms
231                    5.52 ms
232                   11.45 ms
233                   13.39 ms
234                   12.34 ms
235                   10.27 ms
236                   13.22 ms
237                    4.17 ms
238                   18.10 ms
239                   15.04 ms
240                    8.98 ms
241                   10.92 ms
242                    3.87 ms
243                   21.81 ms
244                   21.75 ms
245                    5.70 ms
246                   19.63 ms
247                    3.58 ms
248                   23.51 ms
249                   25.46 ms
250                    9.41 ms
251                   16.33 ms
252                   20.27 ms
253                   22.21 ms
254                   22.16 ms
255                    6.11 ms
256                   22.05 ms
257                    6.00 ms
258                    6.93 ms
259                   20.86 ms
260                    4.82 ms
261                   18.74 ms
262                   14.68 ms
263                    6.63 ms
264                   20.57 ms
265                    4.53 ms
266                   18.44 ms
267                   21.40 ms
268                   17.33 ms
269                   18.27 ms
270                   15.21 ms
271                    8.16 ms
272                   18.10 ms
