Label                  Latency
1                     20.67 ms
2                     20.50 ms
3                     18.40 ms
4                     12.32 ms
5                     13.26 ms
6                     11.20 ms
7                      4.14 ms
8                     18.08 ms
9                     12.01 ms
10                    10.95 ms
11                     9.89 ms
12                     7.83 ms
13                     9.78 ms
14                    11.72 ms
15                     5.66 ms
16                    19.60 ms
17                    14.55 ms
18                     7.46 ms
19                    11.42 ms
20                     5.34 ms
21                    19.29 ms
22                    16.22 ms
23                    17.16 ms
24                    12.09 ms
25                     5.03 ms
26                    18.97 ms
27                    12.90 ms
28                     6.86 ms
29                    19.78 ms
30                    10.73 ms
31                     9.68 ms
32                    12.62 ms
33                     6.55 ms
34                    20.49 ms
35                     4.45 ms
36                    18.37 ms
37                    12.30 ms
38                     6.23 ms
39                    20.18 ms
40                     4.14 ms
41                    18.05 ms
42                    13.01 ms
43                     5.93 ms
44                    19.87 ms
45                     3.82 ms
46                    17.76 ms
47                    13.70 ms
48                     5.62 ms
49                    19.57 ms
50                    13.51 ms
51                    13.46 ms
52                    14.40 ms
53                    17.33 ms
54                     9.27 ms
55                    20.20 ms
56                    17.14 ms
57                    11.09 ms
58                     5.01 ms
59                    18.96 ms
60                    12.89 ms
61                    12.85 ms
62                    15.78 ms
63                    20.72 ms
64                    23.64 ms
65                    21.58 ms
66                     6.53 ms
67                    20.46 ms
68                     9.39 ms
69                    10.34 ms
70                    13.29 ms
71                     6.22 ms
72                    20.16 ms
73                     6.09 ms
74                    21.03 ms
75                    19.97 ms
76                     5.90 ms
77                    19.84 ms
78                     3.80 ms
79                    17.73 ms
80                    13.67 ms
81                     5.59 ms
82                    19.53 ms
83                    19.49 ms
84                    18.43 ms
85                    11.35 ms
86                     7.30 ms
87                    19.23 ms
88                    18.17 ms
89                    20.16 ms
90                    19.09 ms
91                     5.02 ms
92                    18.96 ms
93                    17.90 ms
94                    16.83 ms
95                    15.77 ms
96                    15.72 ms
97                     8.64 ms
98                    19.58 ms
99                     6.52 ms
100                   20.46 ms
101                    5.40 ms
102                   18.32 ms
103                   12.23 ms
104                   11.17 ms
105                   11.10 ms
106                    4.04 ms
107                   17.99 ms
108                   14.91 ms
109                   15.85 ms
110                    9.79 ms
111                    3.74 ms
112                   17.68 ms
113                   12.62 ms
114                    5.54 ms
115                   19.48 ms
116                   18.42 ms
117                   17.35 ms
118                   18.29 ms
119                   15.23 ms
120                    9.16 ms
121                   19.10 ms
122                   11.03 ms
123                   10.97 ms
124                    5.91 ms
125                   25.85 ms
126                   19.79 ms
127                    6.72 ms
128                   20.66 ms
129                    4.61 ms
130                   21.54 ms
131                   19.46 ms
132                    6.41 ms
133                   20.33 ms
134                    4.29 ms
135                   19.22 ms
136                   12.15 ms
137                    6.08 ms
138                   20.02 ms
139                    3.97 ms
140                   17.91 ms
141                   11.84 ms
142                    5.78 ms
143                   20.73 ms
144                    7.65 ms
145                    7.60 ms
146                   11.53 ms
147                    6.49 ms
148                   21.42 ms
149                   13.36 ms
150                    7.29 ms
151                   16.22 ms
152                   15.16 ms
153                   14.11 ms
154                   13.04 ms
155                    7.00 ms
156                   19.91 ms
157                    4.85 ms
158                   18.80 ms
159                   19.73 ms
160                   16.66 ms
161                   17.60 ms
162                   15.53 ms
163                    8.47 ms
164                   12.44 ms
165                    6.35 ms
166                   20.30 ms
167                    5.23 ms
168                   26.18 ms
169                   19.10 ms
170                    9.05 ms
171                   11.99 ms
172                    3.94 ms
173                   17.87 ms
174                   14.81 ms
175                   15.74 ms
176                   11.67 ms
177                    3.61 ms
178                   17.55 ms
179                   16.50 ms
180                   17.44 ms
181                    9.35 ms
182                   19.28 ms
183                    7.22 ms
184                   19.18 ms
185                    7.10 ms
186                   19.05 ms
187                   13.97 ms
188                    6.91 ms
189                   19.85 ms
190                    5.80 ms
191                   24.74 ms
192                   19.66 ms
193                   10.59 ms
194                   19.53 ms
195                    5.49 ms
196                   18.41 ms
197                   17.34 ms
198                   17.28 ms
199                   13.22 ms
200                   18.15 ms
201                   18.07 ms
202                   17.01 ms
203                   15.96 ms
204                    9.88 ms
205                    3.84 ms
206                   22.78 ms
207                   19.71 ms
208                    7.65 ms
209                   19.59 ms
210                   16.53 ms
211                   17.47 ms
212                   17.40 ms
213                   15.33 ms
214                    9.27 ms
215                   17.20 ms
216                   17.15 ms
217                   17.09 ms
218                   16.03 ms
219                    8.95 ms
220                   12.92 ms
221                    6.84 ms
222                   16.78 ms
223                   16.71 ms
224                    8.64 ms
225                   13.58 ms
226                    6.51 ms
227                   20.46 ms
228                    6.40 ms
229                   18.34 ms
230                   12.26 ms
231                   12.22 ms
232                   11.14 ms
233                    4.08 ms
234                   20.03 ms
235                   11.96 ms
236                    8.90 ms
237                    9.84 ms
238                    3.78 ms
239                   20.73 ms
240                   26.65 ms
241                   10.60 ms
242                    9.52 ms
243                    5.47 ms
244                   22.39 ms
245                   19.33 ms
246                   10.27 ms
247                   14.20 ms
248                   13.16 ms
249                    7.09 ms
250                   14.02 ms
251                   19.97 ms
252                   21.90 ms
253                    5.85 ms
254                   11.76 ms
255                   15.70 ms
256                   14.65 ms
257                    8.59 ms
258                   15.52 ms
259                   16.47 ms
260                   10.40 ms
261                   10.34 ms
262                    8.29 ms
263                   18.22 ms
264                   17.14 ms
265                   10.08 ms
266                    4.02 ms
267                   17.96 ms
268                   12.91 ms
269                    5.83 ms
270                   20.77 ms
271                    4.73 ms
272                   17.67 ms
273                   17.60 ms
274                   18.53 ms
275                   21.47 ms
276                    8.40 ms
277                    8.34 ms
278                   19.29 ms
279                    5.22 ms
280                   19.18 ms
281                   13.09 ms
282                   10.03 ms
283                   10.96 ms
284                    4.90 ms
285                   18.83 ms
286                   14.78 ms
287                   11.71 ms
288                   10.65 ms
289                   10.59 ms
290                    9.52 ms
291                   13.47 ms
292                    6.40 ms
293                   20.32 ms
294                    4.28 ms
295                   18.16 ms
296                   14.08 ms
297                    8.01 ms
298                   19.93 ms
299                    3.87 ms
300                   18.78 ms
301                   11.69 ms
302                    8.64 ms
303                    9.57 ms
304                    8.52 ms
305                    8.46 ms
306                   12.40 ms
307                    5.32 ms
308                   19.27 ms
309                   14.19 ms
310                    7.13 ms
311                   19.06 ms
312                    5.00 ms
313                   20.95 ms
314                   12.88 ms
315                    6.82 ms
316                   19.75 ms
317                    4.68 ms
318                   18.63 ms
319                   12.57 ms
320                    7.51 ms
321                   20.45 ms
322                    4.41 ms
323                   18.33 ms
324                   12.28 ms
325                    6.19 ms
326                   20.13 ms
327                    5.08 ms
328                   18.02 ms
329                   11.94 ms
330                   10.89 ms
331                   11.83 ms
332                    3.76 ms
333                   17.71 ms
334                   17.65 ms
335                   18.58 ms
336                   21.52 ms
337                   13.46 ms
338                    7.39 ms
339                   19.33 ms
340                    8.28 ms
341                    9.23 ms
342                   18.15 ms
343                   17.08 ms
344                   17.04 ms
345                   15.96 ms
346                    8.90 ms
347                   12.87 ms
348                    8.78 ms
349                   19.70 ms
350                    6.65 ms
351                   21.58 ms
352                   19.52 ms
353                   11.46 ms
354                   12.40 ms
355                    4.33 ms
356                   18.27 ms
357                   19.21 ms
358                   16.16 ms
359                   10.08 ms
360                    7.02 ms
361                    7.96 ms
362                   19.91 ms
363                    7.85 ms
364                   27.80 ms
365                   13.72 ms
366                    9.66 ms
367                   12.59 ms
368                    7.53 ms
369                   20.46 ms
370                   13.40 ms
371                   13.35 ms
372                   12.29 ms
373                    5.22 ms
374                   19.14 ms
375                   18.08 ms
376                   17.02 ms
377                   10.96 ms
378                    4.88 ms
379                   21.82 ms
380                   19.75 ms
381                    6.69 ms
382                   19.63 ms
383                    4.57 ms
384                   23.50 ms
385                   23.46 ms
386                    8.38 ms
387                   20.31 ms
388                    4.27 ms
389                   23.19 ms
390                   19.13 ms
391                    6.08 ms
392                   20.03 ms
393                    5.96 ms
394                   17.90 ms
395                   12.83 ms
396                    5.75 ms
397                   19.69 ms
398                    3.65 ms
399                   18.60 ms
400                   11.51 ms
401                    8.43 ms
402                   14.37 ms
403                   13.32 ms
404                   13.25 ms
405                   11.19 ms
406                   10.13 ms
407                    9.08 ms
408                    8.00 ms
409                    6.94 ms
410                   19.87 ms
411                    4.81 ms
412                   18.76 ms
413                   12.68 ms
414                   11.62 ms
415                   11.57 ms
416                    4.49 ms
417                   21.44 ms
418                   19.36 ms
419                    6.31 ms
420                   20.24 ms
421                    4.19 ms
422                   18.13 ms
423                   12.07 ms
424                   12.99 ms
425                    9.94 ms
426                    3.87 ms
427                   19.81 ms
428                   11.75 ms
429                    5.69 ms
430                   19.64 ms
431                    4.56 ms
432                   19.50 ms
433                   11.44 ms
434                    5.36 ms
435                   22.30 ms
436                    6.26 ms
437                    7.17 ms
438                   19.11 ms
439                   10.05 ms
440                    8.99 ms
441                   19.92 ms
442                    6.86 ms
443                   19.79 ms
444                   10.74 ms
445                    8.66 ms
446                   14.61 ms
447                   18.55 ms
448                   10.47 ms
449                    4.44 ms
450                   18.38 ms
451                   13.29 ms
452                    6.22 ms
453                   20.18 ms
454                    4.13 ms
455                   21.05 ms
456                   19.98 ms
457                    5.92 ms
458                   20.87 ms
459                    8.79 ms
460                    7.73 ms
461                   16.67 ms
462                   18.62 ms
463                   19.57 ms
464                   19.49 ms
465                   17.44 ms
466                   16.35 ms
467                   15.29 ms
468                   14.24 ms
469                   18.18 ms
470                   17.11 ms
471                   16.04 ms
472                   14.98 ms
473                    8.93 ms
474                   19.85 ms
475                    6.86 ms
476                   19.75 ms
477                    5.69 ms
478                   18.62 ms
479                   12.54 ms
480                    6.48 ms
481                   20.40 ms
482                    4.35 ms
483                   19.27 ms
484                   14.21 ms
485                   16.14 ms
486                   10.08 ms
487                    4.02 ms
488                   17.96 ms
489                   11.89 ms
490                    6.83 ms
491                   19.77 ms
492                    3.72 ms
493                   27.64 ms
494                   19.58 ms
495                    6.50 ms
496                   19.45 ms
497                   13.37 ms
498                   12.32 ms
499                   13.26 ms
500                    5.19 ms
501                   24.11 ms
502                    8.07 ms
503                    6.99 ms
504                   19.92 ms
505                    4.86 ms
506                   18.80 ms
507                   12.74 ms
508                    6.66 ms
509                   19.60 ms
510                    4.54 ms
511                   18.49 ms
512                   13.43 ms
513                    6.35 ms
514                   20.29 ms
515                    4.24 ms
516                   22.17 ms
517                   19.10 ms
518                    6.05 ms
519                   20.98 ms
520                    8.92 ms
521                    7.85 ms
522                   19.79 ms
523                    5.73 ms
524                   20.69 ms
525                    5.62 ms
526                   23.56 ms
527                   19.49 ms
528                    7.44 ms
529                   19.38 ms
530                   13.30 ms
531                   10.24 ms
532                   11.18 ms
533                   10.13 ms
534                    9.07 ms
535                   12.99 ms
536                    6.95 ms
537                   19.87 ms
538                   10.82 ms
539                    9.76 ms
540                   12.68 ms
541                    7.63 ms
542                   19.55 ms
543                    4.49 ms
544                   21.44 ms
545                   23.39 ms
546                    7.34 ms
547                   20.25 ms
548                   10.20 ms
549                    9.12 ms
550                   16.06 ms
551                   17.00 ms
552                    9.92 ms
553                   10.86 ms
554                    7.79 ms
555                   11.74 ms
556                   11.68 ms
557                    9.60 ms
558                   20.54 ms
559                   20.49 ms
560                   22.44 ms
561                    6.39 ms
562                   19.30 ms
563                   13.24 ms
564                    9.18 ms
565                   11.11 ms
566                   11.06 ms
567                   10.99 ms
568                   13.94 ms
569                    6.87 ms
570                   19.79 ms
571                    4.73 ms
572                   25.66 ms
573                   19.60 ms
574                   10.53 ms
575                   11.49 ms
576                    6.42 ms
577                   18.36 ms
578                   14.30 ms
579                    6.23 ms
580                   20.17 ms
581                    4.13 ms
582                   20.05 ms
583                    4.01 ms
584                   19.92 ms
585                   19.85 ms
586                    3.81 ms
587                   19.74 ms
588                   11.67 ms
589                    6.63 ms
590                   19.54 ms
591                   16.48 ms
592                   17.42 ms
593                   16.35 ms
594                   15.29 ms
595                   15.24 ms
596                   14.17 ms
597                    7.10 ms
598                   20.04 ms
599                    4.99 ms
600                   18.93 ms
601                   12.85 ms
602                    6.77 ms
603                   19.71 ms
604                    7.66 ms
605                    8.58 ms
606                   19.52 ms
607                   11.46 ms
608                   10.41 ms
609                    4.34 ms
610                   20.28 ms
611                   12.21 ms
612                   12.16 ms
613                   12.10 ms
614                    4.03 ms
615                   17.96 ms
616                   14.91 ms
617                   17.84 ms
618                    9.76 ms
619                    3.71 ms
620                   17.64 ms
621                   14.58 ms
622                   18.54 ms
623                   22.46 ms
624                    6.41 ms
625                    7.33 ms
626                   19.29 ms
627                   17.22 ms
628                    9.14 ms
629                   13.09 ms
630                   12.02 ms
631                   10.98 ms
632                    6.90 ms
633                   18.83 ms
634                   15.77 ms
635                   16.70 ms
636                   10.64 ms
637                   13.58 ms
638                    8.52 ms
639                   12.48 ms
640                   10.39 ms
641                   10.33 ms
642                    9.26 ms
643                    8.21 ms
644                   19.15 ms
645                    6.08 ms
646                   20.03 ms
647                    3.99 ms
648                   17.91 ms
649                   11.83 ms
650                    5.77 ms
651                   19.71 ms
652                    3.66 ms
653                   17.60 ms
654                   16.53 ms
655                   17.47 ms
656                    9.40 ms
657                    9.35 ms
658                    8.30 ms
659                   11.22 ms
660                    8.16 ms
661                   14.09 ms
662                   18.03 ms
663                   16.98 ms
664                   10.90 ms
665                   10.85 ms
666                   10.79 ms
667                   14.73 ms
668                   16.64 ms
669                   17.57 ms
670                   15.51 ms
671                    8.42 ms
672                   12.36 ms
673                    6.29 ms
674                   20.24 ms
675                    4.19 ms
676                   25.10 ms
677                   20.05 ms
678                    5.98 ms
679                   19.92 ms
680                    3.87 ms
681                   19.80 ms
682                   12.73 ms
683                    5.66 ms
684                   19.62 ms
685                   18.54 ms
686                   19.47 ms
687                   11.43 ms
688                   11.35 ms
689                    9.28 ms
690                   13.23 ms
691                    7.16 ms
692                   12.10 ms
693                    5.02 ms
694                   18.98 ms
695                   16.90 ms
696                   21.84 ms
697                   19.77 ms
698                    4.71 ms
699                   18.66 ms
