Label                  Latency
1                     20.25 ms
2                     14.07 ms
3                      8.01 ms
4                     10.94 ms
5                      4.88 ms
6                     19.82 ms
7                     12.76 ms
8                      7.70 ms
9                     10.64 ms
10                     4.57 ms
11                    18.51 ms
12                    12.45 ms
13                     7.39 ms
14                    11.33 ms
15                     4.26 ms
16                    19.20 ms
17                    13.14 ms
18                     7.08 ms
19                    11.02 ms
20                     3.95 ms
21                    18.89 ms
22                    12.83 ms
23                     6.77 ms
24                    19.71 ms
25                     3.66 ms
26                    18.59 ms
27                    11.52 ms
28                     5.46 ms
29                    19.40 ms
30                     4.33 ms
31                    18.27 ms
32                    11.21 ms
33                     5.15 ms
34                    19.09 ms
35                     4.02 ms
36                    17.97 ms
37                    11.90 ms
38                     5.84 ms
39                    19.78 ms
40                    12.72 ms
41                     6.65 ms
42                    10.60 ms
43                     5.53 ms
44                    18.47 ms
45                    13.41 ms
46                     6.35 ms
47                    10.29 ms
48                     4.22 ms
49                    19.16 ms
50                    12.10 ms
51                     6.04 ms
52                    19.98 ms
53                     4.91 ms
54                    17.85 ms
55                    12.79 ms
56                     5.73 ms
57                    19.66 ms
58                     4.60 ms
59                    18.54 ms
60                    12.48 ms
61                     5.42 ms
62                    19.36 ms
63                     3.30 ms
64                    17.22 ms
65                    12.15 ms
66                     5.09 ms
67                    20.02 ms
68                     3.97 ms
69                    17.90 ms
70                    11.84 ms
71                     4.77 ms
72                    19.72 ms
73                    13.65 ms
74                     6.59 ms
75                    10.53 ms
76                     4.46 ms
77                    19.40 ms
78                    12.34 ms
79                     6.28 ms
80                    10.23 ms
81                     4.16 ms
82                    19.09 ms
83                    12.03 ms
84                     5.97 ms
85                    19.91 ms
86                     3.85 ms
87                    18.78 ms
88                    12.72 ms
89                     5.65 ms
90                    19.59 ms
91                     4.53 ms
92                    18.47 ms
93                    11.42 ms
94                     5.35 ms
95                    19.28 ms
96                     4.22 ms
97                    18.16 ms
98                    12.10 ms
99                     5.03 ms
100                   19.97 ms
101                    3.93 ms
102                   17.84 ms
103                   10.77 ms
104                    4.71 ms
105                   18.66 ms
106                   13.60 ms
107                    6.53 ms
108                   10.47 ms
109                    4.41 ms
110                   18.35 ms
111                   13.28 ms
112                    6.22 ms
113                   11.16 ms
114                    4.10 ms
115                   19.04 ms
116                   11.97 ms
117                    5.91 ms
118                   19.85 ms
119                    3.80 ms
120                   17.73 ms
121                   12.66 ms
122                    5.60 ms
123                   19.55 ms
124                    4.48 ms
125                   18.42 ms
126                   11.35 ms
127                    5.28 ms
128                   19.22 ms
129                    3.17 ms
130                   17.10 ms
131                   12.04 ms
132                    4.98 ms
133                   19.92 ms
134                   12.86 ms
135                    6.79 ms
136                   10.74 ms
137                    4.68 ms
138                   19.61 ms
139                   13.55 ms
140                    6.49 ms
141                   10.43 ms
142                    4.37 ms
143                   18.30 ms
144                   13.25 ms
145                    7.18 ms
146                   10.12 ms
147                    5.06 ms
148                   19.00 ms
149                   11.94 ms
150                    6.88 ms
151                   19.81 ms
152                    3.76 ms
153                   18.69 ms
154                   12.63 ms
155                    5.57 ms
156                   19.51 ms
157                    3.46 ms
158                   17.39 ms
159                   11.32 ms
