Label                  Latency
1                     43.83 ms
2                     52.73 ms
3                     42.66 ms
4                     32.58 ms
5                     25.52 ms
6                     21.45 ms
7                     19.39 ms
8                     11.33 ms
9                     10.26 ms
10                    15.18 ms
11                    19.11 ms
12                    17.07 ms
13                    11.97 ms
14                     9.91 ms
15                     9.84 ms
16                    12.78 ms
17                    19.71 ms
18                     7.64 ms
19                    11.57 ms
20                    10.51 ms
21                     8.46 ms
22                    11.37 ms
23                    10.31 ms
24                    14.25 ms
25                    13.17 ms
26                    12.11 ms
27                     8.05 ms
28                     7.98 ms
29                     6.91 ms
30                     7.84 ms
31                     7.77 ms
32                    14.71 ms
33                     9.64 ms
34                     6.58 ms
35                    11.50 ms
36                    11.45 ms
37                    15.38 ms
38                    14.31 ms
39                    18.25 ms
40                    20.19 ms
41                    19.12 ms
42                     7.05 ms
43                    19.04 ms
44                    12.91 ms
45                    15.84 ms
46                    10.78 ms
47                     6.71 ms
48                    18.65 ms
49                    15.57 ms
50                     8.51 ms
51                    20.44 ms
52                     6.38 ms
53                     8.32 ms
54                    14.25 ms
55                    19.19 ms
56                     7.11 ms
57                    19.04 ms
58                    20.98 ms
59                    23.91 ms
60                    10.84 ms
61                    11.79 ms
62                    19.72 ms
63                    17.64 ms
64                    11.57 ms
65                     5.50 ms
66                    19.44 ms
67                    18.35 ms
68                    24.28 ms
69                    19.21 ms
70                     5.15 ms
71                    19.07 ms
72                    15.01 ms
73                     8.95 ms
74                     6.87 ms
75                     5.82 ms
76                    13.73 ms
77                    17.67 ms
78                    22.60 ms
79                     9.53 ms
80                    21.47 ms
81                    22.40 ms
82                    21.33 ms
83                    12.28 ms
84                    16.21 ms
85                    14.14 ms
86                     8.07 ms
87                    10.00 ms
88                     6.93 ms
89                    21.86 ms
90                     6.80 ms
91                     9.74 ms
92                     6.65 ms
93                     5.60 ms
94                    19.52 ms
95                     5.45 ms
96                    13.38 ms
97                    16.32 ms
98                    21.25 ms
99                    19.20 ms
100                   13.16 ms
101                   12.04 ms
102                   15.97 ms
103                   14.91 ms
104                    8.84 ms
105                    9.77 ms
106                    6.73 ms
107                   19.64 ms
108                    5.57 ms
109                    5.51 ms
110                   12.44 ms
111                    6.37 ms
112                   20.31 ms
113                    7.26 ms
114                    8.17 ms
115                    5.12 ms
116                    9.03 ms
117                   14.96 ms
118                   18.90 ms
119                   22.85 ms
120                    8.76 ms
121                   12.70 ms
122                   14.63 ms
123                   13.57 ms
124                   14.50 ms
125                   11.44 ms
126                   20.37 ms
127                    6.30 ms
128                   19.23 ms
129                   17.16 ms
130                   11.10 ms
131                   10.02 ms
132                    8.96 ms
133                   17.88 ms
134                   16.84 ms
135                   10.76 ms
136                   10.69 ms
137                   13.61 ms
138                   12.55 ms
139                    9.50 ms
140                   20.42 ms
141                    5.36 ms
142                   19.31 ms
143                   14.22 ms
144                    8.17 ms
145                   20.10 ms
146                    6.03 ms
147                   12.96 ms
148                   17.90 ms
149                   18.83 ms
150                   21.76 ms
151                   10.70 ms
152                   19.62 ms
153                    6.55 ms
154                   17.49 ms
155                   11.44 ms
156                    5.36 ms
157                   10.28 ms
158                   13.22 ms
159                   15.16 ms
160                   14.08 ms
161                   13.03 ms
162                    8.96 ms
163                   20.89 ms
164                    7.83 ms
165                    8.76 ms
166                   12.69 ms
167                   12.63 ms
168                   10.56 ms
169                   17.49 ms
170                   18.43 ms
171                   17.35 ms
172                   21.30 ms
173                   27.23 ms
174                   11.19 ms
175                    8.09 ms
176                   12.03 ms
177                    7.97 ms
178                    9.90 ms
179                    4.83 ms
180                   18.77 ms
181                   13.70 ms
182                    7.63 ms
183                   20.57 ms
184                   13.50 ms
185                    9.42 ms
186                   16.36 ms
187                   15.30 ms
188                   15.24 ms
189                   13.18 ms
190                    9.11 ms
191                   20.04 ms
192                    6.97 ms
193                   13.90 ms
194                   17.84 ms
195                   16.78 ms
196                   15.70 ms
197                   15.70 ms
198                   10.62 ms
199                   10.57 ms
200                    7.50 ms
201                   21.41 ms
202                    7.34 ms
203                   12.27 ms
204                    5.22 ms
205                    6.15 ms
206                   20.07 ms
207                    5.00 ms
208                   17.95 ms
209                   18.87 ms
210                   15.81 ms
211                    9.74 ms
212                   18.67 ms
213                   17.61 ms
214                   22.54 ms
215                   20.47 ms
216                   21.41 ms
217                   18.33 ms
218                   17.27 ms
219                   16.20 ms
220                   15.14 ms
221                    9.07 ms
222                    9.00 ms
223                    6.93 ms
224                   19.87 ms
225                    5.80 ms
226                   13.74 ms
227                   12.68 ms
228                   16.62 ms
229                   10.54 ms
230                   14.49 ms
231                    8.42 ms
232                   12.36 ms
233                    7.28 ms
234                   20.21 ms
235                    5.16 ms
236                   18.09 ms
237                   13.03 ms
238                    5.94 ms
239                   26.88 ms
240                   10.85 ms
241                    8.76 ms
242                    4.68 ms
243                    5.62 ms
244                   19.55 ms
245                   14.49 ms
246                   13.41 ms
247                   16.34 ms
248                   22.28 ms
249                    7.23 ms
250                   18.14 ms
251                   17.08 ms
252                   16.00 ms
253                   17.95 ms
254                   18.85 ms
