Label                  Latency
1                     31.61 ms
2                     15.59 ms
3                     11.46 ms
4                     15.39 ms
5                      9.33 ms
6                     10.28 ms
7                     11.22 ms
8                     11.16 ms
9                     20.08 ms
10                    16.04 ms
11                    10.03 ms
12                     8.91 ms
13                    14.84 ms
14                    19.79 ms
15                    19.71 ms
16                    19.64 ms
17                     3.60 ms
18                    18.49 ms
19                    20.44 ms
20                    20.36 ms
21                    20.28 ms
22                     4.24 ms
23                    17.15 ms
24                    11.09 ms
25                     8.02 ms
26                    11.94 ms
27                     5.88 ms
28                    21.84 ms
29                    20.78 ms
30                     4.73 ms
31                    23.64 ms
32                    30.58 ms
33                    14.55 ms
34                    15.46 ms
35                    22.40 ms
36                    27.34 ms
37                    11.31 ms
38                    11.22 ms
39                    12.17 ms
40                     7.09 ms
41                    18.04 ms
42                    20.01 ms
43                    15.94 ms
44                    10.87 ms
45                     7.86 ms
46                     7.78 ms
47                    11.71 ms
48                     5.66 ms
49                    23.59 ms
50                     7.55 ms
51                     7.47 ms
52                    12.41 ms
53                     6.35 ms
54                    32.27 ms
55                    16.22 ms
56                    18.17 ms
57                    14.09 ms
58                     5.04 ms
59                    20.00 ms
60                     3.96 ms
61                    16.88 ms
62                    13.86 ms
63                    14.80 ms
64                     9.72 ms
65                     7.65 ms
66                     7.61 ms
67                    10.53 ms
68                     4.46 ms
69                    30.39 ms
70                    22.34 ms
71                     6.29 ms
72                    10.22 ms
73                     4.15 ms
74                    29.08 ms
75                    13.03 ms
76                    11.00 ms
77                    12.93 ms
78                     3.86 ms
79                    18.83 ms
80                    12.76 ms
81                    13.69 ms
82                    10.64 ms
83                     6.54 ms
84                    24.47 ms
85                    21.40 ms
86                     5.33 ms
87                    33.26 ms
88                    17.20 ms
89                    29.11 ms
90                    22.04 ms
91                     6.01 ms
92                    34.94 ms
93                    18.88 ms
94                    16.84 ms
95                    10.77 ms
96                     9.70 ms
97                     8.65 ms
98                    12.58 ms
99                     9.52 ms
100                   21.45 ms
101                    5.43 ms
102                   23.31 ms
103                   22.25 ms
104                    6.20 ms
105                   20.13 ms
106                    4.07 ms
107                   19.00 ms
108                   16.92 ms
109                   16.85 ms
110                   28.79 ms
111                   23.72 ms
112                    7.67 ms
113                   22.58 ms
114                    6.54 ms
115                   23.46 ms
116                    7.40 ms
117                    8.33 ms
118                   11.28 ms
119                   12.21 ms
120                    9.15 ms
121                    6.08 ms
122                   24.02 ms
123                   21.91 ms
124                    5.86 ms
125                   26.83 ms
126                   10.78 ms
127                   10.71 ms
128                   16.66 ms
129                   23.60 ms
130                   21.52 ms
131                   16.48 ms
132                   17.39 ms
133                   12.33 ms
134                    4.28 ms
135                   27.19 ms
136                   23.13 ms
137                    7.08 ms
138                   27.00 ms
139                   10.93 ms
140                    9.85 ms
141                    4.77 ms
142                   16.70 ms
143                   18.64 ms
144                   13.57 ms
145                    8.49 ms
146                   11.42 ms
147                   20.34 ms
148                   19.27 ms
149                    3.21 ms
150                   18.15 ms
151                   11.08 ms
152                    9.01 ms
153                    9.94 ms
154                    5.86 ms
155                   19.83 ms
156                   10.77 ms
157                    4.71 ms
158                   24.64 ms
159                   22.58 ms
160                    6.54 ms
161                   10.45 ms
162                    5.38 ms
163                   21.32 ms
164                   12.26 ms
165                    6.20 ms
166                   19.13 ms
167                   15.09 ms
168                   16.00 ms
169                   14.93 ms
170                    5.87 ms
171                   19.84 ms
172                    3.78 ms
173                   17.65 ms
174                   11.58 ms
175                   12.51 ms
176                    9.46 ms
177                    3.40 ms
178                   31.33 ms
179                   15.28 ms
180                   15.23 ms
181                   17.15 ms
182                   22.09 ms
183                   19.97 ms
184                   13.93 ms
185                   14.87 ms
186                   14.80 ms
187                   14.73 ms
188                    8.66 ms
189                   17.59 ms
190                   17.54 ms
191                   11.47 ms
192                   14.40 ms
193                   11.35 ms
194                   10.29 ms
195                    7.22 ms
196                   23.15 ms
197                    7.10 ms
198                    7.04 ms
199                   10.01 ms
200                    3.94 ms
201                   21.86 ms
202                   21.78 ms
203                    5.72 ms
204                   19.64 ms
205                    3.59 ms
206                   18.53 ms
207                   14.45 ms
208                    5.39 ms
209                   19.33 ms
210                    3.29 ms
211                   18.18 ms
212                   12.12 ms
213                    5.06 ms
214                   19.01 ms
215                    2.95 ms
216                   17.87 ms
217                   16.85 ms
218                   14.79 ms
219                   10.72 ms
220                   13.65 ms
221                   19.59 ms
222                   10.54 ms
223                    5.47 ms
224                   18.41 ms
225                   12.36 ms
226                    6.29 ms
227                   20.22 ms
228                    4.17 ms
229                   21.10 ms
230                   15.04 ms
231                    5.93 ms
232                   17.86 ms
233                   17.86 ms
234                   18.77 ms
235                   11.72 ms
236                   18.66 ms
237                    9.59 ms
238                    3.54 ms
239                   29.47 ms
240                   25.42 ms
241                    9.37 ms
242                   11.29 ms
243                    7.22 ms
244                   10.16 ms
245                   25.12 ms
246                    9.10 ms
247                    9.02 ms
248                    6.95 ms
249                    6.87 ms
250                   14.84 ms
251                   17.78 ms
252                   18.63 ms
253                   12.56 ms
254                   10.49 ms
255                   11.41 ms
256                    6.34 ms
257                   18.28 ms
258                   26.18 ms
259                   26.14 ms
260                   10.10 ms
261                    8.00 ms
262                   10.94 ms
263                   11.87 ms
264                    8.83 ms
265                   22.76 ms
266                    6.70 ms
267                   17.64 ms
268                   13.58 ms
269                    5.52 ms
270                   19.45 ms
271                    3.41 ms
272                   17.32 ms
