Label                  Latency
1                     93.76 ms
2                    127.67 ms
3                    166.55 ms
4                    184.52 ms
5                    206.42 ms
6                    230.36 ms
7                    248.30 ms
8                    260.24 ms
9                    279.19 ms
10                   289.11 ms
11                   307.06 ms
12                   313.98 ms
13                   325.94 ms
14                   336.84 ms
15                   346.78 ms
16                   352.75 ms
17                   360.65 ms
18                   372.60 ms
19                   373.53 ms
20                   385.47 ms
21                   384.41 ms
22                   393.34 ms
23                   395.28 ms
24                   411.22 ms
25                   412.17 ms
26                   411.12 ms
27                   420.03 ms
28                   418.96 ms
29                   420.88 ms
30                   420.81 ms
31                   417.77 ms
32                   426.68 ms
33                   423.61 ms
34                   420.54 ms
35                   418.47 ms
36                   423.43 ms
37                   420.34 ms
38                   417.29 ms
39                   414.25 ms
40                   410.15 ms
41                   407.08 ms
42                   407.02 ms
43                   402.96 ms
44                   399.89 ms
45                   395.84 ms
46                   392.77 ms
47                   389.72 ms
48                   385.67 ms
49                   381.58 ms
50                   378.51 ms
51                   375.44 ms
52                   371.38 ms
53                   367.31 ms
54                   363.25 ms
55                   359.18 ms
56                   354.12 ms
57                   350.05 ms
58                   345.98 ms
59                   341.92 ms
60                   337.86 ms
61                   332.78 ms
62                   327.74 ms
63                   322.66 ms
64                   318.59 ms
65                   312.53 ms
66                   308.46 ms
67                   303.39 ms
68                   298.33 ms
69                   293.28 ms
70                   289.21 ms
71                   283.17 ms
72                   277.07 ms
73                   271.01 ms
74                   265.93 ms
75                   259.88 ms
76                   254.81 ms
77                   249.74 ms
78                   243.67 ms
79                   237.62 ms
80                   231.55 ms
81                   225.49 ms
82                   219.42 ms
83                   214.34 ms
84                   207.30 ms
85                   201.22 ms
86                   195.16 ms
87                   189.10 ms
88                   183.02 ms
89                   178.95 ms
90                   170.89 ms
91                   164.82 ms
92                   157.76 ms
93                   151.69 ms
94                   144.63 ms
95                   138.56 ms
96                   131.50 ms
97                   125.45 ms
98                   119.37 ms
99                   113.30 ms
100                  105.25 ms
101                   99.16 ms
102                   92.08 ms
103                   85.02 ms
104                   77.96 ms
105                   71.89 ms
106                   65.82 ms
107                   57.76 ms
108                   78.80 ms
109                   62.78 ms
110                   46.76 ms
111                   30.74 ms
112                   24.42 ms
113                   20.34 ms
114                   13.29 ms
115                   15.21 ms
116                   20.15 ms
117                   12.09 ms
118                   15.02 ms
119                   12.95 ms
120                   15.95 ms
121                   16.82 ms
122                   19.76 ms
123                   12.71 ms
124                   12.64 ms
125                   13.57 ms
126                   19.49 ms
127                   13.42 ms
128                   14.35 ms
129                   18.29 ms
130                   20.22 ms
131                   12.16 ms
132                   13.10 ms
133                   14.03 ms
134                   17.96 ms
135                   19.90 ms
136                   11.85 ms
137                   12.78 ms
138                   14.70 ms
139                   13.64 ms
140                   12.58 ms
141                   18.50 ms
142                   12.45 ms
143                   16.41 ms
144                   13.33 ms
145                   13.24 ms
146                   16.18 ms
147                   19.12 ms
148                   16.05 ms
149                   12.96 ms
150                   12.87 ms
