Label                  Latency
1                    127.02 ms
2                    173.92 ms
3                    214.85 ms
4                    247.77 ms
5                    256.94 ms
6                    283.88 ms
7                    309.82 ms
8                    336.75 ms
9                    350.69 ms
10                   364.64 ms
11                   392.58 ms
12                   340.96 ms
13                   347.92 ms
14                   354.83 ms
15                   370.78 ms
16                   377.69 ms
17                   388.63 ms
18                   394.61 ms
19                   353.96 ms
20                   361.89 ms
21                   362.81 ms
22                   369.76 ms
23                   383.69 ms
24                   377.63 ms
25                   377.56 ms
26                   386.52 ms
27                   389.47 ms
28                   326.92 ms
29                   333.87 ms
30                   330.82 ms
31                   337.76 ms
32                   333.67 ms
33                   332.62 ms
34                   328.60 ms
35                   332.52 ms
36                   334.43 ms
37                   330.36 ms
38                   330.30 ms
39                   328.25 ms
40                   323.18 ms
41                   323.13 ms
42                   319.05 ms
43                   295.91 ms
44                   290.89 ms
45                   284.79 ms
46                   282.78 ms
47                   279.71 ms
48                   275.60 ms
49                   269.56 ms
50                   264.47 ms
51                   259.43 ms
52                   254.37 ms
53                   248.29 ms
54                   243.22 ms
55                   238.17 ms
56                   233.09 ms
57                   229.03 ms
58                   223.96 ms
59                   217.94 ms
60                   212.84 ms
61                   206.78 ms
62                   200.72 ms
63                   194.65 ms
64                   189.62 ms
65                   182.56 ms
66                   177.46 ms
67                   170.41 ms
68                   165.33 ms
69                   158.25 ms
70                   152.18 ms
71                   146.10 ms
72                   140.04 ms
73                   132.94 ms
74                   125.87 ms
75                   117.80 ms
76                   110.74 ms
77                   104.67 ms
78                    98.59 ms
79                    92.51 ms
80                    84.50 ms
81                    78.40 ms
82                    70.30 ms
83                    63.26 ms
84                    57.16 ms
85                    50.08 ms
86                    42.05 ms
87                    33.96 ms
88                    35.89 ms
89                    32.85 ms
90                    43.75 ms
91                    42.66 ms
92                    33.61 ms
93                    32.54 ms
94                    32.50 ms
95                    40.40 ms
96                    33.30 ms
97                    38.23 ms
98                    40.17 ms
99                    31.13 ms
100                   33.05 ms
101                   36.95 ms
102                   36.86 ms
103                   39.82 ms
104                   35.72 ms
105                   44.67 ms
106                   43.57 ms
107                   37.51 ms
108                   29.44 ms
109                   35.38 ms
110                   45.32 ms
111                   43.22 ms
112                   37.16 ms
113                   31.08 ms
114                   32.01 ms
115                   46.93 ms
116                   37.87 ms
117                   36.79 ms
118                   40.74 ms
119                   37.64 ms
120                   48.57 ms
121                   38.50 ms
122                   36.43 ms
123                   30.36 ms
124                   34.28 ms
125                   43.23 ms
126                   42.15 ms
127                   36.09 ms
128                   45.01 ms
129                   41.94 ms
130                   32.87 ms
131                   31.78 ms
132                   35.72 ms
133                   44.64 ms
134                   41.58 ms
135                   32.57 ms
136                   34.45 ms
137                   35.36 ms
138                   43.30 ms
139                   41.24 ms
140                   32.20 ms
141                   31.07 ms
142                   43.00 ms
143                   33.91 ms
144                   35.84 ms
145                   32.74 ms
146                   49.67 ms
147                   40.60 ms
148                   36.53 ms
149                   27.47 ms
150                   35.38 ms
151                   43.32 ms
152                   42.24 ms
153                   33.20 ms
154                   32.11 ms
155                   31.00 ms
156                   29.93 ms
157                   28.89 ms
158                   32.81 ms
159                   46.75 ms
160                   43.65 ms
161                   34.59 ms
162                   41.53 ms
163                   44.43 ms
164                   50.37 ms
165                   49.29 ms
166                   41.23 ms
167                   34.15 ms
168                   45.08 ms
169                   44.01 ms
170                   35.94 ms
171                   53.89 ms
172                   45.79 ms
173                   41.72 ms
174                   38.68 ms
175                   44.57 ms
176                   43.50 ms
177                   35.46 ms
178                   39.38 ms
179                   46.32 ms
180                   54.22 ms
181                   60.15 ms
182                   55.07 ms
183                   47.99 ms
184                   39.93 ms
185                   38.86 ms
186                   36.78 ms
187                   38.70 ms
188                   50.65 ms
189                   42.58 ms
190                   46.49 ms
191                   45.42 ms
192                   49.35 ms
193                   53.28 ms
194                   44.22 ms
195                   35.16 ms
196                   40.05 ms
197                   37.98 ms
198                   54.91 ms
199                   53.85 ms
200                   49.80 ms
201                   41.69 ms
202                   35.61 ms
203                   26.55 ms
204                   45.47 ms
205                   42.40 ms
206                   33.33 ms
207                   43.27 ms
208                   41.23 ms
209                   33.15 ms
210                   25.05 ms
211                   30.98 ms
212                   29.90 ms
213                   40.83 ms
214                   40.76 ms
215                   45.68 ms
216                   43.60 ms
217                   37.53 ms
218                   41.46 ms
219                   37.41 ms
220                   46.31 ms
221                   37.26 ms
222                   39.19 ms
223                   41.11 ms
224                   40.02 ms
225                   45.95 ms
226                   42.90 ms
227                   36.80 ms
228                   27.72 ms
229                   34.66 ms
230                   27.59 ms
231                   42.54 ms
232                   33.50 ms
233                   35.37 ms
234                   31.31 ms
235                   45.23 ms
236                   42.16 ms
237                   36.09 ms
238                   32.01 ms
239                   30.96 ms
240                   29.89 ms
241                   33.79 ms
242                   37.73 ms
243                   34.65 ms
244                   43.59 ms
245                   34.53 ms
246                   36.44 ms
