Label                  Latency
1                    118.03 ms
2                    135.93 ms
3                    145.83 ms
4                    173.81 ms
5                    175.96 ms
6                    189.88 ms
7                    208.82 ms
8                    210.77 ms
9                    226.70 ms
10                   236.67 ms
11                   244.57 ms
12                   248.50 ms
13                   173.94 ms
14                   177.88 ms
15                   181.81 ms
16                   182.75 ms
17                   181.69 ms
18                   183.62 ms
19                   186.57 ms
20                   188.51 ms
21                   187.46 ms
22                   189.41 ms
23                   190.33 ms
24                   189.26 ms
25                   189.19 ms
26                   187.14 ms
27                   186.07 ms
28                   183.05 ms
29                   183.94 ms
30                   180.90 ms
31                   179.82 ms
32                   177.77 ms
33                   174.73 ms
34                   173.64 ms
35                   170.57 ms
36                   169.50 ms
37                   165.44 ms
38                   162.36 ms
39                   159.28 ms
40                   157.22 ms
41                   154.14 ms
42                   151.06 ms
43                   148.99 ms
44                   145.92 ms
45                   141.85 ms
46                   138.78 ms
47                   134.71 ms
48                   129.65 ms
49                   125.57 ms
50                   121.54 ms
51                   118.42 ms
52                   114.35 ms
53                   108.29 ms
54                   104.20 ms
55                    98.12 ms
56                    93.08 ms
57                    88.98 ms
58                    84.90 ms
59                    79.83 ms
60                    75.75 ms
61                    69.69 ms
62                    63.62 ms
63                    60.53 ms
64                    53.47 ms
65                    49.39 ms
66                    44.33 ms
67                    39.25 ms
68                    37.17 ms
69                    48.10 ms
70                    41.03 ms
71                    38.95 ms
72                    32.90 ms
73                    35.81 ms
74                    47.74 ms
75                    44.68 ms
76                    38.61 ms
77                    33.52 ms
78                    36.45 ms
79                    38.39 ms
80                    30.31 ms
81                    33.26 ms
82                    32.18 ms
83                    34.10 ms
84                    45.03 ms
85                    43.92 ms
86                    42.89 ms
87                    35.79 ms
88                    41.71 ms
89                    39.63 ms
90                    36.56 ms
91                    37.49 ms
92                    46.45 ms
93                    43.35 ms
94                    39.27 ms
95                    33.20 ms
96                    37.13 ms
97                    45.05 ms
98                    44.98 ms
99                    38.92 ms
100                   32.85 ms
101                   29.77 ms
102                   30.68 ms
103                   30.63 ms
104                   48.59 ms
105                   40.46 ms
106                   39.39 ms
107                   33.32 ms
108                   39.24 ms
109                   38.17 ms
110                   32.10 ms
111                   36.03 ms
112                   39.96 ms
113                   38.89 ms
114                   37.83 ms
115                   31.75 ms
116                   45.68 ms
117                   37.61 ms
118                   43.53 ms
119                   40.45 ms
120                   48.37 ms
121                   40.30 ms
122                   37.23 ms
123                   28.16 ms
124                   35.08 ms
125                   49.00 ms
126                   39.94 ms
127                   36.86 ms
128                   27.80 ms
129                   39.71 ms
130                   45.64 ms
131                   42.58 ms
132                   33.51 ms
133                   42.46 ms
134                   39.36 ms
135                   50.29 ms
136                   47.21 ms
137                   50.15 ms
138                   50.07 ms
139                   57.00 ms
140                   55.93 ms
141                   54.91 ms
142                   53.78 ms
143                   47.74 ms
144                   50.64 ms
145                   50.58 ms
146                   49.50 ms
147                   48.43 ms
148                   46.35 ms
149                   50.28 ms
150                   47.21 ms
151                   46.13 ms
152                   47.06 ms
153                   43.99 ms
154                   44.91 ms
155                   41.85 ms
156                   42.77 ms
157                   39.70 ms
158                   53.63 ms
159                   55.55 ms
160                   59.47 ms
161                   53.42 ms
162                   53.33 ms
163                   53.25 ms
164                   53.18 ms
165                   51.10 ms
166                   50.03 ms
167                   48.96 ms
168                   49.90 ms
169                   48.82 ms
170                   56.74 ms
171                   54.68 ms
172                   54.60 ms
173                   54.53 ms
174                   66.46 ms
175                   58.39 ms
176                   56.31 ms
177                   56.23 ms
178                   58.15 ms
179                   56.08 ms
180                   55.01 ms
181                   51.93 ms
182                   52.86 ms
183                   53.78 ms
184                   52.71 ms
185                   51.62 ms
186                   48.56 ms
187                   47.48 ms
188                   49.40 ms
189                   46.32 ms
190                   46.25 ms
191                   43.18 ms
192                   47.13 ms
193                   48.04 ms
194                   43.96 ms
195                   45.88 ms
196                   44.81 ms
197                   44.75 ms
198                   45.67 ms
199                   43.58 ms
200                   41.49 ms
201                   42.38 ms
202                   43.30 ms
203                   47.24 ms
204                   44.17 ms
205                   45.08 ms
206                   44.02 ms
207                   43.95 ms
208                   46.86 ms
209                   48.79 ms
210                   45.73 ms
211                   46.64 ms
212                   44.58 ms
213                   46.51 ms
214                   46.43 ms
215                   46.35 ms
216                   46.28 ms
217                   45.22 ms
218                   45.13 ms
219                   41.06 ms
220                   42.00 ms
221                   40.92 ms
222                   45.84 ms
223                   43.77 ms
224                   40.71 ms
225                   39.63 ms
226                   49.55 ms
227                   46.48 ms
228                   41.41 ms
229                   40.34 ms
230                   40.26 ms
231                   44.18 ms
232                   42.10 ms
233                   38.05 ms
234                   38.95 ms
235                   40.89 ms
236                   41.81 ms
237                   48.74 ms
238                   57.66 ms
239                   71.59 ms
240                   76.51 ms
241                   84.44 ms
242                   88.38 ms
243                   95.29 ms
244                  100.22 ms
245                  105.15 ms
246                  114.08 ms
247                  120.99 ms
248                  126.92 ms
249                  133.84 ms
250                  138.77 ms
251                  142.70 ms
252                  149.62 ms
253                  156.56 ms
254                  162.48 ms
255                  170.40 ms
256                  173.33 ms
257                  182.27 ms
258                  186.18 ms
259                  195.16 ms
260                  204.07 ms
261                  210.98 ms
262                  221.91 ms
263                  225.84 ms
264                  233.74 ms
265                  239.68 ms
266                  247.63 ms
267                  254.52 ms
268                  258.44 ms
269                  265.39 ms
270                  271.32 ms
271                  278.23 ms
272                  283.18 ms
273                  290.10 ms
274                  296.03 ms
275                  301.94 ms
276                  304.89 ms
277                  313.77 ms
278                  317.69 ms
279                  321.68 ms
280                  329.59 ms
281                  333.49 ms
282                  339.40 ms
283                  344.33 ms
284                  351.25 ms
285                  356.23 ms
286                  363.12 ms
287                  370.01 ms
288                  373.95 ms
289                  379.86 ms
290                  386.78 ms
291                  392.72 ms
292                  397.64 ms
293                  403.57 ms
294                  409.49 ms
295                  413.48 ms
296                  420.36 ms
297                  424.32 ms
298                  433.22 ms
299                  437.12 ms
300                  519.08 ms
301                  503.11 ms
302                  487.09 ms
303                  471.06 ms
304                  464.78 ms
305                  468.68 ms
306                  474.61 ms
307                  480.52 ms
308                  487.43 ms
309                  491.35 ms
310                  497.28 ms
311                  503.20 ms
312                  510.17 ms
313                  514.11 ms
314                  521.05 ms
315                  526.95 ms
316                  533.87 ms
317                  537.78 ms
318                  541.71 ms
319                  548.62 ms
320                  556.54 ms
321                  560.48 ms
322                  567.47 ms
323                  576.37 ms
324                  580.27 ms
325                  586.20 ms
326                  592.12 ms
327                  599.04 ms
328                  602.97 ms
329                  611.89 ms
330                  616.81 ms
331                  624.74 ms
332                  629.69 ms
333                  637.62 ms
334                  644.55 ms
335                  650.43 ms
336                  656.34 ms
337                  663.27 ms
338                  670.18 ms
339                  677.10 ms
340                  681.07 ms
341                  686.97 ms
342                  693.91 ms
343                  697.80 ms
344                  702.73 ms
345                  709.64 ms
346                  713.60 ms
347                  718.53 ms
348                  722.47 ms
349                  730.36 ms
350                  736.28 ms
351                  746.21 ms
352                  752.16 ms
353                  759.09 ms
354                  762.98 ms
355                  770.89 ms
356                  777.82 ms
357                  782.74 ms
358                  788.69 ms
359                  791.60 ms
360                  799.52 ms
361                  802.46 ms
362                  809.38 ms
363                  815.32 ms
364                  820.20 ms
365                  826.16 ms
366                  833.08 ms
367                  836.02 ms
368                  842.89 ms
369                  845.83 ms
370                  852.74 ms
371                  858.69 ms
372                  862.62 ms
373                  868.54 ms
374                  873.44 ms
375                  881.36 ms
376                  886.28 ms
377                  890.24 ms
378                  897.17 ms
379                  902.04 ms
380                  907.97 ms
381                  911.89 ms
382                  917.82 ms
383                  922.73 ms
384                  927.67 ms
385                  933.57 ms
386                  937.50 ms
387                  944.45 ms
388                  948.39 ms
389                  955.29 ms
390                  961.23 ms
391                  966.11 ms
392                  971.03 ms
393                  975.98 ms
394                  982.86 ms
395                  986.79 ms
396                  991.71 ms
397                  998.63 ms
398                 1003.55 ms
399                 1007.47 ms
400                 1012.44 ms
401                 1019.31 ms
402                 1023.26 ms
403                 1032.17 ms
404                 1036.08 ms
405                 1043.01 ms
406                 1050.91 ms
407                 1055.88 ms
408                 1063.75 ms
409                 1070.68 ms
410                 1079.59 ms
411                 1085.55 ms
412                 1090.48 ms
413                 1097.37 ms
414                 1104.28 ms
415                 1112.21 ms
416                 1119.12 ms
417                 1125.11 ms
418                 1130.98 ms
419                 1137.89 ms
420                 1143.85 ms
421                 1150.76 ms
422                 1156.70 ms
423                 1160.59 ms
424                 1165.50 ms
425                 1171.43 ms
426                 1176.34 ms
427                 1181.29 ms
428                 1188.18 ms
429                 1192.10 ms
430                 1198.02 ms
431                 1203.91 ms
432                 1208.87 ms
433                 1213.77 ms
434                 1216.73 ms
435                 1224.59 ms
436                 1230.51 ms
437                 1235.45 ms
438                 1239.39 ms
439                 1246.30 ms
440                 1251.21 ms
441                 1256.19 ms
442                 1261.08 ms
443                 1266.98 ms
444                 1272.91 ms
445                 1278.82 ms
446                 1282.74 ms
447                 1289.67 ms
448                 1295.58 ms
449                 1302.56 ms
450                 1309.44 ms
451                 1316.35 ms
452                 1322.31 ms
453                 1331.23 ms
454                 1337.13 ms
455                 1344.03 ms
456                 1350.95 ms
457                 1358.88 ms
458                 1365.80 ms
459                 1371.72 ms
