Label                  Latency
1                     80.97 ms
2                     95.87 ms
3                     95.78 ms
4                    114.74 ms
5                    106.96 ms
6                    127.86 ms
7                    143.81 ms
8                    155.74 ms
9                    156.68 ms
10                   171.60 ms
11                   177.51 ms
12                   172.45 ms
13                   183.38 ms
14                   139.93 ms
15                   151.87 ms
16                   160.81 ms
17                   157.73 ms
18                   163.67 ms
19                   163.62 ms
20                   161.54 ms
21                   160.50 ms
22                   158.42 ms
23                   149.35 ms
24                   140.30 ms
25                   104.93 ms
26                   110.87 ms
27                   105.81 ms
28                    94.73 ms
29                    95.68 ms
30                    98.60 ms
31                    97.54 ms
32                    87.48 ms
33                    88.41 ms
34                    80.34 ms
35                    81.28 ms
36                    68.22 ms
37                    67.15 ms
38                    59.08 ms
39                    54.02 ms
40                    45.97 ms
41                    39.89 ms
42                    28.85 ms
43                    27.74 ms
44                    31.67 ms
45                    36.61 ms
46                    34.55 ms
47                    28.47 ms
48                    42.38 ms
49                    41.31 ms
50                    38.23 ms
51                    29.16 ms
52                    33.09 ms
53                    32.03 ms
54                    40.94 ms
55                    39.88 ms
56                    25.79 ms
57                    52.73 ms
58                    48.64 ms
59                    35.58 ms
60                    34.50 ms
61                    38.42 ms
62                    37.36 ms
63                    47.26 ms
64                    35.21 ms
65                    37.11 ms
66                    28.04 ms
67                    31.99 ms
68                    46.90 ms
69                    44.82 ms
70                    30.76 ms
71                    37.68 ms
72                    39.60 ms
73                    26.54 ms
74                    27.47 ms
75                    35.38 ms
76                    50.31 ms
77                    39.25 ms
78                    40.16 ms
79                    39.09 ms
80                    39.02 ms
81                    46.93 ms
82                    45.86 ms
83                    39.78 ms
84                    40.71 ms
85                    42.63 ms
86                    41.55 ms
87                    45.49 ms
88                    41.41 ms
89                    43.33 ms
90                    38.27 ms
91                    33.20 ms
92                    45.14 ms
93                    41.05 ms
94                    42.96 ms
95                    52.91 ms
96                    40.81 ms
97                    36.75 ms
98                    36.68 ms
99                    47.60 ms
100                   46.55 ms
101                   50.42 ms
102                   44.34 ms
103                   38.29 ms
104                   34.20 ms
105                   46.14 ms
106                   40.04 ms
107                   48.99 ms
108                   38.91 ms
109                   46.83 ms
110                   43.75 ms
111                   38.67 ms
112                   33.59 ms
113                   47.53 ms
114                   43.45 ms
115                   38.37 ms
116                   46.30 ms
117                   33.22 ms
118                   45.15 ms
119                   57.09 ms
120                   45.04 ms
121                   57.91 ms
122                   50.84 ms
123                   39.76 ms
124                   40.68 ms
125                   35.61 ms
126                   45.53 ms
127                   33.48 ms
128                   32.37 ms
129                   45.30 ms
130                   45.22 ms
131                   51.14 ms
132                   38.07 ms
133                   39.00 ms
134                   34.94 ms
135                   36.83 ms
136                   45.76 ms
137                   31.68 ms
138                   53.61 ms
139                   39.55 ms
140                   50.46 ms
141                   37.38 ms
142                   46.30 ms
143                   45.23 ms
144                   30.16 ms
145                   43.08 ms
146                   40.03 ms
147                   45.94 ms
148                   34.88 ms
149                   43.78 ms
150                   45.71 ms
151                   31.63 ms
152                   30.58 ms
153                   42.49 ms
154                   28.43 ms
155                   37.34 ms
156                   36.27 ms
157                   48.20 ms
158                   36.12 ms
159                   48.05 ms
160                   46.98 ms
161                   46.91 ms
162                   39.82 ms
163                   36.77 ms
164                   37.67 ms
165                   39.60 ms
166                   25.54 ms
167                   39.45 ms
168                   33.37 ms
169                   43.31 ms
170                   31.25 ms
171                   32.16 ms
172                   29.08 ms
173                   44.03 ms
174                   36.93 ms
175                   38.86 ms
176                   24.79 ms
177                   43.71 ms
178                   40.64 ms
179                   28.57 ms
180                   45.50 ms
181                   34.43 ms
182                   33.36 ms
183                   33.28 ms
184                   26.21 ms
185                   45.14 ms
186                   34.08 ms
187                   29.99 ms
188                   26.94 ms
189                   30.84 ms
190                   30.77 ms
191                   50.70 ms
192                   37.63 ms
193                   36.55 ms
194                   40.48 ms
195                   44.41 ms
196                   48.34 ms
197                   44.26 ms
198                   31.20 ms
199                   30.11 ms
200                   29.05 ms
201                   22.94 ms
202                   31.89 ms
203                   45.79 ms
204                   34.72 ms
205                   28.64 ms
206                   27.59 ms
207                   27.50 ms
208                   45.43 ms
209                   34.35 ms
210                   33.28 ms
211                   52.21 ms
212                   37.15 ms
213                   70.07 ms
214                   55.99 ms
215                   68.92 ms
216                   61.83 ms
217                   62.76 ms
218                   49.70 ms
219                   48.62 ms
220                   42.54 ms
221                   46.47 ms
222                   50.40 ms
223                   46.32 ms
224                   38.25 ms
225                   29.18 ms
226                   58.09 ms
227                   45.03 ms
228                   40.95 ms
229                   58.89 ms
230                   58.80 ms
231                   67.74 ms
232                   54.67 ms
233                   65.57 ms
234                   63.50 ms
235                   55.42 ms
236                   47.35 ms
237                   42.28 ms
238                   34.20 ms
239                   32.15 ms
240                   28.06 ms
241                   39.99 ms
242                   43.89 ms
243                   42.83 ms
244                   36.75 ms
245                   25.69 ms
246                   37.60 ms
247                   23.54 ms
248                   42.47 ms
249                   31.39 ms
250                   27.31 ms
251                   37.24 ms
252                   23.18 ms
253                   42.10 ms
254                   33.03 ms
255                   26.96 ms
256                   38.90 ms
257                   32.79 ms
258                   46.72 ms
259                   32.66 ms
260                   27.57 ms
261                   43.50 ms
262                   40.43 ms
263                   26.36 ms
264                   45.29 ms
265                   34.22 ms
266                   43.13 ms
267                   30.06 ms
268                   42.99 ms
269                   29.91 ms
270                   38.84 ms
271                   37.77 ms
272                   37.70 ms
273                   35.64 ms
274                   34.56 ms
275                   34.49 ms
276                   44.41 ms
277                   31.34 ms
278                   40.26 ms
279                   44.18 ms
280                   43.11 ms
281                   44.03 ms
282                   35.96 ms
283                   42.89 ms
284                   38.84 ms
285                   32.74 ms
286                   42.68 ms
287                   30.62 ms
288                   39.53 ms
289                   38.46 ms
290                   47.38 ms
291                   42.31 ms
292                   38.24 ms
293                   29.17 ms
294                   29.09 ms
295                   47.03 ms
296                   35.96 ms
297                   34.87 ms
298                   28.80 ms
299                   42.72 ms
300                   34.66 ms
301                   36.56 ms
302                   29.48 ms
303                   48.40 ms
304                   37.33 ms
305                   32.27 ms
306                   25.19 ms
307                   39.13 ms
308                   33.07 ms
309                   33.98 ms
310                   52.90 ms
311                   37.85 ms
312                   43.76 ms
