Label                  Latency
1                     87.99 ms
2                     85.88 ms
3                     96.81 ms
4                    111.74 ms
5                    128.95 ms
6                    132.89 ms
7                    141.82 ms
8                    130.76 ms
9                    144.69 ms
10                   133.63 ms
11                   153.57 ms
12                   151.49 ms
13                   150.42 ms
14                   112.94 ms
15                   121.87 ms
16                   120.80 ms
17                   110.73 ms
18                   111.65 ms
19                   107.60 ms
20                   111.53 ms
21                   117.47 ms
22                   114.41 ms
23                   125.34 ms
24                   125.28 ms
25                   122.22 ms
26                   115.15 ms
27                   104.09 ms
28                   103.03 ms
29                    97.97 ms
30                    87.90 ms
31                    75.84 ms
32                    79.78 ms
33                    75.71 ms
34                    62.64 ms
35                    60.59 ms
36                    49.52 ms
37                    46.46 ms
38                    37.40 ms
39                    24.33 ms
40                    30.26 ms
41                    29.18 ms
42                    50.11 ms
43                    37.06 ms
44                    38.97 ms
45                    29.90 ms
46                    33.83 ms
47                    37.77 ms
48                    41.68 ms
49                    35.61 ms
50                    29.54 ms
51                    33.47 ms
52                    32.40 ms
53                    26.33 ms
54                    45.28 ms
55                    34.20 ms
56                    30.14 ms
57                    27.06 ms
58                    31.00 ms
59                    34.92 ms
60                    39.85 ms
61                    37.78 ms
62                    39.71 ms
63                    30.64 ms
64                    29.55 ms
65                    30.48 ms
66                    45.42 ms
67                    31.35 ms
68                    27.26 ms
69                    44.19 ms
70                    33.11 ms
71                    42.05 ms
72                    40.96 ms
73                    34.89 ms
74                    29.82 ms
75                    50.74 ms
76                    36.68 ms
77                    32.58 ms
78                    44.51 ms
79                    38.43 ms
80                    34.36 ms
81                    31.29 ms
82                    48.22 ms
83                    34.15 ms
84                    48.06 ms
85                    41.97 ms
86                    37.90 ms
87                    31.82 ms
88                    43.75 ms
89                    37.67 ms
90                    31.61 ms
91                    27.53 ms
92                    47.46 ms
93                    33.39 ms
94                    27.31 ms
95                    49.24 ms
96                    35.18 ms
97                    29.10 ms
98                    51.01 ms
99                    36.96 ms
100                   32.87 ms
101                   31.77 ms
102                   46.71 ms
103                   32.64 ms
104                   41.56 ms
105                   40.48 ms
106                   36.41 ms
107                   30.34 ms
108                   37.26 ms
109                   36.18 ms
110                   30.11 ms
111                   44.04 ms
112                   37.97 ms
113                   31.90 ms
114                   45.82 ms
115                   39.75 ms
116                   33.68 ms
117                   28.60 ms
118                   48.53 ms
119                   35.45 ms
120                   31.38 ms
121                   28.31 ms
122                   45.29 ms
123                   31.21 ms
124                   30.13 ms
125                   29.06 ms
126                   42.98 ms
127                   36.91 ms
128                   48.84 ms
129                   34.76 ms
130                   29.69 ms
131                   50.61 ms
