Label                  Latency
1                     89.00 ms
2                    101.88 ms
3                    121.82 ms
4                    137.74 ms
5                    113.90 ms
6                    144.86 ms
7                    149.77 ms
8                    159.71 ms
9                    169.66 ms
10                   178.61 ms
11                   182.56 ms
12                   171.46 ms
13                   156.93 ms
14                   163.86 ms
15                   151.80 ms
16                   165.73 ms
17                   164.70 ms
18                   161.62 ms
19                   160.55 ms
20                   168.48 ms
21                   170.43 ms
22                   160.37 ms
23                   158.30 ms
24                   115.94 ms
25                   104.87 ms
26                   102.80 ms
27                    93.74 ms
28                    81.67 ms
29                    78.62 ms
30                    69.57 ms
31                    57.48 ms
32                    57.43 ms
33                    46.35 ms
34                    45.30 ms
35                    39.23 ms
36                    36.14 ms
37                    30.08 ms
38                    29.00 ms
39                    37.91 ms
40                    36.84 ms
41                    33.75 ms
42                    46.68 ms
43                    41.60 ms
44                    39.51 ms
45                    26.44 ms
46                    39.35 ms
47                    46.32 ms
48                    39.20 ms
49                    37.13 ms
50                    35.04 ms
51                    34.98 ms
52                    23.89 ms
53                    52.81 ms
54                    38.75 ms
55                    37.68 ms
56                    34.58 ms
57                    25.51 ms
58                    42.43 ms
59                    45.33 ms
60                    37.29 ms
61                    29.21 ms
62                    25.08 ms
63                    37.01 ms
64                    31.93 ms
65                    28.85 ms
66                    27.78 ms
67                    42.72 ms
68                    40.63 ms
69                    37.56 ms
70                    28.47 ms
71                    41.41 ms
72                    47.31 ms
73                    39.29 ms
74                    32.21 ms
75                    37.14 ms
76                    45.05 ms
77                    34.98 ms
78                    39.90 ms
79                    41.83 ms
80                    35.75 ms
81                    36.67 ms
82                    49.61 ms
83                    35.53 ms
84                    43.44 ms
85                    50.37 ms
86                    47.31 ms
87                    40.21 ms
88                    37.14 ms
89                    38.06 ms
90                    37.99 ms
91                    35.90 ms
92                    37.83 ms
93                    37.76 ms
94                    40.69 ms
95                    26.59 ms
96                    41.51 ms
97                    30.45 ms
98                    27.37 ms
99                    53.30 ms
100                   46.21 ms
101                   36.11 ms
102                   48.04 ms
103                   34.95 ms
104                   32.86 ms
105                   31.79 ms
106                   32.71 ms
107                   46.65 ms
108                   43.58 ms
109                   41.50 ms
110                   40.40 ms
111                   38.33 ms
112                   40.27 ms
113                   41.19 ms
114                   36.11 ms
115                   38.03 ms
116                   34.96 ms
117                   45.91 ms
118                   32.82 ms
119                   40.73 ms
120                   44.65 ms
121                   46.58 ms
122                   31.51 ms
123                   60.43 ms
124                   48.35 ms
125                   42.29 ms
126                   39.22 ms
127                   37.07 ms
128                   39.00 ms
129                   30.92 ms
130                   34.84 ms
131                   33.76 ms
132                   42.69 ms
133                   31.61 ms
134                   50.51 ms
135                   47.44 ms
136                   33.38 ms
137                   32.31 ms
138                   35.21 ms
139                   35.14 ms
140                   48.06 ms
141                   33.00 ms
142                   41.92 ms
143                   42.85 ms
144                   36.77 ms
145                   47.69 ms
146                   43.59 ms
147                   38.53 ms
148                   33.46 ms
149                   26.38 ms
150                   43.31 ms
151                   42.23 ms
152                   38.15 ms
153                   32.07 ms
154                   37.99 ms
155                   41.91 ms
156                   41.87 ms
157                   37.77 ms
158                   36.69 ms
159                   28.63 ms
160                   45.54 ms
161                   31.49 ms
162                   41.40 ms
163                   27.32 ms
164                   37.28 ms
165                   35.23 ms
166                   21.15 ms
167                   43.05 ms
168                   29.00 ms
169                   36.90 ms
170                   36.84 ms
171                   30.77 ms
172                   44.69 ms
173                   38.60 ms
174                   37.53 ms
175                   23.45 ms
176                   46.38 ms
177                   42.30 ms
178                   30.22 ms
179                   36.15 ms
180                   40.07 ms
181                   48.00 ms
182                   40.92 ms
183                   42.85 ms
184                   41.79 ms
185                   34.70 ms
186                   54.62 ms
187                   40.53 ms
188                   43.46 ms
189                   38.38 ms
190                   25.31 ms
191                   38.28 ms
192                   50.21 ms
193                   36.13 ms
194                   33.07 ms
195                   43.98 ms
196                   42.91 ms
197                   39.85 ms
198                   53.75 ms
199                   70.70 ms
200                   63.57 ms
201                   58.48 ms
202                   61.40 ms
203                   54.32 ms
204                   47.29 ms
205                   38.20 ms
206                   35.10 ms
207                   22.01 ms
208                   42.93 ms
209                   30.84 ms
210                   37.77 ms
211                   38.69 ms
212                   34.64 ms
213                   40.56 ms
214                   40.46 ms
215                   53.40 ms
216                   48.32 ms
217                   45.28 ms
218                   37.21 ms
219                   38.12 ms
220                   53.05 ms
221                   46.96 ms
222                   44.89 ms
223                   31.81 ms
224                   37.73 ms
225                   34.66 ms
226                   28.59 ms
227                   40.51 ms
228                   42.43 ms
229                   38.35 ms
230                   39.28 ms
231                   36.21 ms
232                   35.12 ms
233                   33.04 ms
234                   49.97 ms
235                   41.90 ms
236                   52.81 ms
237                   49.74 ms
238                   45.63 ms
239                   36.55 ms
240                   33.48 ms
241                   40.39 ms
242                   29.32 ms
243                   45.28 ms
244                   36.19 ms
245                   36.11 ms
246                   30.03 ms
247                   28.97 ms
248                   41.88 ms
249                   37.81 ms
250                   30.76 ms
251                   31.67 ms
252                   57.59 ms
253                   44.52 ms
254                   46.45 ms
255                   32.38 ms
256                   46.31 ms
257                   37.22 ms
258                   32.14 ms
259                   26.07 ms
260                   38.99 ms
261                   42.91 ms
262                   37.83 ms
263                   33.76 ms
264                   27.69 ms
265                   44.63 ms
266                   45.54 ms
267                   37.46 ms
268                   33.39 ms
269                   32.33 ms
270                   39.28 ms
271                   53.22 ms
272                   46.14 ms
273                   48.07 ms
274                   39.99 ms
275                   35.95 ms
276                   27.85 ms
277                   31.79 ms
278                   33.70 ms
279                   41.63 ms
280                   31.55 ms
281                   36.48 ms
282                   36.42 ms
283                   29.34 ms
284                   46.28 ms
285                   39.20 ms
286                   39.13 ms
287                   40.06 ms
288                   54.99 ms
289                   58.91 ms
290                   44.84 ms
291                   38.77 ms
292                   27.69 ms
293                   24.60 ms
294                   23.54 ms
295                   42.45 ms
296                   36.39 ms
297                   37.32 ms
298                   28.28 ms
299                   42.20 ms
300                   40.11 ms
301                   33.01 ms
302                   26.93 ms
303                   40.86 ms
304                   31.78 ms
305                   41.72 ms
306                   31.63 ms
307                   44.57 ms
308                   42.48 ms
309                   41.42 ms
310                   48.34 ms
311                   45.29 ms
312                   39.20 ms
313                   28.12 ms
314                   22.05 ms
315                   36.96 ms
316                   31.90 ms
317                   23.82 ms
318                   40.75 ms
319                   41.67 ms
320                   36.59 ms
321                   33.52 ms
322                   35.46 ms
323                   52.38 ms
324                   41.31 ms
325                   52.23 ms
326                   44.18 ms
327                   38.08 ms
328                   31.99 ms
329                   29.91 ms
330                   43.84 ms
331                   40.77 ms
332                   36.68 ms
333                   35.61 ms
334                   32.54 ms
335                   39.47 ms
336                   35.40 ms
337                   22.32 ms
338                   37.28 ms
339                   60.21 ms
340                   51.14 ms
341                   43.05 ms
342                   47.00 ms
343                   44.91 ms
344                   39.84 ms
345                   44.75 ms
346                   31.66 ms
347                   35.59 ms
348                   37.52 ms
349                   46.44 ms
350                   43.37 ms
351                   39.31 ms
352                   28.22 ms
353                   27.16 ms
354                   34.08 ms
355                   31.99 ms
356                   36.93 ms
357                   30.84 ms
358                   53.77 ms
359                   42.70 ms
360                   32.62 ms
361                   32.55 ms
362                   30.47 ms
363                   41.41 ms
364                   27.33 ms
365                   39.28 ms
366                   36.21 ms
367                   32.14 ms
368                   26.06 ms
369                   42.97 ms
370                   31.91 ms
