Label                  Latency
1                     72.98 ms
2                     79.89 ms
3                     85.79 ms
4                    129.71 ms
5                    123.93 ms
6                    122.79 ms
7                    130.72 ms
8                    138.64 ms
9                    163.60 ms
10                   163.52 ms
11                   162.45 ms
12                   163.41 ms
13                   177.33 ms
14                   179.96 ms
15                   183.89 ms
16                   197.83 ms
17                   198.73 ms
18                   199.67 ms
19                   194.60 ms
20                   186.52 ms
21                   197.46 ms
22                   140.94 ms
23                   129.85 ms
24                   128.81 ms
25                   137.72 ms
26                   126.66 ms
27                   118.60 ms
28                   120.55 ms
29                   108.47 ms
30                   102.42 ms
31                    92.35 ms
32                    88.28 ms
33                    81.22 ms
34                    75.16 ms
35                    70.09 ms
36                    62.03 ms
37                    53.00 ms
38                    46.92 ms
39                    47.83 ms
40                    37.74 ms
41                    48.67 ms
42                    42.59 ms
43                    43.54 ms
44                    42.45 ms
45                    36.37 ms
46                    26.31 ms
47                    46.22 ms
48                    44.15 ms
49                    37.10 ms
50                    36.01 ms
51                    39.95 ms
52                    38.87 ms
53                    33.79 ms
54                    37.72 ms
55                    35.64 ms
56                    36.57 ms
57                    38.51 ms
58                    37.41 ms
59                    36.36 ms
60                    37.30 ms
61                    39.22 ms
62                    38.15 ms
63                    47.07 ms
64                    43.00 ms
65                    34.93 ms
66                    28.85 ms
67                    45.78 ms
68                    36.70 ms
69                    37.64 ms
70                    39.58 ms
71                    48.51 ms
72                    37.43 ms
73                    44.34 ms
74                    30.28 ms
75                    49.20 ms
76                    34.13 ms
77                    42.04 ms
78                    41.98 ms
79                    36.90 ms
80                    44.82 ms
81                    43.73 ms
82                    42.67 ms
83                    41.60 ms
84                    46.51 ms
85                    47.44 ms
86                    33.35 ms
87                    39.28 ms
88                    25.21 ms
89                    27.15 ms
90                    38.08 ms
91                    52.00 ms
92                    37.92 ms
93                    45.85 ms
94                    48.77 ms
95                    47.72 ms
96                    44.63 ms
97                    30.55 ms
98                    54.48 ms
99                    46.40 ms
100                   38.33 ms
101                   46.31 ms
102                   37.22 ms
103                   31.15 ms
104                   33.09 ms
105                   48.99 ms
106                   40.94 ms
107                   41.84 ms
108                   38.77 ms
109                   45.69 ms
110                   36.64 ms
111                   40.56 ms
112                   35.46 ms
113                   30.40 ms
114                   47.33 ms
115                   46.29 ms
116                   33.21 ms
117                   37.14 ms
118                   38.07 ms
119                   34.00 ms
120                   35.95 ms
121                   50.86 ms
122                   39.78 ms
123                   37.72 ms
124                   52.63 ms
125                   45.57 ms
126                   39.49 ms
127                   34.39 ms
128                   52.32 ms
129                   44.29 ms
130                   35.23 ms
131                   44.16 ms
132                   38.06 ms
133                   37.01 ms
134                   30.94 ms
135                   29.86 ms
136                   34.76 ms
137                   52.69 ms
138                   37.62 ms
139                   45.55 ms
140                   36.47 ms
141                   30.41 ms
142                   37.34 ms
143                   36.30 ms
144                   30.23 ms
145                   44.14 ms
146                   30.06 ms
147                   47.01 ms
148                   40.93 ms
149                   37.85 ms
150                   28.77 ms
151                   28.70 ms
152                   47.63 ms
153                   42.55 ms
154                   30.47 ms
155                   25.41 ms
156                   42.35 ms
157                   31.29 ms
158                   40.21 ms
159                   43.13 ms
160                   48.06 ms
161                   44.98 ms
162                   30.93 ms
163                   27.85 ms
164                   28.78 ms
165                   29.70 ms
166                   29.62 ms
167                   38.55 ms
168                   24.50 ms
169                   40.42 ms
170                   40.33 ms
171                   27.29 ms
172                   46.23 ms
173                   34.14 ms
174                   30.08 ms
175                   23.99 ms
176                   35.91 ms
177                   29.85 ms
178                   55.78 ms
179                   42.71 ms
180                   43.63 ms
181                   50.57 ms
182                   44.48 ms
183                   34.42 ms
184                   27.33 ms
185                   21.31 ms
186                   46.23 ms
187                   39.16 ms
188                   38.07 ms
189                   37.02 ms
190                   32.94 ms
191                   29.86 ms
192                   48.80 ms
193                   57.71 ms
194                   51.64 ms
195                   52.59 ms
196                   39.49 ms
197                   64.42 ms
198                   52.35 ms
199                   47.30 ms
200                   33.23 ms
201                   34.14 ms
202                   36.07 ms
203                   73.98 ms
204                   65.90 ms
205                   56.83 ms
206                   53.76 ms
207                   49.67 ms
208                   38.59 ms
209                   35.54 ms
210                   36.44 ms
211                   55.38 ms
212                   47.30 ms
213                   47.21 ms
214                   52.13 ms
215                   51.07 ms
216                   45.99 ms
217                   36.91 ms
218                   25.84 ms
219                   29.79 ms
220                   29.73 ms
221                   24.65 ms
222                   34.58 ms
223                   21.51 ms
224                   37.44 ms
225                   29.36 ms
226                   32.30 ms
227                   28.22 ms
228                   22.14 ms
229                   39.07 ms
230                   28.00 ms
231                   34.93 ms
232                   20.86 ms
233                   39.79 ms
234                   48.72 ms
235                   37.67 ms
236                   33.57 ms
237                   25.52 ms
238                   42.45 ms
239                   43.37 ms
240                   42.29 ms
241                   31.21 ms
242                   27.15 ms
243                   39.08 ms
244                   48.02 ms
245                   37.93 ms
246                   32.87 ms
247                   26.79 ms
248                   36.72 ms
249                   22.65 ms
250                   36.60 ms
251                   30.51 ms
252                   26.44 ms
253                   37.36 ms
254                   23.29 ms
255                   42.22 ms
256                   38.15 ms
257                   26.08 ms
258                   41.01 ms
259                   35.93 ms
260                   35.86 ms
261                   30.79 ms
262                   46.74 ms
263                   37.66 ms
264                   36.57 ms
265                   26.51 ms
266                   39.43 ms
267                   54.35 ms
268                   42.28 ms
269                   36.20 ms
270                   26.14 ms
271                   41.07 ms
272                   35.00 ms
273                   28.92 ms
274                   23.84 ms
275                   27.82 ms
276                   36.72 ms
277                   22.65 ms
278                   36.55 ms
279                   45.48 ms
280                   36.41 ms
281                   30.34 ms
282                   27.23 ms
283                   31.14 ms
284                   30.09 ms
285                   24.02 ms
286                   42.93 ms
287                   34.88 ms
288                   42.79 ms
289                   44.74 ms
290                   44.64 ms
291                   44.57 ms
292                   31.50 ms
293                   40.43 ms
294                   39.37 ms
295                   48.30 ms
296                   38.22 ms
297                   36.15 ms
298                   30.07 ms
299                   33.99 ms
300                   34.93 ms
301                   54.83 ms
302                   43.76 ms
303                   34.71 ms
304                   38.61 ms
305                   47.56 ms
306                   37.48 ms
307                   32.40 ms
308                   29.35 ms
309                   30.25 ms
310                   27.18 ms
311                   29.12 ms
312                   35.03 ms
313                   33.98 ms
314                   30.89 ms
315                   23.82 ms
316                   51.76 ms
317                   41.68 ms
318                   43.62 ms
319                   42.53 ms
320                   56.46 ms
321                   44.38 ms
322                   39.33 ms
323                   38.24 ms
324                   24.15 ms
325                   36.11 ms
326                   45.01 ms
327                   38.96 ms
328                   37.88 ms
329                   34.80 ms
330                   20.74 ms
331                   37.65 ms
332                   29.59 ms
333                   42.53 ms
334                   36.46 ms
335                   51.38 ms
336                   44.32 ms
337                   43.22 ms
338                   42.13 ms
339                   38.06 ms
340                   31.99 ms
341                   39.92 ms
342                   37.83 ms
343                   36.77 ms
344                   40.69 ms
345                   48.62 ms
346                   44.56 ms
347                   50.47 ms
348                   41.43 ms
349                   42.34 ms
350                   34.27 ms
351                   38.20 ms
352                   68.13 ms
353                   56.04 ms
354                   56.98 ms
355                   44.90 ms
356                   35.83 ms
357                   28.77 ms
358                   30.71 ms
359                   37.62 ms
360                   28.56 ms
361                   32.47 ms
362                   41.40 ms
363                   32.33 ms
364                   26.26 ms
365                   36.18 ms
366                   22.13 ms
367                   53.04 ms
368                   52.97 ms
369                   53.93 ms
370                   54.82 ms
371                   68.76 ms
372                   61.69 ms
373                   47.61 ms
374                   45.54 ms
375                   39.47 ms
376                   34.38 ms
377                   41.32 ms
378                   47.24 ms
379                   43.18 ms
380                   41.10 ms
381                   43.03 ms
382                   34.95 ms
383                   30.89 ms
384                   43.82 ms
385                   31.74 ms
386                   52.68 ms
387                   55.62 ms
388                   42.52 ms
389                   57.46 ms
390                   43.38 ms
391                   35.31 ms
392                   26.25 ms
393                   33.19 ms
394                   33.11 ms
395                   26.04 ms
396                   26.95 ms
397                   28.91 ms
398                   40.81 ms
399                   31.77 ms
400                   35.69 ms
401                   29.60 ms
402                   47.51 ms
403                   47.46 ms
404                   54.37 ms
405                   42.30 ms
406                   31.23 ms
407                   38.17 ms
408                   37.09 ms
409                   36.01 ms
410                   29.95 ms
411                   32.87 ms
412                   37.80 ms
413                   27.74 ms
414                   35.66 ms
415                   45.58 ms
416                   43.52 ms
417                   40.46 ms
418                   27.38 ms
419                   43.30 ms
420                   34.26 ms
421                   38.17 ms
422                   62.10 ms
423                   61.02 ms
424                   49.96 ms
425                   46.87 ms
426                   37.81 ms
427                   26.73 ms
428                   30.65 ms
429                   29.58 ms
430                   43.54 ms
431                   38.45 ms
432                   36.38 ms
433                   30.30 ms
434                   34.22 ms
435                   33.17 ms
436                   42.09 ms
437                   31.04 ms
438                   39.93 ms
439                   38.87 ms
440                   52.81 ms
441                   49.74 ms
442                   45.65 ms
443                   34.57 ms
444                   30.51 ms
445                   22.45 ms
446                   34.35 ms
447                   26.29 ms
448                   37.22 ms
449                   28.16 ms
450                   29.07 ms
451                   46.01 ms
452                   30.94 ms
453                   38.86 ms
454                   27.78 ms
455                   41.72 ms
456                   50.64 ms
457                   39.58 ms
458                   36.52 ms
459                   54.43 ms
460                   46.37 ms
461                   35.30 ms
462                   34.21 ms
463                   38.14 ms
464                   36.07 ms
465                   21.99 ms
466                   37.94 ms
467                   28.86 ms
468                   29.78 ms
469                   27.72 ms
470                   35.64 ms
471                   49.58 ms
472                   38.50 ms
473                   37.43 ms
474                   38.37 ms
