Label                  Latency
1                     42.32 ms
2                     56.18 ms
3                     58.09 ms
4                     63.96 ms
5                     59.89 ms
6                     56.80 ms
7                     70.71 ms
8                     63.61 ms
9                     66.53 ms
10                    62.44 ms
11                    75.34 ms
12                    67.26 ms
13                    64.17 ms
14                    60.09 ms
15                    51.00 ms
16                    43.84 ms
17                    31.76 ms
18                    30.67 ms
19                    42.57 ms
20                    30.48 ms
21                    37.41 ms
22                    34.31 ms
23                    33.23 ms
24                    43.12 ms
25                    44.03 ms
26                    53.92 ms
27                    41.83 ms
28                    37.74 ms
29                    33.64 ms
30                    27.56 ms
31                    22.46 ms
32                    37.35 ms
33                    30.26 ms
34                    23.18 ms
35                    27.09 ms
36                    23.00 ms
37                    35.91 ms
38                    33.84 ms
39                    22.74 ms
40                    29.66 ms
41                    38.56 ms
42                    36.48 ms
43                    33.39 ms
44                    20.31 ms
45                    27.22 ms
46                    34.12 ms
47                    25.04 ms
48                    28.94 ms
49                    45.84 ms
50                    35.77 ms
51                    28.67 ms
52                    26.59 ms
53                    28.49 ms
54                    42.41 ms
55                    29.32 ms
56                    27.23 ms
57                    37.14 ms
58                    25.06 ms
59                    30.98 ms
60                    32.90 ms
61                    33.82 ms
62                    20.71 ms
63                    30.61 ms
64                    22.53 ms
65                    24.45 ms
66                    26.36 ms
67                    23.27 ms
68                    26.19 ms
69                    27.10 ms
70                    25.01 ms
71                    30.93 ms
72                    21.83 ms
73                    35.75 ms
74                    32.66 ms
75                    23.57 ms
76                    27.49 ms
77                    39.39 ms
78                    38.31 ms
79                    26.22 ms
80                    23.13 ms
81                    32.04 ms
82                    37.93 ms
83                    34.86 ms
84                    31.77 ms
85                    22.68 ms
86                    31.59 ms
87                    37.49 ms
88                    34.41 ms
89                    28.32 ms
90                    20.22 ms
91                    26.15 ms
92                    37.05 ms
93                    33.96 ms
94                    24.87 ms
95                    19.78 ms
96                    25.70 ms
97                    30.61 ms
98                    23.53 ms
99                    29.43 ms
100                   20.34 ms
101                   35.25 ms
102                   29.17 ms
103                   23.08 ms
104                   26.99 ms
105                   36.91 ms
106                   37.81 ms
107                   29.73 ms
108                   21.62 ms
109                   31.55 ms
110                   31.45 ms
111                   29.37 ms
112                   19.29 ms
113                   30.23 ms
114                   25.10 ms
115                   31.02 ms
116                   33.95 ms
117                   25.87 ms
