Label                  Latency
1                     39.32 ms
2                     39.16 ms
3                     49.07 ms
4                     44.96 ms
5                     44.90 ms
6                     42.76 ms
7                     54.67 ms
8                     53.58 ms
9                     49.48 ms
10                    48.39 ms
11                    48.33 ms
12                    46.21 ms
13                    45.12 ms
14                    44.03 ms
15                    45.94 ms
16                    67.89 ms
17                    64.77 ms
18                    59.67 ms
19                    52.59 ms
20                    46.51 ms
21                    45.42 ms
22                    48.33 ms
23                    48.29 ms
24                    37.19 ms
25                    28.11 ms
26                    29.01 ms
27                    23.88 ms
28                    26.77 ms
29                    21.66 ms
30                    42.57 ms
31                    31.47 ms
32                    20.39 ms
33                    44.30 ms
34                    40.20 ms
35                    26.11 ms
36                    28.04 ms
37                    39.94 ms
38                    28.85 ms
39                    27.76 ms
40                    31.67 ms
41                    25.59 ms
42                    29.50 ms
43                    33.34 ms
44                    29.29 ms
45                    23.20 ms
46                    27.11 ms
47                    24.01 ms
48                    24.93 ms
49                    21.83 ms
50                    32.75 ms
51                    26.66 ms
52                    35.56 ms
53                    34.47 ms
54                    28.38 ms
55                    20.30 ms
56                    26.20 ms
57                    38.11 ms
58                    34.01 ms
59                    26.90 ms
60                    19.81 ms
61                    25.71 ms
62                    23.60 ms
63                    23.48 ms
64                    27.37 ms
65                    39.29 ms
66                    33.17 ms
67                    27.07 ms
68                    22.97 ms
69                    26.86 ms
70                    38.78 ms
71                    34.68 ms
72                    28.59 ms
73                    22.51 ms
74                    26.41 ms
75                    38.30 ms
76                    34.18 ms
77                    28.08 ms
78                    21.92 ms
79                    35.82 ms
80                    29.72 ms
81                    23.62 ms
82                    27.52 ms
83                    38.43 ms
84                    33.32 ms
85                    27.23 ms
86                    23.11 ms
87                    27.01 ms
88                    30.89 ms
89                    24.80 ms
90                    21.73 ms
91                    32.62 ms
92                    26.54 ms
93                    37.45 ms
94                    34.36 ms
95                    28.28 ms
96                    22.19 ms
97                    26.10 ms
98                    37.02 ms
99                    33.92 ms
100                   27.83 ms
101                   21.72 ms
102                   25.64 ms
103                   22.57 ms
104                   23.43 ms
105                   28.35 ms
106                   32.30 ms
107                   32.21 ms
108                   28.10 ms
109                   23.02 ms
110                   25.89 ms
111                   31.82 ms
112                   31.71 ms
113                   27.63 ms
114                   20.56 ms
115                   27.45 ms
116                   31.35 ms
117                   31.22 ms
118                   27.12 ms
119                   21.02 ms
120                   34.92 ms
121                   29.85 ms
122                   22.75 ms
123                   26.67 ms
124                   38.57 ms
125                   33.49 ms
126                   27.41 ms
127                   22.30 ms
128                   26.21 ms
129                   38.12 ms
130                   33.04 ms
131                   24.95 ms
132                   21.85 ms
133                   25.76 ms
134                   37.67 ms
135                   33.58 ms
136                   27.49 ms
137                   21.40 ms
138                   26.31 ms
139                   37.22 ms
140                   34.16 ms
141                   29.04 ms
142                   20.95 ms
143                   34.85 ms
144                   28.77 ms
145                   22.68 ms
146                   26.59 ms
147                   39.50 ms
148                   32.34 ms
149                   25.30 ms
150                   24.20 ms
151                   26.10 ms
152                   39.01 ms
153                   33.92 ms
154                   24.85 ms
155                   23.76 ms
156                   25.65 ms
157                   38.57 ms
158                   32.49 ms
159                   24.40 ms
160                   23.31 ms
161                   25.20 ms
162                   23.12 ms
163                   23.01 ms
164                   26.89 ms
165                   38.79 ms
166                   31.70 ms
167                   26.58 ms
168                   22.49 ms
169                   26.40 ms
170                   38.31 ms
171                   26.24 ms
172                   26.13 ms
173                   30.04 ms
174                   22.96 ms
