Label                  Latency
1                     50.98 ms
2                     52.82 ms
3                     50.73 ms
4                     48.63 ms
5                     46.55 ms
6                     48.46 ms
7                     43.37 ms
8                     37.28 ms
9                     45.22 ms
10                    43.10 ms
11                    48.02 ms
12                    37.92 ms
13                    37.84 ms
14                    51.75 ms
15                    60.66 ms
16                    56.56 ms
17                    53.48 ms
18                    46.38 ms
19                    40.29 ms
20                    44.20 ms
21                    46.11 ms
22                    45.03 ms
23                    34.93 ms
24                    38.81 ms
25                    41.70 ms
26                    38.60 ms
27                    37.49 ms
28                    34.37 ms
29                    40.29 ms
30                    34.20 ms
31                    23.11 ms
32                    40.02 ms
33                    40.87 ms
34                    34.77 ms
35                    28.68 ms
36                    37.59 ms
37                    26.52 ms
38                    22.43 ms
39                    26.34 ms
40                    38.29 ms
41                    34.20 ms
42                    28.12 ms
43                    24.01 ms
44                    25.88 ms
45                    24.79 ms
46                    23.70 ms
47                    27.61 ms
48                    39.51 ms
49                    30.42 ms
50                    27.33 ms
51                    23.29 ms
52                    27.20 ms
53                    39.11 ms
54                    35.02 ms
55                    28.92 ms
56                    20.81 ms
57                    26.69 ms
58                    30.59 ms
59                    24.47 ms
60                    31.38 ms
61                    25.29 ms
62                    26.18 ms
63                    43.09 ms
64                    33.97 ms
65                    26.86 ms
66                    19.78 ms
67                    25.66 ms
68                    23.55 ms
69                    22.44 ms
70                    27.35 ms
71                    45.27 ms
72                    34.19 ms
73                    27.11 ms
74                    28.03 ms
75                    26.89 ms
76                    38.81 ms
77                    34.71 ms
78                    28.62 ms
79                    24.53 ms
80                    31.43 ms
81                    38.33 ms
82                    39.22 ms
83                    30.11 ms
84                    24.01 ms
85                    27.85 ms
86                    39.75 ms
87                    36.65 ms
88                    29.55 ms
89                    29.35 ms
90                    40.29 ms
91                    31.16 ms
92                    25.06 ms
93                    26.84 ms
94                    40.74 ms
95                    36.65 ms
96                    38.54 ms
97                    29.34 ms
98                    39.29 ms
99                    32.17 ms
100                   27.08 ms
101                   37.93 ms
102                   37.84 ms
103                   31.75 ms
104                   27.67 ms
105                   32.57 ms
106                   28.49 ms
107                   27.39 ms
108                   43.29 ms
109                   32.20 ms
110                   29.10 ms
111                   35.99 ms
112                   31.86 ms
113                   30.77 ms
114                   37.66 ms
115                   35.59 ms
116                   34.49 ms
117                   27.39 ms
118                   36.31 ms
119                   35.21 ms
120                   32.13 ms
121                   25.03 ms
122                   29.96 ms
123                   24.85 ms
124                   28.77 ms
125                   41.69 ms
126                   38.58 ms
127                   30.49 ms
128                   29.39 ms
129                   23.31 ms
130                   20.20 ms
131                   36.12 ms
132                   35.02 ms
133                   28.94 ms
