Label                  Latency
1                     39.86 ms
2                     43.73 ms
3                     40.62 ms
4                     36.54 ms
5                     45.45 ms
6                     46.35 ms
7                     37.27 ms
8                     36.17 ms
9                     35.07 ms
10                    43.98 ms
11                    40.89 ms
12                    36.79 ms
13                    38.71 ms
14                    57.60 ms
15                    46.51 ms
16                    45.42 ms
17                    53.32 ms
18                    53.23 ms
19                    53.13 ms
20                    76.04 ms
21                    62.96 ms
22                    59.86 ms
23                    57.77 ms
24                    52.67 ms
25                    48.60 ms
26                    40.50 ms
27                    28.43 ms
28                    35.34 ms
29                    39.29 ms
30                    33.20 ms
31                    34.10 ms
32                    48.02 ms
33                    48.93 ms
34                    35.85 ms
35                    42.77 ms
36                    39.67 ms
37                    50.59 ms
38                    39.50 ms
39                    30.42 ms
40                    22.33 ms
41                    25.28 ms
42                    24.19 ms
43                    26.11 ms
44                    20.03 ms
45                    33.94 ms
46                    29.84 ms
47                    26.76 ms
48                    36.67 ms
49                    30.58 ms
50                    23.49 ms
51                    32.42 ms
52                    21.33 ms
53                    41.29 ms
54                    29.20 ms
55                    21.12 ms
56                    28.03 ms
57                    38.95 ms
58                    37.86 ms
59                    28.77 ms
60                    22.68 ms
61                    26.60 ms
62                    38.51 ms
63                    40.42 ms
64                    28.33 ms
65                    22.25 ms
66                    28.16 ms
67                    38.08 ms
68                    33.99 ms
69                    27.90 ms
70                    21.82 ms
71                    36.73 ms
72                    32.66 ms
73                    25.55 ms
74                    30.48 ms
75                    39.39 ms
76                    33.31 ms
77                    32.22 ms
78                    26.13 ms
79                    27.04 ms
80                    37.95 ms
81                    36.87 ms
82                    36.78 ms
83                    38.70 ms
84                    36.60 ms
85                    36.52 ms
86                    26.43 ms
87                    25.34 ms
88                    33.26 ms
89                    36.18 ms
90                    33.10 ms
91                    27.02 ms
92                    29.91 ms
93                    41.83 ms
94                    43.76 ms
95                    36.66 ms
96                    31.59 ms
97                    27.48 ms
98                    47.41 ms
99                    35.32 ms
100                   30.23 ms
101                   31.15 ms
102                   26.04 ms
103                   45.96 ms
104                   35.89 ms
105                   31.80 ms
106                   28.71 ms
107                   41.61 ms
108                   31.52 ms
109                   25.45 ms
110                   39.35 ms
111                   35.29 ms
112                   36.20 ms
113                   26.10 ms
114                   33.00 ms
115                   35.92 ms
116                   30.83 ms
117                   34.74 ms
118                   30.68 ms
119                   29.58 ms
120                   39.49 ms
121                   32.39 ms
122                   28.33 ms
123                   40.22 ms
124                   41.14 ms
125                   35.06 ms
126                   26.98 ms
127                   33.87 ms
128                   36.80 ms
129                   24.71 ms
130                   25.61 ms
131                   38.54 ms
132                   35.44 ms
133                   29.37 ms
134                   33.26 ms
135                   35.18 ms
136                   31.09 ms
137                   28.01 ms
138                   42.94 ms
139                   32.85 ms
140                   27.75 ms
141                   40.66 ms
142                   39.59 ms
143                   37.52 ms
144                   27.42 ms
145                   34.32 ms
146                   30.25 ms
147                   29.16 ms
148                   41.06 ms
149                   31.99 ms
150                   25.90 ms
151                   42.79 ms
152                   35.73 ms
153                   34.62 ms
154                   29.54 ms
155                   33.46 ms
156                   29.38 ms
157                   28.29 ms
158                   36.19 ms
159                   38.14 ms
160                   25.04 ms
161                   26.94 ms
162                   38.85 ms
163                   34.77 ms
164                   25.69 ms
165                   22.58 ms
166                   33.50 ms
167                   29.42 ms
168                   34.32 ms
169                   27.25 ms
171                   26.06 ms
172                   37.98 ms
173                   35.90 ms
174                   29.81 ms
175                   30.72 ms
176                   25.63 ms
177                   37.54 ms
178                   34.46 ms
179                   34.37 ms
180                   21.28 ms
181                   25.19 ms
182                   37.11 ms
183                   32.02 ms
184                   20.94 ms
185                   33.85 ms
186                   25.77 ms
187                   21.67 ms
188                   23.59 ms
189                   28.52 ms
190                   21.41 ms
191                   35.34 ms
192                   28.24 ms
193                   19.17 ms
194                   26.07 ms
195                   36.99 ms
196                   34.89 ms
197                   33.82 ms
198                   21.73 ms
199                   25.64 ms
200                   36.57 ms
201                   39.46 ms
202                   27.37 ms
203                   22.27 ms
204                   27.20 ms
205                   43.12 ms
206                   52.03 ms
207                   62.93 ms
208                   58.85 ms
209                   55.76 ms
210                   52.70 ms
211                   44.60 ms
212                   30.51 ms
213                   27.43 ms
214                   36.33 ms
215                   35.25 ms
216                   39.17 ms
217                   50.08 ms
218                   35.99 ms
219                   33.89 ms
220                   19.80 ms
221                   42.72 ms
222                   41.65 ms
223                   45.54 ms
224                   49.47 ms
225                   45.36 ms
226                   41.28 ms
227                   41.22 ms
228                   28.12 ms
229                   15.04 ms
230                   26.93 ms
231                   39.84 ms
232                   26.77 ms
233                   27.68 ms
234                   31.60 ms
235                   23.51 ms
236                   20.41 ms
237                   24.32 ms
238                   25.26 ms
239                   31.15 ms
240                   26.06 ms
241                   33.99 ms
242                   33.89 ms
243                   27.80 ms
244                   20.74 ms
245                   25.63 ms
246                   38.54 ms
247                   35.46 ms
248                   24.39 ms
249                   18.30 ms
250                   25.20 ms
251                   38.13 ms
252                   34.03 ms
253                   23.95 ms
254                   19.87 ms
255                   24.77 ms
256                   20.70 ms
257                   23.59 ms
258                   26.51 ms
259                   38.42 ms
260                   27.33 ms
261                   26.24 ms
262                   22.16 ms
263                   28.07 ms
264                   29.98 ms
265                   25.90 ms
266                   20.82 ms
267                   32.73 ms
268                   25.65 ms
269                   35.57 ms
270                   34.47 ms
271                   28.39 ms
272                   22.30 ms
273                   25.21 ms
274                   29.12 ms
275                   24.03 ms
276                   27.94 ms
277                   39.87 ms
278                   27.78 ms
279                   20.70 ms
280                   32.60 ms
281                   27.53 ms
282                   26.44 ms
283                   34.34 ms
284                   35.27 ms
285                   22.17 ms
286                   28.09 ms
287                   44.01 ms
288                   33.91 ms
289                   24.84 ms
290                   18.75 ms
291                   25.65 ms
292                   32.56 ms
293                   23.48 ms
294                   20.39 ms
295                   32.30 ms
296                   27.22 ms
297                   36.13 ms
298                   34.04 ms
299                   27.98 ms
300                   38.87 ms
301                   35.80 ms
302                   26.70 ms
303                   22.60 ms
304                   26.51 ms
305                   44.44 ms
306                   31.36 ms
307                   25.27 ms
308                   38.20 ms
309                   26.08 ms
310                   17.99 ms
311                   36.91 ms
312                   28.84 ms
313                   18.75 ms
314                   25.65 ms
315                   37.56 ms
316                   33.47 ms
317                   24.40 ms
318                   25.31 ms
319                   26.22 ms
320                   38.13 ms
321                   39.05 ms
322                   24.95 ms
323                   21.85 ms
324                   36.77 ms
325                   35.68 ms
326                   21.59 ms
327                   30.53 ms
328                   34.44 ms
329                   31.35 ms
330                   32.27 ms
331                   29.16 ms
332                   35.08 ms
333                   34.00 ms
334                   23.91 ms
335                   20.82 ms
336                   31.74 ms
337                   32.66 ms
338                   19.57 ms
339                   32.50 ms
340                   28.41 ms
341                   19.31 ms
342                   29.23 ms
343                   43.16 ms
344                   47.07 ms
345                   42.96 ms
346                   30.88 ms
347                   30.79 ms
348                   38.71 ms
349                   35.63 ms
350                   23.55 ms
351                   19.46 ms
352                   24.36 ms
353                   30.27 ms
354                   22.18 ms
355                   25.11 ms
356                   21.00 ms
357                   34.95 ms
358                   27.83 ms
359                   20.76 ms
360                   22.67 ms
361                   20.57 ms
362                   52.49 ms
363                   46.41 ms
364                   44.31 ms
365                   34.23 ms
366                   32.13 ms
367                   20.06 ms
368                   26.96 ms
369                   22.88 ms
370                   28.82 ms
371                   20.72 ms
372                   26.63 ms
373                   26.53 ms
374                   22.47 ms
375                   31.37 ms
376                   28.27 ms
377                   32.24 ms
378                   28.11 ms
379                   27.02 ms
380                   43.87 ms
381                   41.80 ms
382                   30.71 ms
383                   35.60 ms
384                   29.52 ms
